method,equal_domain_mae,worst_domain_mae,domain_mae_sd,rmse,r2,equal_domain_mae_mpa,rmse_mpa
full,0.08963580465761434,0.1274307438735015,0.029213979225082776,0.124322140072645,0.6642138175661688,37.260857994328234,54.19714335765872
bilinear_50,0.09209015330283075,0.13040575293423998,0.02999815403852643,0.12784757954578846,0.6448998247944709,38.334470888259695,55.761817763096246
bilinear_25,0.09118022972907479,0.13226041469369032,0.03124432195376967,0.12532521850022266,0.6587734564000731,38.03999854442548,54.73048499039409
