view_left,view_right,prediction_pearson_r,residual_pearson_r,mean_absolute_disagreement
FULL,BILINEAR_50,0.9977496530772859,0.9957126476725046,0.008708140171016239
FULL,BILINEAR_25,0.9952531080637214,0.9902246845876759,0.013635966395587092
BILINEAR_50,BILINEAR_25,0.9935139606291952,0.9870335664227582,0.01613185767398724
