logical_source,relative_path,size,sha256,expected_sha256,status
local:hasebe_v3_root,8scdmfdcfb/v3/1_Low velocity impact testing condition/Low velocity impact testing condition and damage_v0.2.xlsx,35802,e6d98c968f57ac5748e104dc1da5e112114d25d77c03c7222ba3a0d93ac23cf1,e6d98c968f57ac5748e104dc1da5e112114d25d77c03c7222ba3a0d93ac23cf1,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/2_Specimen size/Specimen size_v0.2.xlsx,26727,72c6dc7e1e8790883dba2b4b1e3ee1259fdfbad61d22d241a866d4621834fa65,72c6dc7e1e8790883dba2b4b1e3ee1259fdfbad61d22d241a866d4621834fa65,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-1 0000.CSV,146532,818460de27a8717185d56e76a574098d61fabb48b01b6ca0b5f6c2ea1c00d747,818460de27a8717185d56e76a574098d61fabb48b01b6ca0b5f6c2ea1c00d747,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-10 0000.CSV,161942,4f2171e8a36a224ab16842e12f67ea3c08f71838b275d107211a73ba737d1ebd,4f2171e8a36a224ab16842e12f67ea3c08f71838b275d107211a73ba737d1ebd,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-11 0000.CSV,153522,8edffddf0cd968a2938f6ec179c75a31f6e63371357268665479633ed66a675b,8edffddf0cd968a2938f6ec179c75a31f6e63371357268665479633ed66a675b,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-12 0000.CSV,183690,716eedcb3aa7d4e51e8ed55065326cc28dda16a97801d225c9c8dba9fcc70618,716eedcb3aa7d4e51e8ed55065326cc28dda16a97801d225c9c8dba9fcc70618,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-13 0000.CSV,302699,14e8c964a020c176b704fcedecc22b1bcf1af533e3499c213b1980f09fe329de,14e8c964a020c176b704fcedecc22b1bcf1af533e3499c213b1980f09fe329de,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-14 0000.CSV,289119,21efdc3cbee7d6b0e4510cdc1355991315bb814743d961ca89fb8c216fe703cd,21efdc3cbee7d6b0e4510cdc1355991315bb814743d961ca89fb8c216fe703cd,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-15 0001.CSV,274750,4300dd62eaf8f13a8b1ac297a224770cfd00ab173bf29825ae58e1acf0e291cd,4300dd62eaf8f13a8b1ac297a224770cfd00ab173bf29825ae58e1acf0e291cd,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-16 0000.CSV,279522,81a3161ea555f07696e6cc705d73fb24774d28be0d0b41b311c8756ce489f51f,81a3161ea555f07696e6cc705d73fb24774d28be0d0b41b311c8756ce489f51f,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-17 0000.CSV,290008,10d2fc20713a67d6e25de8e09c23ee29d6765b96d4c5cd485d7a46fb74057b2d,10d2fc20713a67d6e25de8e09c23ee29d6765b96d4c5cd485d7a46fb74057b2d,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-18 0002.CSV,305568,e0e19c824a82fd42e8eba496fc0fa2e466e68a9c54574d7f74b7659d709ff540,e0e19c824a82fd42e8eba496fc0fa2e466e68a9c54574d7f74b7659d709ff540,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-19 0000.CSV,170961,7672e57a64068c3718c59a8ca879e3a752199ad5845132a4be3c817fef6c3f28,7672e57a64068c3718c59a8ca879e3a752199ad5845132a4be3c817fef6c3f28,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-2 0000.CSV,163745,411dc9d58b3c7b7a543067d044d28ca15c28d3b8d28b4f055972301cce2e16a3,411dc9d58b3c7b7a543067d044d28ca15c28d3b8d28b4f055972301cce2e16a3,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-20 0000.CSV,170196,7e95b326e76d0665ebfadbca3eaea0e01ccf4b41275c586afe5ba724dd36a68d,7e95b326e76d0665ebfadbca3eaea0e01ccf4b41275c586afe5ba724dd36a68d,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-21 0000.CSV,157175,718e21ee76dcb5127f17411e1b22b8be10968885147f08f460affda26bc047ce,718e21ee76dcb5127f17411e1b22b8be10968885147f08f460affda26bc047ce,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-22 0000.CSV,277452,a621c20a4ef36e1a55939921d31d9e54918db2472272adddf5573fa21014058b,a621c20a4ef36e1a55939921d31d9e54918db2472272adddf5573fa21014058b,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-23 0000.CSV,283196,0fd21195d955ebc8c43da7ffd8303d09c919e1acf3974e28cb54036e3eeb97fa,0fd21195d955ebc8c43da7ffd8303d09c919e1acf3974e28cb54036e3eeb97fa,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-24 0000.CSV,310873,936c6ea19cf0e1cd8f9b23e441b5083a6f5627297d9b155d24fba11e3852f2c2,936c6ea19cf0e1cd8f9b23e441b5083a6f5627297d9b155d24fba11e3852f2c2,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-25 0000.CSV,137634,78550f83eee2fdf4acb5b1fd152409f8036346fa36bab5509eb36b6c917d2616,78550f83eee2fdf4acb5b1fd152409f8036346fa36bab5509eb36b6c917d2616,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-26 0000.CSV,137763,3edc4d00509340beb1aa8e16fb5bfceabead0abd0353ebe2d39e10e8a741020f,3edc4d00509340beb1aa8e16fb5bfceabead0abd0353ebe2d39e10e8a741020f,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-27 0000.CSV,155738,e2d9ccc6c4269a22a29ce402aab3e724814beadd1f28b3c40b39490fcb9b6912,e2d9ccc6c4269a22a29ce402aab3e724814beadd1f28b3c40b39490fcb9b6912,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-28 0000.CSV,287528,304ab09c1d9c7d099e32bdedb7cfe4b3e3d6445e376ec7005a2102057bab9c50,304ab09c1d9c7d099e32bdedb7cfe4b3e3d6445e376ec7005a2102057bab9c50,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-29 0000.CSV,271675,62ea698cfe49fec17126cee779ddb41a3b987162f3f7ad028fe0ed4500a30e37,62ea698cfe49fec17126cee779ddb41a3b987162f3f7ad028fe0ed4500a30e37,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-3 0000.CSV,132791,b765cef38eb0fa3ef65ff632eb5fc2a12f6d5ab358aa98312aab8083312fc880,b765cef38eb0fa3ef65ff632eb5fc2a12f6d5ab358aa98312aab8083312fc880,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-30 0000.CSV,293453,f95261dfb32cc6f3df59b22c0d4d65e49f62afb1a4a008fb97f1c24ff95dc0c1,f95261dfb32cc6f3df59b22c0d4d65e49f62afb1a4a008fb97f1c24ff95dc0c1,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-32 0000.CSV,145685,57baa28f6317e5b20fe506ed4b67141c50391c52447ead5b275c2f8d8b1d501c,57baa28f6317e5b20fe506ed4b67141c50391c52447ead5b275c2f8d8b1d501c,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-33 0000.CSV,132321,559bbdabcf36e8b189ff1cebbcabfecd065848624fc6aa695459d0c40d2692a6,559bbdabcf36e8b189ff1cebbcabfecd065848624fc6aa695459d0c40d2692a6,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-34 0000.CSV,142910,11e3620c022fd65831cb3e1771bf6f7cc098ab33894a8ba6e1460254035c9438,11e3620c022fd65831cb3e1771bf6f7cc098ab33894a8ba6e1460254035c9438,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-35 0000.CSV,152764,bbf3f5f9b7db92b2e87ffa9858a93f77a492b5524a388824484c0f5f9d3d30bb,bbf3f5f9b7db92b2e87ffa9858a93f77a492b5524a388824484c0f5f9d3d30bb,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-36 0000.CSV,179446,a0104a09f7194a373c21e08649022e6ba321713acde778a7ddb18a8590951964,a0104a09f7194a373c21e08649022e6ba321713acde778a7ddb18a8590951964,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-37 0000.CSV,186513,97e7faca8c828822b158425578d6d154790810ed7b844e8584609e7ed9d72027,97e7faca8c828822b158425578d6d154790810ed7b844e8584609e7ed9d72027,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-38 0000.CSV,216420,e50bb1fe08110483f9bb370b57ecdd15c6855d49e5ac15f73aefa1151c9ad2b9,e50bb1fe08110483f9bb370b57ecdd15c6855d49e5ac15f73aefa1151c9ad2b9,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-39 0000.CSV,155768,7dcfabab3e9a03915b395c793f2c79851f66188a6e0049fb4c97681bdfb10e4e,7dcfabab3e9a03915b395c793f2c79851f66188a6e0049fb4c97681bdfb10e4e,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-4 0000.CSV,152698,01e376960da93b67ca87430396e5b80ad8e08c6292f145a07fe25d115049be7c,01e376960da93b67ca87430396e5b80ad8e08c6292f145a07fe25d115049be7c,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-40 0000.CSV,275786,8c2ae4811bfb59fe984ec87e155dcc182d29fa9b6e884bd85395379cc348c444,8c2ae4811bfb59fe984ec87e155dcc182d29fa9b6e884bd85395379cc348c444,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-41 0000.CSV,180500,d17e7aff16b670b2799474311ae008009359cfb314f6ca38c882e7f2677da006,d17e7aff16b670b2799474311ae008009359cfb314f6ca38c882e7f2677da006,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-42 0000.CSV,198809,cc926ffaf8971ba57b6256465d2c9dc467732759b2f4dce594323b45035fd158,cc926ffaf8971ba57b6256465d2c9dc467732759b2f4dce594323b45035fd158,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-43 0000.CSV,150496,26b231f4c9816afd6f8c7577a4c2cb6131c444b39b1a96ca8ae1a74f084da1e8,26b231f4c9816afd6f8c7577a4c2cb6131c444b39b1a96ca8ae1a74f084da1e8,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-44 0000.CSV,147994,b165a4be47b66319c66becc75e14d96bd556df5fdd6f4bc926edd18e839f611c,b165a4be47b66319c66becc75e14d96bd556df5fdd6f4bc926edd18e839f611c,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-45 0000.CSV,129848,9cf1f4773b68fe03abed31e87c929983040a5d19d249aaad28099fcdb14eb678,9cf1f4773b68fe03abed31e87c929983040a5d19d249aaad28099fcdb14eb678,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-46 0000.CSV,187225,1971f737c8da8286a09bc02208fbed1aff9249f5faf0c8b47d202ea2611bcb82,1971f737c8da8286a09bc02208fbed1aff9249f5faf0c8b47d202ea2611bcb82,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-47 0000.CSV,156331,0c0fad95890c88dedd267ce5030ee8e44459e1287afcab385d2b19dd9baf6341,0c0fad95890c88dedd267ce5030ee8e44459e1287afcab385d2b19dd9baf6341,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-48 0000.CSV,158213,26bb9b2eb68820af2fec3b6adba22beb43cd5ced1802d53810be2d64c4e5538e,26bb9b2eb68820af2fec3b6adba22beb43cd5ced1802d53810be2d64c4e5538e,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-49 0000.CSV,171170,5f4782744b02dd3573d03f3b4063d8b7ce9d07c00413ae2a2cd1257cb156a621,5f4782744b02dd3573d03f3b4063d8b7ce9d07c00413ae2a2cd1257cb156a621,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-5 0000.CSV,168507,c46c1cf6e88f9169ce03a0a71dea48985b0a58efe30c057da7216fadb680a187,c46c1cf6e88f9169ce03a0a71dea48985b0a58efe30c057da7216fadb680a187,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-50 0000.CSV,159576,0804e8d59475aeedc59b8a77c906efae3a2970cd3a61c65f89db8b88b95c252e,0804e8d59475aeedc59b8a77c906efae3a2970cd3a61c65f89db8b88b95c252e,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-51 0000.CSV,140118,fe9d7e5a37a5e53fb9a2c67a434be4d79e43017918cb31039ff34c9a975e4b92,fe9d7e5a37a5e53fb9a2c67a434be4d79e43017918cb31039ff34c9a975e4b92,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-52 0000.CSV,129796,408a60f973d35103ca342c8f21b785c5572119491fa080c0f74cd6314e9b575a,408a60f973d35103ca342c8f21b785c5572119491fa080c0f74cd6314e9b575a,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-53 0000.CSV,150514,786492de6b4da518aa69f2f5ad746daedf6e3ffa1da5af0b675595c998bc71d0,786492de6b4da518aa69f2f5ad746daedf6e3ffa1da5af0b675595c998bc71d0,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-54 0000.CSV,149725,f004460253ce503c2a3f3395095b488525a617bff8e8925c62b10064f613c372,f004460253ce503c2a3f3395095b488525a617bff8e8925c62b10064f613c372,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-55 0000.CSV,133898,b2358bb1e5e4f1b7a6315082fac3422bb9a545ed866422a46d4bca09cc2d2e99,b2358bb1e5e4f1b7a6315082fac3422bb9a545ed866422a46d4bca09cc2d2e99,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-6 0000.CSV,147763,31bd1e9e202561575d6111d465345ff8a482b7ecd1c83fcb59844cf8c5b8f9fd,31bd1e9e202561575d6111d465345ff8a482b7ecd1c83fcb59844cf8c5b8f9fd,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-61 0000.CSV,271442,1f28e43460746a7cd23cebb198127899a623f4f00d0defc87255daa0a8c4b47d,1f28e43460746a7cd23cebb198127899a623f4f00d0defc87255daa0a8c4b47d,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-62 0000.CSV,296160,e9bfb3b49e71f8ed9a2d26883b6dd8f5d670019576bd40388ec52827f11dbbbf,e9bfb3b49e71f8ed9a2d26883b6dd8f5d670019576bd40388ec52827f11dbbbf,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-66 0000.CSV,241838,342e870be5d80f942b8cb24f7aaf28bbcbfe5e8a1ae2e795287c530aee3038a2,342e870be5d80f942b8cb24f7aaf28bbcbfe5e8a1ae2e795287c530aee3038a2,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-67 0000.CSV,278086,abbc3b3cdbf56ad498d4f6c0c8222406f01663662ad48f34b0bcc95fc4678d63,abbc3b3cdbf56ad498d4f6c0c8222406f01663662ad48f34b0bcc95fc4678d63,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-7 0000.CSV,147153,74fb18a8291997b4b1137648d2e286762d9d503252c9c970c27c9438dcee90c7,74fb18a8291997b4b1137648d2e286762d9d503252c9c970c27c9438dcee90c7,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-8 0000.CSV,157935,a9b71484c3f439d644020ce13f74753a24bbae97e101ec775a40f801b4a1ad0d,a9b71484c3f439d644020ce13f74753a24bbae97e101ec775a40f801b4a1ad0d,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c16-9 0000.CSV,141665,08db5753699a52e2f6bc6e6817719ff30ded20c406f1b9cd59368b91a7a8dfd0,08db5753699a52e2f6bc6e6817719ff30ded20c406f1b9cd59368b91a7a8dfd0,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c24-1 0000.CSV,177991,588a6888caebc32a4a4a110e2165729badf2c86fd94cf6a8dafa12b6e67d5dff,588a6888caebc32a4a4a110e2165729badf2c86fd94cf6a8dafa12b6e67d5dff,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c24-10 0000.CSV,213376,2f70547a66a9dbb9786ce41320a4daf132f676c8c6da5ba9d385182c106b2700,2f70547a66a9dbb9786ce41320a4daf132f676c8c6da5ba9d385182c106b2700,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c24-10t 0000.CSV,248759,2e995a707ce37b2752e3ded37ac7d040dab35cc4ee20b953d389e7f9c1f5c3a8,2e995a707ce37b2752e3ded37ac7d040dab35cc4ee20b953d389e7f9c1f5c3a8,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c24-11 0000.CSV,233282,cd42c529c5ac319ee203917c08d95627275c206d3dab71df5f50a799410434f1,cd42c529c5ac319ee203917c08d95627275c206d3dab71df5f50a799410434f1,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c24-11t 0000.CSV,381858,ccf536c948c316ef064ad90b44dc9363f3ef0d53666d0c6fec6e913e87a6c893,ccf536c948c316ef064ad90b44dc9363f3ef0d53666d0c6fec6e913e87a6c893,HASH_MATCH
local:hasebe_v3_root,8scdmfdcfb/v3/4_Compression after impact testing raw data/c24-12 0000.CSV,214786,203a3fdd5eb8df658e2cc5d1244de683a2b52ca2d2050419497a758c7966e22a,203a3fdd5eb8df658e2cc5d1244de683a2b52ca2d2050419497a758c7966e22a,HASH_MATCH
