specimen_id,domain_id,primary,raw_relative_path,raw_sha256,raw_size,parse_status,parse_error,internal_title,title_matches_canonical,canonical_workbook_crosscheck_count,n_rows,sampling_hz,columns,units,peak_row,extension_finite_fraction,extension_min,extension_max,load_finite_fraction,load_min,load_max,strain_fl_finite_fraction,strain_fl_min,strain_fl_max,strain_fr_finite_fraction,strain_fr_min,strain_fr_max,strain_bl_finite_fraction,strain_bl_min,strain_bl_max,strain_br_finite_fraction,strain_br_min,strain_br_max
c24-9,xcmzfsbd9t,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c24-9 0000.CSV,277f194e2f0384d8a3f9daf96058d0f3f1816a8791992189c28cbdd9556a06b5,186610,PASS,,c24-9,true,3,2997,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2596,1,-0.85499999999999998,0.0025000000000000001,1,-2.3046880000000001,0.0015625000000000001,1,-3635.9380000000001,17.1875,1,-3654.6880000000001,17.1875,1,-4037.5,25,1,-3962.5,15.625
c24-9t,xcmzfsbd9t,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c24-9t 0000.CSV,237bc9a96ae5a800db4a9fc44de591f1733796becc35be4efe9f02571355545f,210346,PASS,,c24-9t,true,3,3333,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2891,1,-0.97562499999999996,0.0031250000000000002,1,-2.6056249999999999,-0.0025000000000000001,1,-4175,32.8125,1,-4140.625,17.1875,1,-4690.625,7.8125,1,-4317.1880000000001,0
c8-10t,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-10t 0000.CSV,ecc2c1d0592a9713e40bc704ed214ee053e904a10b09624f574babbf065a0a65,139299,PASS,,c8-10t,true,3,2310,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,1891,1,-0.53562500000000002,0.0037499999999999999,1,-0.62031250000000004,-0.0028124999999999999,1,-2187.5,37.5,1,-2385.9380000000001,17.1875,1,-3810.9380000000001,21.875,1,-4006.25,15.625
c8-11,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-11 0000.CSV,8c456607d83de85fe962ac91780b6070a394c9e12ffa1ab0b7009d1051f13c25,121841,PASS,,c8-11,true,3,1950,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,1556,1,-0.50124999999999997,0.0025000000000000001,1,-0.60250000000000004,0.00031250000000000001,1,-2415.625,3.125,1,-2457.8130000000001,-12.5,1,-3537.5,-1.5625,1,-3882.8130000000001,-9.375
c8-11t,,false,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-11t 0000.CSV,292678088d6c2c7e8e3b65fa1bf4d1953c71b61fc907cd1da7e94c79a0898ed4,147218,PASS,,c8-11t,true,3,2391,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2036,1,-0.65968749999999998,0.0040625000000000001,1,-0.8075,0.010625000000000001,1,-2721.875,87.5,1,-2781.25,40.625,1,-5179.6880000000001,190.625,1,-5210.9380000000001,109.375
c8-12,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-12 0000.CSV,0b71499a3be3ffce89c1c5f80f9a1142f941232a5a22a7d97a55ab292b3cea37,121516,PASS,,c8-12,true,3,1947,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,1556,1,-0.5128125,0.00125,1,-0.61312500000000003,0.00125,1,-2473.4380000000001,1.5625,1,-2710.9380000000001,-9.375,1,-3575,-1.5625,1,-3687.5,-3.125
c8-12t,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-12t 0000.CSV,7a3585987f69cb453052701595e4bf2857fa2ca47104a10b90b2efd19ff23ab6,174959,PASS,,c8-12t,true,3,2838,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2292,1,-0.73843749999999997,0.0031250000000000002,1,-0.79843750000000002,-0.0028124999999999999,1,-7214.0630000000001,51198.440000000002,1,-8867.1880000000001,139.0625,1,-4645.3130000000001,1162.5,1,-4757.8130000000001,1490.625
c8-13,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-13 0000.CSV,5f04aae972decdae0951dec79a47ded38897430f44658873de769f8d31f79de6,174242,PASS,,c8-13,true,3,2814,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2417,1,-0.78562500000000002,0.0037499999999999999,1,-0.82437499999999997,-0.0025000000000000001,1,-2882.8130000000001,185.9375,1,-3473.4380000000001,35.9375,1,-5665.625,7.8125,1,-5987.5,121.875
c8-14,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-14 0000.CSV,4bf1477f19da8050fac82ef0c6eea192b15591568ebed40528b4b85e9f9ebe28,166691,PASS,,c8-14,true,3,2688,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2310,1,-0.74312500000000004,0.0056249999999999998,1,-0.82343750000000004,0,1,-3079.6880000000001,51198.440000000002,1,-3092.1880000000001,489.0625,1,-5470.3130000000001,29.6875,1,-5800,12.5
c8-15,74t7kcdgkr,true,8scdmfdcfb/v3/4_Compression after impact testing raw data/c8-15 0000.CSV,9ebbece92c9994b695ccfa861ce7b872b094f2fa9f8d8da793ab12eac7ec04b1,168822,PASS,,c8-15,true,3,2703,50,Extension|Load|Strain-FL|Strain-FR|Strain-BL|Strain-BR,V|V|με|με|με|με,2255,1,-0.76343749999999999,0.0043750000000000004,1,-0.83999999999999997,-0.0025000000000000001,1,-2764.0630000000001,43.75,1,-3382.8130000000001,300,1,-5914.0630000000001,285.9375,1,-6145.3130000000001,-4.6875
