specimen_id,domain_id,primary,raw_parse_status,csv_unit_row,csv_strain_unit_label,article_strain_unit_label,cross_source_label_conflict,sign_convention_resolved,status,jis_modulus_authorized,maximum_strain_authorized
c16-1,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-10,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-11,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-12,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-13,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-14,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-15,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-16,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-17,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-18,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-19,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-2,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-20,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-21,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-22,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-23,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-24,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-25,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-26,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-27,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-28,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-29,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-3,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-30,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-32,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-33,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-34,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-35,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-36,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-37,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-38,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-39,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-4,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-40,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-41,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-42,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-43,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-44,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-45,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-46,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-47,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-48,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-49,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-5,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-50,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-51,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-52,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-53,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-54,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-55,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-6,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-61,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-62,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-66,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-67,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-7,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-8,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c16-9,yfxyg8jm46,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c24-1,,false,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c24-10,xcmzfsbd9t,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c24-10t,xcmzfsbd9t,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c24-11,xcmzfsbd9t,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c24-11t,xcmzfsbd9t,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
c24-12,xcmzfsbd9t,true,PASS,V|V|με|με|με|με,microstrain,micrometre_in_prose,true,false,STRAIN_UNIT_UNRESOLVED,false,false
