specimen_id,view,file_id,relative_path,sha256,size,integrity_status,local_bytes_verified,input_forbidden
c16-1,back,88f1bd54-44b8-4814-b690-f03f96633f83,8scdmfdcfb/v3/3_Specimen image/c16-1_back.jpg,4012c6daec9667b80a1a18fc7ef92a9898c1f208863cdee21035b0706aa72740,1946908,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-1,front,4dad690d-085b-44d7-b2b3-1f1b0ca27a89,8scdmfdcfb/v3/3_Specimen image/c16-1_front.jpg,b2ec5c62a52cbd0098a8aa7390593b7294423378f1e299371a5279b974c64616,1961152,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-10,back,12584c0b-e84b-400e-973f-bc073f9946dd,8scdmfdcfb/v3/3_Specimen image/c16-10_back.jpg,942e84167bd589970c9cfd6120fce49923d1e74357a38b1e47d5c02a1acf4fd7,1970401,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-10,front,29055ca2-df78-4ecc-89b2-aaaf850a5c74,8scdmfdcfb/v3/3_Specimen image/c16-10_front.jpg,e2f97f4e3c3955231ed0c4a1a909b3c029c2447fda13c4378ed1bb8196061c85,1991464,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-11,back,a13965b2-0064-42a1-b9ab-00110263e5ed,8scdmfdcfb/v3/3_Specimen image/c16-11_back.jpg,4c5d164f97b99f2fec2632c1b37248a586e54d883edd429ec0623de23d05e9d4,1969531,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-11,front,8cb48454-1ff3-4b44-b856-088cb8339f8e,8scdmfdcfb/v3/3_Specimen image/c16-11_front.jpg,aa2ea482f4e4d34a8814e7cc7fe64c56377cf0778e5142d8e3691663209c5759,2001283,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-12,back,9af4449d-dd5f-4a16-b96a-335d63ab3331,8scdmfdcfb/v3/3_Specimen image/c16-12_back.jpg,8c828e423d8dc233bc63ee73ee21ab7206bb351873ed03deed3a14c4d6e6cfd2,1955373,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-12,front,bcc75d58-eb50-448f-9059-ec538d5b39b5,8scdmfdcfb/v3/3_Specimen image/c16-12_front.jpg,5b5e241fe2e39a1718a2039622982595577a0d76733745b4f561c68e14c784d4,1969473,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-13,back,246b36be-0ae2-4862-9f0e-e45c374d1f5b,8scdmfdcfb/v3/3_Specimen image/c16-13_back.jpg,4dd4cb9172d93ac86bd84207b007b39b90f728f5245e3aa521535d7d1fab3be7,1842089,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-13,front,415313ce-196b-47be-b8dd-bb2a3cf07ef8,8scdmfdcfb/v3/3_Specimen image/c16-13_front.jpg,327d46fd36987e2db676c9d71678609b5330598bccb5c5590dec07b5cf766c74,1807447,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-14,back,bab8b32b-df1f-4cc6-8d3b-a37346519088,8scdmfdcfb/v3/3_Specimen image/c16-14_back.jpg,37b1aead8505b5b81ebb0fecaf2564da12bfb4ffdfffacc02c86ed659de70931,1824805,REMOTE_OFFICIAL_HASH_BOUND,false,true
c16-14,front,1a9d4405-cb3a-4729-a2f1-e9292e54eb48,8scdmfdcfb/v3/3_Specimen image/c16-14_front.jpg,c3f051c47ea6ce4555008ba47dc8f797547a5ab8152c0f7069243f88be7afeb2,1786525,REMOTE_OFFICIAL_HASH_BOUND,false,true
