specimen_id,domain_id,primary,status,error,width_mm,thickness_mm,peak_row,extension_at_peak_mm,raw_peak_mpa,published_peak_mpa,signed_error_mpa,absolute_error_mpa,absolute_tolerance_mpa,passed
c16-1,yfxyg8jm46,true,PASS,,50.136333329999999,3.0750000000000002,2079,-0.61281249999999998,213.34105430047239,213.34105430047239,0,0,0.0050000000000000001,true
c16-10,yfxyg8jm46,true,PASS,,50.155666670000002,3.0920000000000001,2223,-0.64875000000000005,245.08319035907371,245.08319035907371,0,0,0.0050000000000000001,true
c16-11,yfxyg8jm46,true,PASS,,50.150333330000002,3.0859999999999999,2147,-0.60499999999999998,226.25184889009029,226.25184889009029,0,0,0.0050000000000000001,true
c16-12,yfxyg8jm46,true,PASS,,50.148666669999997,3.081,2583,-0.7628125,268.03815167916792,268.03815167916792,0,0,0.0050000000000000001,true
c16-13,yfxyg8jm46,true,PASS,,50.141333330000002,3.1110000000000002,4348,-1.3553120000000001,510.90123986463789,510.901239864638,-1.1368683772161603e-13,1.1368683772161603e-13,0.0050000000000000001,true
c16-14,yfxyg8jm46,true,PASS,,50.149333329999997,3.1099999999999999,4140,-1.2887500000000001,508.22887436170475,508.22887436170481,-5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-15,yfxyg8jm46,true,PASS,,50.140666670000002,3.105,3991,-1.2403120000000001,485.39978698881168,485.39978698881168,0,0,0.0050000000000000001,true
c16-16,yfxyg8jm46,true,PASS,,50.134999999999998,3.085,4027,-1.2271879999999999,499.25977817752687,499.25977817752693,-5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-17,yfxyg8jm46,true,PASS,,50.134333329999997,3.0960000000000001,4156,-1.2925,512.54205951489291,512.54205951489291,0,0,0.0050000000000000001,true
c16-18,yfxyg8jm46,true,PASS,,50.138333330000002,3.0990000000000002,4426,-1.38375,542.12306909644292,542.12306909644303,-1.1368683772161603e-13,1.1368683772161603e-13,0.0050000000000000001,true
c16-19,yfxyg8jm46,true,PASS,,50.139333329999999,3.1059999999999999,2283,-0.68281250000000004,247.97093230847486,247.9709323084748,5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-2,yfxyg8jm46,true,PASS,,50.135333330000002,3.0659999999999998,2229,-0.65187499999999998,245.73702444542886,245.7370244454288,5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-20,yfxyg8jm46,true,PASS,,50.152333329999998,3.0680000000000001,2256,-0.64406249999999998,239.29912959780904,239.29912959780901,2.8421709430404007e-14,2.8421709430404007e-14,0.0050000000000000001,true
c16-21,yfxyg8jm46,true,PASS,,50.151000000000003,3.0329999999999999,2215,-0.62875000000000003,207.70606102902565,207.70606102902559,5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-22,yfxyg8jm46,true,PASS,,50.147333330000002,3.048,3999,-1.2284379999999999,488.58458234515172,488.58458234515172,0,0,0.0050000000000000001,true
c16-23,yfxyg8jm46,true,PASS,,50.145666669999997,3.073,4176,-1.282813,506.42617370505008,506.42617370505008,0,0,0.0050000000000000001,true
c16-24,yfxyg8jm46,true,PASS,,50.145000000000003,3.0800000000000001,4587,-1.4321870000000001,523.44143542169263,523.44143542169263,0,0,0.0050000000000000001,true
c16-25,yfxyg8jm46,true,PASS,,50.14533333,3.1099999999999999,1896,-0.53656250000000005,199.5304815742978,199.5304815742978,0,0,0.0050000000000000001,true
c16-26,yfxyg8jm46,true,PASS,,50.147333330000002,3.1379999999999999,1852,-0.5390625,200.6218680217481,200.6218680217481,0,0,0.0050000000000000001,true
c16-27,yfxyg8jm46,true,PASS,,50.142666669999997,3.1269999999999998,2132,-0.62406249999999996,227.70413771228576,227.70413771228581,-5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-28,yfxyg8jm46,true,PASS,,50.145666669999997,3.1259999999999999,4189,-1.3031250000000001,493.40419973699107,493.40419973699102,5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-29,yfxyg8jm46,true,PASS,,50.145000000000003,3.1269999999999998,3931,-1.2253130000000001,477.11014457178754,477.11014457178749,5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-3,yfxyg8jm46,true,PASS,,50.137,3.0899999999999999,1796,-0.51718750000000002,192.23218349360292,192.23218349360289,2.8421709430404007e-14,2.8421709430404007e-14,0.0050000000000000001,true
c16-30,yfxyg8jm46,true,PASS,,50.148666669999997,3.0920000000000001,4119,-1.2896879999999999,508.97742309301339,508.97742309301339,0,0,0.0050000000000000001,true
c16-32,yfxyg8jm46,true,PASS,,50.143999999999998,3.1030000000000002,1980,-0.56062500000000004,212.33771006340285,212.3377100634028,5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-33,yfxyg8jm46,true,PASS,,50.15133333,3.1379999999999999,1754,-0.50624999999999998,186.50736544435432,186.50736544435429,2.8421709430404007e-14,2.8421709430404007e-14,0.0050000000000000001,true
c16-34,yfxyg8jm46,true,PASS,,50.149666670000002,3.1400000000000001,1995,-0.57999999999999996,195.42426568713805,195.42426568713799,5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-35,yfxyg8jm46,true,PASS,,50.144333330000002,3.1099999999999999,2184,-0.65281250000000002,238.65994291210845,238.65994291210839,5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-36,yfxyg8jm46,true,PASS,,50.144333330000002,3.1480000000000001,2482,-0.75,273.39282638974959,273.39282638974959,0,0,0.0050000000000000001,true
c16-37,yfxyg8jm46,true,PASS,,50.143333329999997,3.125,2673,-0.81156249999999996,293.15960914000931,293.15960914000931,0,0,0.0050000000000000001,true
c16-38,yfxyg8jm46,true,PASS,,50.143666670000002,3.129,3077,-0.93000000000000005,373.59703292490605,373.59703292490622,-1.7053025658242404e-13,1.7053025658242404e-13,0.0050000000000000001,true
c16-39,yfxyg8jm46,true,PASS,,50.145666669999997,3.133,2107,-0.62,234.76339079535219,234.76339079535211,8.5265128291212022e-14,8.5265128291212022e-14,0.0050000000000000001,true
c16-4,yfxyg8jm46,true,PASS,,50.148000000000003,3.089,1872,-0.55531249999999999,210.86225110351893,210.8622511035189,2.8421709430404007e-14,2.8421709430404007e-14,0.0050000000000000001,true
c16-40,yfxyg8jm46,true,PASS,,50.14233333,3.1030000000000002,3991,-1.23,475.05165023988474,475.05165023988479,-5.6843418860808015e-14,5.6843418860808015e-14,0.0050000000000000001,true
c16-41,yfxyg8jm46,true,PASS,,50.144333330000002,3.1360000000000001,2415,-0.71406250000000004,275.63132131167202,275.63132131167202,0,0,0.0050000000000000001,true
