outer_domain,domain_id,mode,specimen_count,next_action_regret,one_step_cai_utility,spearman,ndcg,recall_at_k,statistical_unit
74t7kcdgkr,74t7kcdgkr,positions_only,45,0.009453283521393664,0.00018663380197209538,0.007332810330970476,0.8760392007509801,0.09937777777777779,held_out_domain
74t7kcdgkr,74t7kcdgkr,real,45,0.009392252778805968,0.00024766454455979155,0.026151713937237257,0.8742854665611157,0.10417777777777779,held_out_domain
74t7kcdgkr,74t7kcdgkr,shuffled,45,0.009370756901430164,0.00026916042193559514,0.020605694843335545,0.8745290008037813,0.10577777777777778,held_out_domain
74t7kcdgkr,74t7kcdgkr,static,45,0.00954560231281629,0.00009431501054946943,0.004265397184894118,0.8729939450451591,0.10453333333333335,held_out_domain
cgtnjyggtm,cgtnjyggtm,positions_only,49,0.013747575656278295,0.0004018424243222762,0.03470143313490801,0.890083887793361,0.0576326530612245,held_out_domain
cgtnjyggtm,cgtnjyggtm,real,49,0.014040124733912807,0.00010929334668776518,0.01893206944979078,0.8903605771480912,0.059102040816326536,held_out_domain
cgtnjyggtm,cgtnjyggtm,shuffled,49,0.014117362925370181,0.00003205515523039093,0.03022479054261978,0.8914921401630294,0.08767346938775511,held_out_domain
cgtnjyggtm,cgtnjyggtm,static,49,0.01413086555149888,0.000018552529101691504,0.028729501050562645,0.8880456518220959,0.05518367346938776,held_out_domain
w68dtmpfyf,w68dtmpfyf,positions_only,43,0.010555402420915053,0.0006418181929986748,0.10144920206690215,0.9123699374888986,0.04558139534883721,held_out_domain
w68dtmpfyf,w68dtmpfyf,real,43,0.010939389575407518,0.00025783103850621046,0.0828647574306819,0.9100293380121809,0.058604651162790705,held_out_domain
w68dtmpfyf,w68dtmpfyf,shuffled,43,0.010593129453677264,0.0006040911602364641,0.10857669253612942,0.9126339198589183,0.06865116279069769,held_out_domain
w68dtmpfyf,w68dtmpfyf,static,43,0.01106347175978553,0.00013374885412819717,0.08036709585629555,0.9098016858870942,0.04613953488372093,held_out_domain
xcmzfsbd9t,xcmzfsbd9t,positions_only,59,0.015701763119875693,0.00011701860567620205,0.026312536586134916,0.8808111995018524,0.047050847457627124,held_out_domain
xcmzfsbd9t,xcmzfsbd9t,real,59,0.015810908850910976,7.872874640923147e-6,0.027011046626661938,0.8811369741250853,0.0648135593220339,held_out_domain
xcmzfsbd9t,xcmzfsbd9t,shuffled,59,0.01563902378357579,0.0001797579419761095,0.02743751658638509,0.8816910021298137,0.04989830508474577,held_out_domain
xcmzfsbd9t,xcmzfsbd9t,static,59,0.01581759734995527,1.1843755966293589e-6,0.03430077732881452,0.8811743087905944,0.05098305084745763,held_out_domain
yfxyg8jm46,yfxyg8jm46,positions_only,42,0.012509506739523729,-0.0003356990359898434,0.022814417028467263,0.881466555332656,0.05180952380952381,held_out_domain
yfxyg8jm46,yfxyg8jm46,real,42,0.012796469615821251,-0.0006226619122873664,-0.03562785628249904,0.8767420646857957,0.05085714285714286,held_out_domain
yfxyg8jm46,yfxyg8jm46,shuffled,42,0.012491082224112321,-0.0003172745205784372,-0.003442876410484482,0.8797613479570613,0.05676190476190477,held_out_domain
yfxyg8jm46,yfxyg8jm46,static,42,0.01296149101231446,-0.0007876833087805751,-0.04411726566655042,0.8756352454430945,0.03580952380952381,held_out_domain
ykhs7s2dck,ykhs7s2dck,positions_only,38,0.010401219820023027,-0.00023248101482741185,0.006930022182773427,0.8803307169635709,0.05284210526315789,held_out_domain
ykhs7s2dck,ykhs7s2dck,real,38,0.010317811743917646,-0.0001490729387220308,0.009428207016637555,0.8802321290298911,0.04315789473684211,held_out_domain
ykhs7s2dck,ykhs7s2dck,shuffled,38,0.010309781101576055,-0.0001410422963804396,0.013039885478369526,0.8810271320273825,0.048842105263157895,held_out_domain
ykhs7s2dck,ykhs7s2dck,static,38,0.010378741218222806,-0.00021000241302719178,0.007226722369051013,0.8802212821888472,0.03157894736842106,held_out_domain
