outer_domain,domain_id,mode,specimen_id,state_count,next_action_regret,one_step_cai_utility,spearman,ndcg,recall_at_k,statistical_unit
74t7kcdgkr,74t7kcdgkr,positions_only,c8-10t,25,0.006870260519554146,0.0005901456571692054,0.11517933787714525,0.9320122968951213,0.04800000000000001,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-11,25,0.017724572722147287,-0.0020112082711125855,0.05690692305822592,0.8503464466372819,0.16,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-12,25,0.01328411073693712,-0.0013404265384395942,-0.14516653025867973,0.8785068271978019,0.008,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-12t,25,0.006790308402622025,0.0025400392406781692,0.016794774655617864,0.9063083557429568,0.21600000000000003,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-13,25,0.005763383173619019,-0.0009502785708693473,-0.15828800305370325,0.8967160001409801,0.04,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-14,25,0.004475987247469577,0.0010910450302107977,0.05908652126751946,0.8910871157989924,0.128,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-15,25,0.008245265523882762,6.813393079267982e-6,0.1186764447244424,0.9154956123012904,0.21600000000000003,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-16,25,0.009859689743640949,-0.00025268415561586544,-0.06601400859102152,0.8765109381184266,0.032,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-17,25,0.003930770468052027,0.001757350770752435,-0.05785411725132903,0.8998464387565025,0.23199999999999998,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-18,25,0.004904825719450398,0.0028147370166147477,0.07791218583878476,0.91328731181796,0.28800000000000003,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-19,25,0.002773298415792218,0.00003535061362022418,0.04125894667884085,0.8611432524137504,0.04800000000000001,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-2,25,0.025757135778833984,-0.0023537082428727674,-0.1162618053396103,0.7846346002458375,0.04800000000000001,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-20,25,0.00963816802960953,0.0008229662697468809,-0.05907579601196563,0.9175149560310296,0.016,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-21,25,0.005399897895994838,0.0002838452725960261,0.014749777744865878,0.8304697096641988,0.20800000000000002,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-22,25,0.003914075930216949,-0.0005644788279234136,-0.14209659411592848,0.8485109923203454,0.08800000000000001,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-23,25,0.004415434358338408,0.00006183545505833443,0.036524441016427815,0.9238799337456567,0.16,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-24,25,0.0035836589766005834,0.0001804494984501037,-0.009138969238818535,0.8527650540690955,0.024000000000000004,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-25,25,0.010290747132387179,-0.0008182035539182619,-0.1117804197072226,0.8074968900629041,0.0,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-26,25,0.0037631846839478646,0.0021519266416342477,0.013710621009718453,0.8765108585912843,0.29600000000000004,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-27,25,0.009469713883244642,0.00016559932380304953,0.02275692307793598,0.93317755004291,0.032,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-28,25,0.0034825648900205543,-0.00013643680543921734,0.2851259412202595,0.9351409871269394,0.21600000000000003,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-29,25,0.008520905766589131,-0.000696166239396141,0.08823979803093117,0.8725153083813808,0.024000000000000004,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-3,25,0.010328240705985725,0.0002869538962995044,-0.07509201794159978,0.8794261777639929,0.136,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-30,25,0.008793149370432341,-0.0014476199004004409,0.07683873148319252,0.8300294051965486,0.032,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-32,25,0.008228473615422427,0.00008514252753097029,0.09915133475359085,0.8988325047590345,0.024000000000000004,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-33,25,0.0107748152351261,-0.00015851838400816832,-0.014088336370153378,0.8722637541761551,0.016,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-34,25,0.010407317077137032,-0.00048687398690626436,-0.0719174339865237,0.8895568341908554,0.0,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-35,25,0.012871088657284155,-0.0001708121435871046,-0.007110358995679819,0.7993953308255426,0.024000000000000004,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-36,25,0.00890599319552225,0.0007721886953988744,-0.02568828089528214,0.8611723910600176,0.04800000000000001,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-37,25,0.006565591380512452,-0.0005574107528466543,0.027864068962366702,0.9075166380142171,0.05600000000000001,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-38,25,0.012979996000414884,0.0001321609483085373,-0.09056136115930671,0.841395806575988,0.064,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-39,25,0.00985052040795467,0.00004482680600446098,0.03906057793238682,0.8183579807267123,0.09600000000000002,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-4,25,0.022403040617033593,-0.004178686557086304,-0.07247332164225438,0.8205353226626125,0.04,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-40,25,0.006009209032698792,-0.0030942121031412697,-0.12626012563372727,0.8986406944593291,0.11200000000000002,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-41,25,0.006525245935791628,0.002562349411926288,0.32269405634432025,0.9289481600512203,0.28,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-42,25,0.009572966697129792,0.0007760689821817746,0.2620368223856898,0.8876013759228695,0.064,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-43,25,0.005858538683648251,0.0003655233321263207,-0.01839334451916925,0.8547000492174064,0.008,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-5,25,0.014690806570352457,0.0028523991215922972,-0.018832861052810915,0.8568469342123479,0.14400000000000002,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-6,25,0.02372414029071336,0.0018152949802344852,0.016264166476837972,0.7997815408594657,0.12,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-6t,25,0.006874799625901171,0.0015563956105771749,-0.05019959785232915,0.9109074352230939,0.15200000000000002,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-7,25,0.0224419945611239,-0.0010108408234891896,0.08468639288605967,0.8336567904956038,0.04800000000000001,physical_specimen
74t7kcdgkr,74t7kcdgkr,positions_only,c8-8,25,0.014912419771529675,-0.0009524503388084992,-0.013893630232234533,0.8775903033410226,0.07200000000000001,physical_specimen
