replicate,reference_mode,control_mode,control_minus_reference_regret,reference_minus_control_utility
0,spatial_real,deepsets_real,0.000016788097275461922,0.000016788097275461584
1,spatial_real,deepsets_real,-0.000011066774668541958,-0.000011066774668541175
2,spatial_real,deepsets_real,-0.000038351892601453816,-0.00003835189260145483
3,spatial_real,deepsets_real,0.000010180995332639194,0.000010180995332639163
4,spatial_real,deepsets_real,-0.00006278337464859744,-0.00006278337464859735
5,spatial_real,deepsets_real,-0.000022480827227377813,-0.00002248082722737849
6,spatial_real,deepsets_real,2.1142552616880534e-6,2.114255261687369e-6
7,spatial_real,deepsets_real,0.00002216438645711415,0.000022164386457113218
8,spatial_real,deepsets_real,-0.000025396173508609256,-0.00002539617350860885
9,spatial_real,deepsets_real,0.000017899081866899296,0.000017899081866900343
10,spatial_real,deepsets_real,0.00007301572033938455,0.00007301572033938405
11,spatial_real,deepsets_real,0.00004880478316055878,0.00004880478316055836
12,spatial_real,deepsets_real,0.000015070491256388418,0.000015070491256389304
13,spatial_real,deepsets_real,0.000051891568563621045,0.00005189156856362088
14,spatial_real,deepsets_real,-0.000010491183051511942,-0.00001049118305151304
15,spatial_real,deepsets_real,-0.00010411705742955062,-0.00010411705742955012
16,spatial_real,deepsets_real,0.000024757524614987408,0.000024757524614987445
17,spatial_real,deepsets_real,-0.000028430963718604634,-0.000028430963718606095
18,spatial_real,deepsets_real,0.00005756097278358912,0.000057560972783589024
19,spatial_real,deepsets_real,-0.00009337546707703474,-0.00009337546707703392
20,spatial_real,deepsets_real,0.000018665290850210122,0.000018665290850209383
21,spatial_real,deepsets_real,-0.000050274858551689845,-0.000050274858551691546
22,spatial_real,deepsets_real,0.000013010239053380031,0.00001301023905337864
23,spatial_real,deepsets_real,-1.511134303684251e-6,-1.511134303683623e-6
24,spatial_real,deepsets_real,0.00009883412537574267,0.00009883412537574315
25,spatial_real,deepsets_real,0.00006123943709424474,0.00006123943709424441
26,spatial_real,deepsets_real,-0.000024575953839939962,-0.000024575953839940383
27,spatial_real,deepsets_real,0.000014206773385197722,0.000014206773385197911
28,spatial_real,deepsets_real,0.00007709019017715889,0.00007709019017715734
29,spatial_real,deepsets_real,8.889767043425076e-6,8.889767043425203e-6
30,spatial_real,deepsets_real,0.000059128650550720946,0.000059128650550720716
31,spatial_real,deepsets_real,0.00006519000281118906,0.00006519000281119085
32,spatial_real,deepsets_real,7.037041669320151e-6,7.037041669320085e-6
33,spatial_real,deepsets_real,-0.00001755254228565153,-0.000017552542285651124
34,spatial_real,deepsets_real,-0.0000789262001329458,-0.00007892620013294481
35,spatial_real,deepsets_real,-0.0000434871333452848,-0.000043487133345284805
36,spatial_real,deepsets_real,-0.00007890788675435356,-0.00007890788675435433
37,spatial_real,deepsets_real,0.000051953001347588255,0.00005195300134758839
38,spatial_real,deepsets_real,-9.443367956349022e-6,-9.443367956351075e-6
39,spatial_real,deepsets_real,0.000146937263285033,0.00014693726328503262
40,spatial_real,deepsets_real,-0.00008858945560008431,-0.00008858945560008568
41,spatial_real,deepsets_real,-0.00007166787489069817,-0.00007166787489069791
42,spatial_real,deepsets_real,-1.7830394172431892e-6,-1.783039417242769e-6
43,spatial_real,deepsets_real,0.00003564060571284068,0.000035640605712840735
44,spatial_real,deepsets_real,-0.00004099353639155518,-0.00004099353639155548
45,spatial_real,deepsets_real,0.000028965517348467317,0.000028965517348466236
46,spatial_real,deepsets_real,-0.0000932353993822645,-0.00009323539938226482
47,spatial_real,deepsets_real,-8.522848985934028e-7,-8.522848985934028e-7
48,spatial_real,deepsets_real,8.216210038242711e-7,8.216210038245286e-7
49,spatial_real,deepsets_real,0.000011171977498018794,0.000011171977498019011
50,spatial_real,deepsets_real,-0.00001934357556100808,-0.000019343575561006547
51,spatial_real,deepsets_real,-0.00012084564377383769,-0.00012084564377383682
52,spatial_real,deepsets_real,-0.0000950641405816751,-0.00009506414058167451
53,spatial_real,deepsets_real,-0.00003914282248549273,-0.00003914282248549357
54,spatial_real,deepsets_real,0.000057369371130396494,0.00005736937113039606
55,spatial_real,deepsets_real,-0.000028494743801336063,-0.000028494743801334562
56,spatial_real,deepsets_real,-0.00004425772793966986,-0.00004425772793967042
57,spatial_real,deepsets_real,-0.000057584207699898936,-0.00005758420769989909
58,spatial_real,deepsets_real,0.00004865090648840508,0.0000486509064884059
59,spatial_real,deepsets_real,-0.00007013118574903353,-0.00007013118574903276
60,spatial_real,deepsets_real,-7.169986658521246e-7,-7.169986658523888e-7
61,spatial_real,deepsets_real,7.762788344069411e-6,7.762788344068915e-6
62,spatial_real,deepsets_real,0.00006968777495193854,0.00006968777495193929
63,spatial_real,deepsets_real,-0.00011119235695887144,-0.00011119235695887098
64,spatial_real,deepsets_real,0.000037657638526156105,0.000037657638526156335
65,spatial_real,deepsets_real,-0.00004468827127557829,-0.00004468827127557823
66,spatial_real,deepsets_real,0.00017429720614658278,0.00017429720614658395
67,spatial_real,deepsets_real,-0.00005800430301044756,-0.00005800430301044676
68,spatial_real,deepsets_real,0.0000337748102657408,0.00003377481026574098
69,spatial_real,deepsets_real,0.000037356132336308544,0.0000373561323363087
70,spatial_real,deepsets_real,-0.000016821674751678627,-0.000016821674751679315
71,spatial_real,deepsets_real,-0.00008051893576029757,-0.00008051893576029783
72,spatial_real,deepsets_real,0.000022092137687652832,0.000022092137687654207
73,spatial_real,deepsets_real,0.0000925732535052683,0.00009257325350526796
74,spatial_real,deepsets_real,0.000022009085239929904,0.00002200908523992974
75,spatial_real,deepsets_real,-0.00005690266401490862,-0.00005690266401490839
76,spatial_real,deepsets_real,-0.000037456369118537475,-0.00003745636911853742
77,spatial_real,deepsets_real,0.000060411369483545696,0.00006041136948354588
78,spatial_real,deepsets_real,0.0000630974991918205,0.00006309749919182103
79,spatial_real,deepsets_real,-0.00012110963011280051,-0.0001211096301127995
80,spatial_real,deepsets_real,-0.00002698354452861356,-0.000026983544528613557
81,spatial_real,deepsets_real,-0.000052037971066474197,-0.000052037971066474305
82,spatial_real,deepsets_real,0.00006570144998470882,0.00006570144998470903
83,spatial_real,deepsets_real,0.00013322450380191518,0.00013322450380191572
84,spatial_real,deepsets_real,0.000024399613847399307,0.000024399613847400314
85,spatial_real,deepsets_real,0.00010794314614196437,0.0001079431461419637
86,spatial_real,deepsets_real,0.00001971747094816426,0.00001971747094816442
87,spatial_real,deepsets_real,0.00004076073889804742,0.00004076073889804717
88,spatial_real,deepsets_real,-0.00005308239748930306,-0.00005308239748930247
89,spatial_real,deepsets_real,0.00007885537464335851,0.00007885537464336007
90,spatial_real,deepsets_real,0.000017950378877544585,0.00001795037887754398
91,spatial_real,deepsets_real,0.00008593019928806779,0.00008593019928806768
92,spatial_real,deepsets_real,-0.00001554788037135598,-0.000015547880371355808
93,spatial_real,deepsets_real,-0.0000580366533488944,-0.00005803665334889387
94,spatial_real,deepsets_real,-4.902494455454505e-6,-4.902494455454485e-6
95,spatial_real,deepsets_real,-0.00004679143395798271,-0.0000467914339579841
96,spatial_real,deepsets_real,0.000053958179406550164,0.00005395817940655016
97,spatial_real,deepsets_real,0.000028411251723791872,0.000028411251723792424
98,spatial_real,deepsets_real,-0.000020409323396262773,-0.000020409323396263488
99,spatial_real,deepsets_real,-0.00007255901352146096,-0.00007255901352146083
100,spatial_real,deepsets_real,-1.875190127360755e-6,-1.8751901273602625e-6
101,spatial_real,deepsets_real,-0.000031386238834766926,-0.00003138623883476686
102,spatial_real,deepsets_real,-0.00005360958010637804,-0.000053609580106378517
103,spatial_real,deepsets_real,-0.00006505906734704213,-0.00006505906734704254
104,spatial_real,deepsets_real,0.000034177098114870214,0.00003417709811487049
105,spatial_real,deepsets_real,-0.00002617783479471764,-0.00002617783479471769
106,spatial_real,deepsets_real,0.00004315620778672207,0.000043156207786721624
107,spatial_real,deepsets_real,-0.00007936294821770061,-0.00007936294821770104
108,spatial_real,deepsets_real,-0.00006533491713514178,-0.00006533491713514107
109,spatial_real,deepsets_real,-0.000028685543777428116,-0.000028685543777426317
110,spatial_real,deepsets_real,0.00011338910406579986,0.00011338910406580024
111,spatial_real,deepsets_real,0.00006201988560504933,0.00006201988560504847
112,spatial_real,deepsets_real,0.00007886805428354456,0.00007886805428354282
113,spatial_real,deepsets_real,0.00003631788154816474,0.00003631788154816463
114,spatial_real,deepsets_real,0.000024868505836521625,0.000024868505836522384
115,spatial_real,deepsets_real,-0.000024221431794425933,-0.000024221431794425723
116,spatial_real,deepsets_real,-0.00013833750387974575,-0.00013833750387974594
117,spatial_real,deepsets_real,-0.00002562233632575518,-0.000025622336325755633
118,spatial_real,deepsets_real,0.00005812317238779261,0.00005812317238779186
119,spatial_real,deepsets_real,-0.00007318444713320996,-0.00007318444713320964
120,spatial_real,deepsets_real,0.00005367633147743857,0.000053676331477439016
121,spatial_real,deepsets_real,-0.000060170453783292784,-0.00006017045378329302
122,spatial_real,deepsets_real,0.00008682172694488156,0.00008682172694488007
123,spatial_real,deepsets_real,6.339790127658784e-6,6.3397901276578855e-6
124,spatial_real,deepsets_real,4.5904602604101424e-6,4.590460260410057e-6
125,spatial_real,deepsets_real,-0.0000439771908176924,-0.00004397719081769303
126,spatial_real,deepsets_real,0.00008763779412259357,0.00008763779412259292
127,spatial_real,deepsets_real,-0.00008311785617713385,-0.00008311785617713369
128,spatial_real,deepsets_real,-7.3148492875970096e-6,-7.314849287597301e-6
129,spatial_real,deepsets_real,-0.00006455734038757933,-0.00006455734038757881
130,spatial_real,deepsets_real,0.00011733780697173717,0.00011733780697173835
131,spatial_real,deepsets_real,3.1017508071382502e-6,3.1017508071380647e-6
132,spatial_real,deepsets_real,-4.546339698844523e-6,-4.546339698843827e-6
133,spatial_real,deepsets_real,-9.440322974544705e-7,-9.440322974549087e-7
134,spatial_real,deepsets_real,-0.00001818895188339242,-0.00001818895188339139
135,spatial_real,deepsets_real,0.00002648803699689904,0.000026488036996899123
136,spatial_real,deepsets_real,-0.00008648793644502912,-0.00008648793644502894
137,spatial_real,deepsets_real,-0.00003631160792540774,-0.00003631160792540708
138,spatial_real,deepsets_real,-9.509686370750883e-6,-9.509686370750776e-6
139,spatial_real,deepsets_real,0.000049083606940414706,0.00004908360694041446
140,spatial_real,deepsets_real,-0.000012529359309377807,-0.000012529359309378842
141,spatial_real,deepsets_real,0.000016459218455479898,0.000016459218455479834
142,spatial_real,deepsets_real,-0.0000872140365329498,-0.0000872140365329499
143,spatial_real,deepsets_real,4.528146495189703e-6,4.528146495188619e-6
144,spatial_real,deepsets_real,-3.528573186093823e-6,-3.528573186094982e-6
145,spatial_real,deepsets_real,-0.000032119389199907845,-0.000032119389199908225
146,spatial_real,deepsets_real,-0.000026733086398387427,-0.000026733086398387047
147,spatial_real,deepsets_real,-0.000028210634793804774,-0.000028210634793804625
148,spatial_real,deepsets_real,-0.0001508907841152856,-0.00015089078411528593
149,spatial_real,deepsets_real,0.000024087988354249898,0.000024087988354249546
150,spatial_real,deepsets_real,-0.000022289283161229408,-0.00002228928316122921
151,spatial_real,deepsets_real,-0.000017874997783135817,-0.000017874997783136938
152,spatial_real,deepsets_real,0.000023527634298678435,0.0000235276342986788
153,spatial_real,deepsets_real,0.000029657546306278634,0.00002965754630627851
154,spatial_real,deepsets_real,0.00006184214616096184,0.00006184214616096169
155,spatial_real,deepsets_real,-0.00005577254773081464,-0.00005577254773081442
156,spatial_real,deepsets_real,-0.00005105534617346324,-0.00005105534617346485
157,spatial_real,deepsets_real,3.935391482710303e-6,3.935391482710154e-6
158,spatial_real,deepsets_real,0.00005826449258536457,0.00005826449258536383
159,spatial_real,deepsets_real,-0.00004523931562156058,-0.00004523931562156098
160,spatial_real,deepsets_real,-0.00015793767359258368,-0.00015793767359258379
161,spatial_real,deepsets_real,0.0000247940017245168,0.000024794001724516587
162,spatial_real,deepsets_real,-0.00008958475128502425,-0.00008958475128502474
163,spatial_real,deepsets_real,0.00006486004470056203,0.00006486004470056168
164,spatial_real,deepsets_real,0.000025905660733977914,0.000025905660733977094
165,spatial_real,deepsets_real,0.00003625312356145445,0.000036253123561453875
166,spatial_real,deepsets_real,7.68650054174154e-6,7.686500541741775e-6
167,spatial_real,deepsets_real,0.00009503140885675666,0.00009503140885675637
168,spatial_real,deepsets_real,-0.000049160101387415015,-0.00004916010138741621
169,spatial_real,deepsets_real,-0.00005128377548639622,-0.00005128377548639695
170,spatial_real,deepsets_real,-0.000010997606111798631,-0.000010997606111798726
171,spatial_real,deepsets_real,-0.00004201142696391944,-0.00004201142696392013
172,spatial_real,deepsets_real,0.0000764421396878626,0.00007644213968786217
173,spatial_real,deepsets_real,-0.00004472931468665203,-0.000044729314686651
174,spatial_real,deepsets_real,-0.00002639277681642001,-0.000026392776816420648
175,spatial_real,deepsets_real,0.00010945841149197135,0.00010945841149197104
176,spatial_real,deepsets_real,-0.000035498332994237054,-0.00003549833299423688
177,spatial_real,deepsets_real,0.00003320836133529631,0.00003320836133529514
178,spatial_real,deepsets_real,6.877821483797115e-7,6.877821483804208e-7
179,spatial_real,deepsets_real,0.00005913933903898613,0.000059139339038986824
180,spatial_real,deepsets_real,0.000020737575657326045,0.000020737575657325463
181,spatial_real,deepsets_real,0.000044139000304767535,0.00004413900030476579
182,spatial_real,deepsets_real,0.000078967416945288,0.00007896741694528799
183,spatial_real,deepsets_real,0.00001826909088572763,0.000018269090885728374
184,spatial_real,deepsets_real,-0.00009771554260963194,-0.00009771554260963222
185,spatial_real,deepsets_real,0.00006508066330596287,0.00006508066330596303
186,spatial_real,deepsets_real,2.9954639565498223e-6,2.9954639565495195e-6
187,spatial_real,deepsets_real,-0.00003986118579171836,-0.00003986118579171846
188,spatial_real,deepsets_real,-0.00008902608211714541,-0.0000890260821171455
189,spatial_real,deepsets_real,2.265413611625989e-6,2.2654136116255193e-6
190,spatial_real,deepsets_real,-0.00004849686617158875,-0.000048496866171588906
191,spatial_real,deepsets_real,-0.00006272243507576015,-0.0000627224350757597
192,spatial_real,deepsets_real,6.440590242955992e-6,6.440590242956961e-6
193,spatial_real,deepsets_real,-0.00004405566427764622,-0.00004405566427764644
194,spatial_real,deepsets_real,-0.00010952728951317953,-0.0001095272895131788
195,spatial_real,deepsets_real,0.00006969458947845714,0.00006969458947845833
196,spatial_real,deepsets_real,0.00004533847191413373,0.00004533847191413326
197,spatial_real,deepsets_real,-0.000031829215135720006,-0.00003182921513572061
198,spatial_real,deepsets_real,-0.0001385389314889522,-0.00013853893148895276
199,spatial_real,deepsets_real,-0.000010597788865826461,-0.000010597788865827291
200,spatial_real,deepsets_real,-0.000021853148836285807,-0.000021853148836286797
201,spatial_real,deepsets_real,-0.00008520913575230133,-0.00008520913575229931
202,spatial_real,deepsets_real,0.00005793200955838878,0.00005793200955838784
203,spatial_real,deepsets_real,-0.00001050681081477828,-0.000010506810814777065
204,spatial_real,deepsets_real,-0.00008532395329128098,-0.00008532395329128094
205,spatial_real,deepsets_real,-0.00003917987914669555,-0.00003917987914669596
206,spatial_real,deepsets_real,-0.000052281933659798,-0.000052281933659798634
207,spatial_real,deepsets_real,-0.00008750326396134561,-0.0000875032639613454
208,spatial_real,deepsets_real,-0.000024516548468784458,-0.000024516548468784214
209,spatial_real,deepsets_real,5.8054581414740516e-6,5.805458141473641e-6
210,spatial_real,deepsets_real,0.00006836737817044261,0.00006836737817044315
211,spatial_real,deepsets_real,9.27047696270966e-6,9.270476962710893e-6
212,spatial_real,deepsets_real,0.000100745487303649,0.00010074548730364898
213,spatial_real,deepsets_real,-1.0328679071654652e-6,-1.032867907165619e-6
214,spatial_real,deepsets_real,-0.00007748335767937629,-0.00007748335767937543
215,spatial_real,deepsets_real,-0.000019195649370036538,-0.000019195649370036894
216,spatial_real,deepsets_real,0.00022128090819553114,0.000221280908195532
217,spatial_real,deepsets_real,0.000020211899052898115,0.000020211899052898254
218,spatial_real,deepsets_real,-6.559340089591637e-7,-6.559340089595386e-7
219,spatial_real,deepsets_real,-0.000014569163366269454,-0.000014569163366268839
220,spatial_real,deepsets_real,-0.000020953821132896112,-0.000020953821132896552
221,spatial_real,deepsets_real,0.00007703717823176123,0.00007703717823176069
222,spatial_real,deepsets_real,0.00014995398477396938,0.00014995398477396843
223,spatial_real,deepsets_real,-0.00005102874529118798,-0.000051028745291187076
224,spatial_real,deepsets_real,-0.00007831828040833482,-0.00007831828040833393
225,spatial_real,deepsets_real,0.000045726089500151196,0.000045726089500151535
226,spatial_real,deepsets_real,0.000012669763234441958,0.000012669763234441709
227,spatial_real,deepsets_real,-0.00009455283308386353,-0.0000945528330838632
228,spatial_real,deepsets_real,-0.00007697038001373488,-0.00007697038001373473
229,spatial_real,deepsets_real,0.000019083229819068036,0.00001908322981906847
230,spatial_real,deepsets_real,-0.000022925208465070176,-0.0000229252084650707
231,spatial_real,deepsets_real,-0.000058692542009753,-0.00005869254200975232
232,spatial_real,deepsets_real,0.000035698918683161177,0.000035698918683160994
233,spatial_real,deepsets_real,0.000019886790577550682,0.000019886790577552312
234,spatial_real,deepsets_real,9.738644754554021e-6,9.738644754552539e-6
235,spatial_real,deepsets_real,0.00003406508748696335,0.000034065087486962255
236,spatial_real,deepsets_real,-0.000054362930069787895,-0.000054362930069788836
237,spatial_real,deepsets_real,0.0001383399213921987,0.00013833992139219886
238,spatial_real,deepsets_real,-0.00007291255769452416,-0.00007291255769452321
239,spatial_real,deepsets_real,0.000024024911268926443,0.000024024911268926226
240,spatial_real,deepsets_real,-0.000032182793997013494,-0.00003218279399701176
241,spatial_real,deepsets_real,-0.000029300555861974838,-0.00002930055586197341
242,spatial_real,deepsets_real,0.000023759937404632437,0.00002375993740463234
243,spatial_real,deepsets_real,3.22278651923869e-6,3.2227865192390287e-6
244,spatial_real,deepsets_real,-0.00010398157081679064,-0.00010398157081679207
245,spatial_real,deepsets_real,0.000054133702921679676,0.00005413370292167986
246,spatial_real,deepsets_real,0.00003827647310742331,0.000038276473107422546
247,spatial_real,deepsets_real,-0.00007840448393125366,-0.00007840448393125342
248,spatial_real,deepsets_real,-0.00003926625555568386,-0.000039266255555683284
249,spatial_real,deepsets_real,-0.00003275948231445455,-0.00003275948231445466
250,spatial_real,deepsets_real,-0.00001338418405906801,-0.00001338418405906718
251,spatial_real,deepsets_real,0.00004812899007758907,0.000048128990077589504
252,spatial_real,deepsets_real,3.866612408694008e-6,3.866612408693998e-6
253,spatial_real,deepsets_real,-4.44593605083658e-6,-4.445936050836466e-6
254,spatial_real,deepsets_real,-0.00004585433039720234,-0.00004585433039720168
255,spatial_real,deepsets_real,-0.000012139924444896054,-0.000012139924444895734
256,spatial_real,deepsets_real,0.0000884130330549085,0.0000884130330549093
257,spatial_real,deepsets_real,-6.535479645556422e-6,-6.535479645557018e-6
258,spatial_real,deepsets_real,0.00019780477359183606,0.00019780477359183652
259,spatial_real,deepsets_real,0.00008160143026546823,0.00008160143026546763
260,spatial_real,deepsets_real,-0.000010983952871523005,-0.000010983952871524368
261,spatial_real,deepsets_real,-0.00010713136686851463,-0.00010713136686851452
