figure_id,panel,method,outer_domain,cell_index,cell_row,cell_column,nominal_checkpoint,x_value,y_value,y_lower,y_upper,value_name
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,0,0,0,,,0.42227469246071553,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,1,0,1,,,0.41743484716212054,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,2,0,2,,,0.4165478749091078,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,3,0,3,,,0.4239846504691402,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,4,0,4,,,0.4417344337306202,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,5,0,5,,,0.4171214977279352,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,6,0,6,,,0.4326511760531047,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,7,0,7,,,0.4886411242162357,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,8,1,0,,,0.4803834823247575,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,9,1,1,,,0.4842751641483178,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,10,1,2,,,0.48639285299250573,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,11,1,3,,,0.4834180675308896,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,12,1,4,,,0.4818743957139315,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,13,1,5,,,0.48019618116412083,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,14,1,6,,,0.5132949256644453,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,15,1,7,,,0.5106039942340767,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,16,2,0,,,0.4673869017954169,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,17,2,1,,,0.4843941588592364,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,18,2,2,,,0.4822387731458746,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,19,2,3,,,0.47415030900854954,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,20,2,4,,,0.5071424877747116,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,21,2,5,,,0.4892065496507934,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,22,2,6,,,0.536920338842696,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,23,2,7,,,0.5386746512948847,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,24,3,0,,,0.4780098529535281,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,25,3,1,,,0.5002963448846348,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,26,3,2,,,0.5203812993739506,,,equal_outer_fold_mean_cell_score
A4_global_rankings,(a),global_appearance_mask,consensus_6_outer_folds,27,3,3,,,0.6121652881721776,,,equal_outer_fold_mean_cell_score
