axis,dataset_id,regular_mae,shuffled_mae,ssg,positive_domains,gate_status,ci_low,ci_high,simultaneous_low,simultaneous_high
sampling,74t7kcdgkr,0.056148624386427495,0.09515728266816535,0.03900865828173786,6,PASS,,,,
sampling,cgtnjyggtm,0.1256903478209235,0.13125002137661354,0.005559673555690037,6,PASS,,,,
sampling,w68dtmpfyf,0.09591215873425771,0.1210142149515746,0.025102056217316898,6,PASS,,,,
sampling,xcmzfsbd9t,0.08007407557812596,0.11079130275680377,0.03071722717867781,6,PASS,,,,
sampling,yfxyg8jm46,0.1372286603029861,0.15519548610207254,0.017966825799086428,6,PASS,,,,
sampling,ykhs7s2dck,0.05658745254778029,0.09256600599651234,0.03597855344873205,6,PASS,,,,
sampling,EQUAL_DOMAIN,0.09194021989508351,0.11766238564195702,0.025722165746873513,6,PASS,0.018890960227923432,0.032522785533270385,0.017397637981801883,0.03403193884613482
gaussian,74t7kcdgkr,0.07114647707739626,0.0968373130194844,0.02569083594208814,5,PASS,,,,
gaussian,cgtnjyggtm,0.1327430548803232,0.13284637851275283,0.00010332363242962495,5,PASS,,,,
gaussian,w68dtmpfyf,0.09539462327432482,0.11495473322390716,0.019560109949582336,5,PASS,,,,
gaussian,xcmzfsbd9t,0.14382074197192884,0.12171260280678081,-0.022108139165148033,5,PASS,,,,
gaussian,yfxyg8jm46,0.13330405464908224,0.16230710567762302,0.029003051028540783,5,PASS,,,,
gaussian,ykhs7s2dck,0.0577442203125918,0.09889209961974575,0.04114787930715395,5,PASS,,,,
gaussian,EQUAL_DOMAIN,0.10569219536094121,0.12125837214338232,0.015566176782441134,5,PASS,0.007816176408340298,0.02325903702974842,0.006114944777655106,0.024952152675696296
wavelet,74t7kcdgkr,0.07843486588724272,0.09422555295532553,0.015790687068082815,6,PASS,,,,
wavelet,cgtnjyggtm,0.12972422099269018,0.1353116823005578,0.005587461307867608,6,PASS,,,,
wavelet,w68dtmpfyf,0.10182537199693091,0.11797811399586489,0.016152741998933975,6,PASS,,,,
wavelet,xcmzfsbd9t,0.0800357126461411,0.11350629806560911,0.03347058541946801,6,PASS,,,,
wavelet,yfxyg8jm46,0.12466010364469217,0.164869237322205,0.04020913367751282,6,PASS,,,,
wavelet,ykhs7s2dck,0.07139338621809825,0.09985308442258799,0.028459698204489736,6,PASS,,,,
wavelet,EQUAL_DOMAIN,0.09767894356429922,0.12095732817702505,0.023278384612725828,6,PASS,0.01608305832335009,0.030414214908315362,0.014503218815888879,0.031929175990860925
