axis,scope,outer_group,selected_condition_id,full_condition_id,over_coarse_condition_id,boundary_confirmed,sufficient_025_json,sufficient_05_json,sufficient_075_json,candidate_scores_json
gaussian,source_outer_fold,yfxyg8jm46,gaussian:sigma=6,gaussian:sigma=0,gaussian:sigma=8,true,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2"",""gaussian:sigma=3"",""gaussian:sigma=4""]","[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2"",""gaussian:sigma=3"",""gaussian:sigma=4"",""gaussian:sigma=6""]","[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2"",""gaussian:sigma=3"",""gaussian:sigma=4"",""gaussian:sigma=6""]","[[""gaussian:sigma=0"",0.08619077491589897],[""gaussian:sigma=0.5"",0.08619601565692257],[""gaussian:sigma=1"",0.08462713562311061],[""gaussian:sigma=1.5"",0.08528057916385769],[""gaussian:sigma=2"",0.0861303343529082],[""gaussian:sigma=3"",0.08615721082182295],[""gaussian:sigma=4"",0.08799699720965341],[""gaussian:sigma=6"",0.09043624883436806],[""gaussian:sigma=8"",0.09317563102441462]]"
gaussian,source_outer_fold,ykhs7s2dck,gaussian:sigma=2,gaussian:sigma=0,gaussian:sigma=3,true,"[""gaussian:sigma=0"",""gaussian:sigma=0.5""]","[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2""]","[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2"",""gaussian:sigma=3"",""gaussian:sigma=4""]","[[""gaussian:sigma=0"",0.10175762849276],[""gaussian:sigma=0.5"",0.10249949189840064],[""gaussian:sigma=1"",0.1043697330226917],[""gaussian:sigma=1.5"",0.10569563950730147],[""gaussian:sigma=2"",0.10657690494103242],[""gaussian:sigma=3"",0.10858221811170128],[""gaussian:sigma=4"",0.1073095956578819],[""gaussian:sigma=6"",0.11406244607892183],[""gaussian:sigma=8"",0.11588311727198866]]"
wavelet,source_outer_fold,74t7kcdgkr,wavelet:db2:low_only:level=3,wavelet:db2:low_only:level=0,,false,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]","[[""wavelet:db2:low_only:level=0"",0.10599143059440752],[""wavelet:db2:low_only:level=1"",0.10607689115859713],[""wavelet:db2:low_only:level=2"",0.1080379845755984],[""wavelet:db2:low_only:level=3"",0.10678821496393467]]"
wavelet,source_outer_fold,cgtnjyggtm,wavelet:db2:low_only:level=1,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=2,true,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1""]","[[""wavelet:db2:low_only:level=0"",0.07848914726964269],[""wavelet:db2:low_only:level=1"",0.07864246611989456],[""wavelet:db2:low_only:level=2"",0.08895500584452302],[""wavelet:db2:low_only:level=3"",0.09326317500484327]]"
wavelet,source_outer_fold,w68dtmpfyf,wavelet:db2:low_only:level=2,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=3,true,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2""]","[[""wavelet:db2:low_only:level=0"",0.08688133296956364],[""wavelet:db2:low_only:level=1"",0.08856242623343963],[""wavelet:db2:low_only:level=2"",0.08865237709515164],[""wavelet:db2:low_only:level=3"",0.0941596909413805]]"
wavelet,source_outer_fold,xcmzfsbd9t,wavelet:db2:low_only:level=2,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=3,true,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]","[[""wavelet:db2:low_only:level=0"",0.09896227978066927],[""wavelet:db2:low_only:level=1"",0.09846203690296872],[""wavelet:db2:low_only:level=2"",0.10245963693866153],[""wavelet:db2:low_only:level=3"",0.1058081136127057]]"
wavelet,source_outer_fold,yfxyg8jm46,wavelet:db2:low_only:level=3,wavelet:db2:low_only:level=0,,false,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]","[[""wavelet:db2:low_only:level=0"",0.08619077491589897],[""wavelet:db2:low_only:level=1"",0.08574234448567267],[""wavelet:db2:low_only:level=2"",0.0850399640805613],[""wavelet:db2:low_only:level=3"",0.08853763506140741]]"
wavelet,source_outer_fold,ykhs7s2dck,wavelet:db2:low_only:level=3,wavelet:db2:low_only:level=0,,false,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]","[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]","[[""wavelet:db2:low_only:level=0"",0.10175762849276],[""wavelet:db2:low_only:level=1"",0.10319283606352125],[""wavelet:db2:low_only:level=2"",0.1061315107579559],[""wavelet:db2:low_only:level=3"",0.10467957447613116]]"
sampling,global_descriptive,,sampling:density=0.0625,sampling:density=1,,false,[],"[1.0,0.75,0.625,0.5,0.375,0.25,0.1875,0.125,0.0625]",[],"[[1.0,0.08963580465761434],[0.75,0.08966104364986038],[0.625,0.09002177767934866],[0.5,0.09209015330283075],[0.375,0.09250808547557622],[0.25,0.09118022972907479],[0.1875,0.08965874748274842],[0.125,0.09272271074851306],[0.0625,0.09122139252226975]]"
gaussian,global_descriptive,,gaussian:sigma=1.5,gaussian:sigma=0,gaussian:sigma=2,true,[],"[0.0,0.5,1.0,1.5]",[],"[[0.0,0.08963580465761434],[0.5,0.08979142333750156],[1.0,0.0906008113329343],[1.5,0.09230145895016807],[2.0,0.09759488877500139],[3.0,0.09880795734993386],[4.0,0.09872048411046748],[6.0,0.10152836269966443],[8.0,0.11167747789618065]]"
wavelet,global_descriptive,,wavelet:db2:low_only:level=2,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=3,true,[],"[0.0,1.0,2.0]",[],"[[0.0,0.08963580465761434],[1.0,0.09035659934478674],[2.0,0.09362017117160915],[3.0,0.09563167268396168]]"
