axis,outer_group,inner_group,condition_id,pca_dimension,mae,fit_count,query_count,pca_state_sha256,model_state_sha256
sampling,74t7kcdgkr,cgtnjyggtm,sampling:density=0.125,8,0.13268810501781247,182,49,792fb8bea959a2d9a25e4f583fa06145f2e580cc3c0129b32079bcb9bf793975,d2ae84bb5c0560ca036e7b4ca73de517cf679c41e43affae9e92288a337f450d
sampling,74t7kcdgkr,w68dtmpfyf,sampling:density=0.125,8,0.0992031177822126,188,43,51d7dcc248a58fda1758766f89619354491e8e8431e125f968f389a9374c2b9b,1cac9c66e892eb4ee62161065054c20e27fadc8a85bcfe33d7e54eab1436aafe
sampling,74t7kcdgkr,xcmzfsbd9t,sampling:density=0.125,8,0.07828434762370588,172,59,e3fc90a00dcfc731cbe62a1109bbe3e2df6b0f7f5afd98d9168e43495d569260,6182824c4fff737d58228b08495d49e40813b8d89d242dac1457dcc536061290
sampling,74t7kcdgkr,yfxyg8jm46,sampling:density=0.125,8,0.1353404493330352,189,42,42c2c96ba46ad5c383ec4652303fa530955b15d454a3c553541c479a7d04568f,f6c9e6c1f26ed9bdb5481af8b0a5d4283a6d2e093fbd5e040de553f057a4ea3d
sampling,74t7kcdgkr,ykhs7s2dck,sampling:density=0.125,8,0.09864000500465926,193,38,e6b5ba13699c79ad503c242f05c51cab66ebec64e342515497c056574091ce5f,dd004f70e657c9e201e91fdbea794ed1dcc838bd5ea93519c735814e9ac96168
sampling,74t7kcdgkr,cgtnjyggtm,sampling:density=0.0625,8,0.13918370840343874,182,49,d8d0b5f3602c00498b024e14b1c9a4c485d33b880902dfa9cd29907cc1faef34,f83766897550acabe0b061d83b404c285d6ceb3feb8d0a383fefabc2fa10a7cd
sampling,74t7kcdgkr,w68dtmpfyf,sampling:density=0.0625,8,0.09903409419371942,188,43,17eeba5a050ea829d04bdb54f3630309191b0e0cb371f7fe949013dd1849824a,7dace9dbd6be2e54661526086cfaa3d392d78e88a9a4f5a49d87c603c3f6a88d
sampling,74t7kcdgkr,xcmzfsbd9t,sampling:density=0.0625,8,0.08457106711896654,172,59,1b4c94a920f7743939ea457c89760d4df2df7697b7d605abf2601456936c1ab2,d43aa0fc18970a596d777d3957e0f7f2844d964607774c991eac48daa5fbb571
sampling,74t7kcdgkr,yfxyg8jm46,sampling:density=0.0625,8,0.14137349613212824,189,42,3729088070ec8ddae4ff6a7d0f98cac594d5bccabad518d37e6f2d8594d54afb,c04d8eab9295107db6b0312a9a741f6e358e4c28367719ec95459475fda92eac
sampling,74t7kcdgkr,ykhs7s2dck,sampling:density=0.0625,8,0.08833398436428788,193,38,0245da425a13a62326bfa96d0a5109c82e45bbbd54f89203c1cca10dfcac7bd0,54c2e4c6f69c2221126a5d1ad9a93072a889a2ce6a999417a8a11f218ee02a2e
sampling,cgtnjyggtm,74t7kcdgkr,sampling:density=1,32,0.05392582681873212,182,45,85a844562eb6da82897b16f24cc4987b8e9d6be039c1a950aab12c9cd7a73131,ae32b748acdffa9169cb902913d73d96904843baf2fb3b7188de0470b803e02d
sampling,cgtnjyggtm,w68dtmpfyf,sampling:density=1,32,0.08434567790192772,184,43,59e573c373c38b263c78c1d1af340a59e65757cb0563fd0e0062a1dba1008b69,6827649c0fbae3da8488519afe7b08cc2ff2e5bfef050afc9cf39b9b53660000
sampling,cgtnjyggtm,xcmzfsbd9t,sampling:density=1,32,0.06760175373576817,168,59,f0c1574a1e60180f838dcd6f901f2c9e6ff4be984ef01e529594c75151dbf910,e77a22807d270ef24689041cf17f247f725d385d35f30ce37dfc1e2c72f4cdc0
sampling,cgtnjyggtm,yfxyg8jm46,sampling:density=1,32,0.12276113252306084,185,42,87e03c08e6b919018aedce9a6bb3f9119406b1cdeba96fdfbd8d2d17d760e394,0a5ef7a9a86aaa7249f990c5598476b75d682112b722b0d931139ca39034bd97
sampling,cgtnjyggtm,ykhs7s2dck,sampling:density=1,32,0.06381134536872457,189,38,34b59944cd58d3fd4201914de9fe7fc92c22cc7352d58a7f17ddb791cb64740a,5d3115a003ce7629e7e57556fe301c9f308f43e335338b60e8da0d75f38fdd45
