effect,dataset_id,physical_n,gain_mpa
fixed,74t7kcdgkr,9,-5.204909097584143
fixed,cgtnjyggtm,9,13.937824019084216
fixed,w68dtmpfyf,8,0.8581756519519312
fixed,xcmzfsbd9t,9,-1.9875722112954994
fixed,yfxyg8jm46,8,7.786586523478417
fixed,ykhs7s2dck,7,-2.1884953967228227
feedback,74t7kcdgkr,9,2.481801904480978
feedback,cgtnjyggtm,9,3.4416606481326406
feedback,w68dtmpfyf,8,3.3324125648076834
feedback,xcmzfsbd9t,9,-4.086284075051758
feedback,yfxyg8jm46,8,0.8971956863260746
feedback,ykhs7s2dck,7,2.276841373666103
vlm_early,74t7kcdgkr,9,-1.1324409106558988
vlm_early,cgtnjyggtm,9,-0.8241941753504464
vlm_early,w68dtmpfyf,8,2.061248218198052
vlm_early,xcmzfsbd9t,9,-2.0196141822890317
vlm_early,yfxyg8jm46,8,-4.4371018142775664
vlm_early,ykhs7s2dck,7,1.1225016762747515
spatial,74t7kcdgkr,9,-4.667778154118068
spatial,cgtnjyggtm,9,1.9823955221092666
spatial,w68dtmpfyf,8,3.1228977669987272
spatial,xcmzfsbd9t,9,0.6461320924519526
spatial,yfxyg8jm46,8,-0.03746912156216631
spatial,ykhs7s2dck,7,-0.1330438678113719
