specimen_key,dataset_id,scope,selection
74t7kcdgkr:c8-16,74t7kcdgkr,VALID,REUSE_FROZEN_VALID_CASE_MANIFEST
cgtnjyggtm:q24-48,cgtnjyggtm,VALID,REUSE_FROZEN_VALID_CASE_MANIFEST
w68dtmpfyf:q16-29,w68dtmpfyf,VALID,REUSE_FROZEN_VALID_CASE_MANIFEST
