method,scope,episode_count,validation_area_mpa,validation_early_area_mpa,validation_objective_mpa,domain_equal_endpoint_mae_mpa,endpoint_pooled_mae_mpa,endpoint_pooled_rmse_mpa,endpoint_r2_repeat_mean,physical_n
CENTER_FIRST,VALID_PILOT,50,48.475340629691196,51.8206447075084,60.16912938267595,46.775155011938985,48.02656921386719,65.22312805595055,0.576833872644771,50
GEOMETRY_SPREAD,VALID_PILOT,50,47.310644799814476,51.87979245630103,58.78234177833809,45.88678791409447,46.9099169921875,62.27821704539136,0.6141842154698014,50
SERPENTINE,VALID_PILOT,50,48.91141600813801,52.170183925142915,60.65450508357973,46.97235630176686,48.012801818847656,63.04097796057084,0.604675678972965,50
RANDOM,VALID_PILOT,250,49.59439193122932,54.11668976836194,61.06974151013719,45.901398315631525,46.88638348388672,61.94055032586338,0.6183565884487423,50
