effect,specimen_key,dataset_id,capture_group_id,paired_gain_mpa
fixed,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,-4.618672997288451
fixed,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,-22.589674507563373
fixed,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,6.652522589328015
fixed,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,3.7511128028261567
fixed,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,8.403348123911169
fixed,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,-11.455630086866726
fixed,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,4.079854412191715
fixed,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,-18.50590968147847
fixed,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,-12.561132533317322
fixed,cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,22.43206203186926
fixed,cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,26.14086536367637
fixed,cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,27.36636605601194
fixed,cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,7.831672393265549
fixed,cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,-0.9887185078985823
fixed,cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,3.3405540226669004
fixed,cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,-0.8380431433297701
fixed,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,10.695891566198476
fixed,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,29.459766389297794
fixed,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,4.924461589292946
fixed,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,-6.487015674799409
fixed,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,-8.039610970003782
fixed,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,24.987187504829695
fixed,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,7.471725298383364
fixed,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,-8.742416223462484
fixed,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,-7.902794446231432
fixed,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,0.6538681376065512
fixed,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,4.941203269702754
fixed,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,0.7009218935406238
fixed,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,4.695076918249299
fixed,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,-1.0183675249608939
fixed,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,9.830319855343433
fixed,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,3.8561966817428015
fixed,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,-26.878918553624942
fixed,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,-12.836750522089059
fixed,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,-1.1778319195635092
fixed,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,-3.540805701358412
fixed,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,-8.603746526382539
fixed,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,11.739675224682358
fixed,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,12.047690792048105
fixed,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,23.511036941087298
fixed,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,8.927360084802846
fixed,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,13.261804344109308
fixed,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,4.949677028838374
fixed,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,9.821673790990083
fixed,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,6.509997515931525
fixed,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,-17.258749611478592
fixed,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,-6.665279921487552
fixed,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,10.078812880230444
fixed,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,-0.9297282420232911
fixed,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,-16.876194189222375
feedback,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,3.799324148505397
feedback,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,10.915344242530097
feedback,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,-1.4839368289744392
feedback,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,3.7891367449231055
feedback,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,2.167028110033339
feedback,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,3.4828243399751173
feedback,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,-1.619477943555843
feedback,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,3.0050444094989786
feedback,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,-1.7190700826069474
feedback,cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,-1.2956927367479878
feedback,cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,-1.4832745855700296
feedback,cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,9.57683344618701
feedback,cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,-3.1197098469569156
feedback,cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,-8.605225142652813
feedback,cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,4.353578568485901
feedback,cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,25.84644583645381
feedback,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,3.3191274769849386
feedback,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,2.382862817009851
feedback,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,10.381190332986463
feedback,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,-3.5552044176654363
feedback,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,15.10070544298095
feedback,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,3.209282264931673
feedback,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,2.3493284537674555
feedback,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,-9.75014122498115
feedback,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,-1.432875124391252
feedback,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,10.357014790832764
feedback,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,-29.891512182721854
feedback,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,-1.6278793900101292
feedback,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,-2.335175949618221
feedback,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,2.3639191792034566
feedback,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,0.7030410316837035
feedback,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,0.07829458127481104
feedback,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,1.1926774963251745
feedback,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,-4.611926553141139
feedback,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,-2.647994888461618
feedback,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,-1.077840218775119
feedback,yfxyg8jm46:c16-14,yfxyg8jm46,cg_efd8928c6d17de81,2.8799212728991463
feedback,yfxyg8jm46:c16-16,yfxyg8jm46,cg_cd055af98e2ea119,-6.751965041579311
feedback,yfxyg8jm46:c16-17,yfxyg8jm46,cg_f64812b6759e7d2b,-0.4164112840085039
feedback,yfxyg8jm46:c16-24,yfxyg8jm46,cg_354aea2e84731e86,9.827388546544654
feedback,yfxyg8jm46:c16-39,yfxyg8jm46,cg_514ca9d914207c05,4.31833560543226
feedback,yfxyg8jm46:c16-42,yfxyg8jm46,cg_cb9c6f640f08aee7,-2.817233818767761
feedback,yfxyg8jm46:c16-5,yfxyg8jm46,cg_7f9fe4a18a151cd4,1.215370428863232
feedback,ykhs7s2dck:q8-15,ykhs7s2dck,cg_60c6812942ba2332,1.8004737804533164
feedback,ykhs7s2dck:q8-2,ykhs7s2dck,cg_93e604617899fa5f,13.424025140769247
feedback,ykhs7s2dck:q8-22,ykhs7s2dck,cg_ca08b9786e924e66,-13.937381767275461
feedback,ykhs7s2dck:q8-33,ykhs7s2dck,cg_a841812423416444,-1.189874891815034
feedback,ykhs7s2dck:q8-34,ykhs7s2dck,cg_f28b9720dbc7e026,8.018245693315375
feedback,ykhs7s2dck:q8-37,ykhs7s2dck,cg_a064df3d047f4519,4.442164366072589
feedback,ykhs7s2dck:q8-8,ykhs7s2dck,cg_8fd87d72a8d71b83,3.380237294142688
vlm_early,74t7kcdgkr:c8-12,74t7kcdgkr,cg_306e4a499acc46c1,7.122467221593011
vlm_early,74t7kcdgkr:c8-13,74t7kcdgkr,cg_f6941b7d17a6b65f,-47.89673787165803
vlm_early,74t7kcdgkr:c8-16,74t7kcdgkr,cg_f6941b7d17a6b65f,1.7805513460960611
vlm_early,74t7kcdgkr:c8-2,74t7kcdgkr,cg_8ffe4fd6a878d7f3,16.954646598160004
vlm_early,74t7kcdgkr:c8-21,74t7kcdgkr,cg_49d6f1237b716b24,-4.848424394848401
vlm_early,74t7kcdgkr:c8-28,74t7kcdgkr,cg_a983245f10699099,4.9970013562563125
vlm_early,74t7kcdgkr:c8-3,74t7kcdgkr,cg_8ffe4fd6a878d7f3,-0.06683132916512413
vlm_early,74t7kcdgkr:c8-39,74t7kcdgkr,cg_ff43edde8af2ccdb,6.072208310513062
vlm_early,74t7kcdgkr:c8-43,74t7kcdgkr,cg_a37dc8a00cc334eb,5.693150567150017
vlm_early,cgtnjyggtm:q24-11,cgtnjyggtm,cg_02fd3fc8caefe377,-13.022369827486834
vlm_early,cgtnjyggtm:q24-22,cgtnjyggtm,cg_54890e18ff2b2669,-0.0428738490858791
vlm_early,cgtnjyggtm:q24-24,cgtnjyggtm,cg_39bf4ddc679c9a42,-10.971517583920587
vlm_early,cgtnjyggtm:q24-30,cgtnjyggtm,cg_d3f7feef05d5a66a,-11.08884666817675
vlm_early,cgtnjyggtm:q24-44,cgtnjyggtm,cg_9ba3cd5fb00ea91f,-46.04747779129286
vlm_early,cgtnjyggtm:q24-47,cgtnjyggtm,cg_523711040788bde2,14.56871039577021
vlm_early,cgtnjyggtm:q24-48,cgtnjyggtm,cg_5549ad4618fa66a9,50.207637661746176
vlm_early,cgtnjyggtm:q24-6,cgtnjyggtm,cg_344fc945dcb88757,-0.13388165361685367
vlm_early,cgtnjyggtm:q24-9,cgtnjyggtm,cg_2cc9cac1c5baaf14,9.112871737909362
vlm_early,w68dtmpfyf:q16-14,w68dtmpfyf,cg_73ef27ab04a735de,23.71500350554706
vlm_early,w68dtmpfyf:q16-2,w68dtmpfyf,cg_ff2d01cab2de3ddc,-22.88019234023075
vlm_early,w68dtmpfyf:q16-29,w68dtmpfyf,cg_94a031a5fc453cba,-1.0794494773796819
vlm_early,w68dtmpfyf:q16-3,w68dtmpfyf,cg_3361913654df8b27,-11.206930761944129
vlm_early,w68dtmpfyf:q16-33,w68dtmpfyf,cg_a37eab4f5b7beb12,0.2241003116113376
vlm_early,w68dtmpfyf:q16-38,w68dtmpfyf,cg_a052ba6f5200ee4f,19.09271002291848
vlm_early,w68dtmpfyf:q16-43,w68dtmpfyf,cg_6853c8e74a68016b,-3.0796583138053073
vlm_early,w68dtmpfyf:q16-6,w68dtmpfyf,cg_ce4d6a48a6968060,11.704402798867406
vlm_early,xcmzfsbd9t:c24-37,xcmzfsbd9t,cg_a01963fde121eda0,-4.634230872511736
vlm_early,xcmzfsbd9t:c24-39,xcmzfsbd9t,cg_d72ecf3171227da2,5.241407448567065
vlm_early,xcmzfsbd9t:c24-42,xcmzfsbd9t,cg_a5c5defb812088ae,3.115682573881319
vlm_early,xcmzfsbd9t:c24-47,xcmzfsbd9t,cg_954e3ed61c8db0a4,0.16916201286177568
vlm_early,xcmzfsbd9t:c24-50,xcmzfsbd9t,cg_59e95410b683945f,3.0322182618797413
vlm_early,xcmzfsbd9t:c24-51,xcmzfsbd9t,cg_7e1c8f7865d73e78,2.996668272000612
vlm_early,xcmzfsbd9t:c24-52,xcmzfsbd9t,cg_b98b3f9ca1bfb997,-25.59511391914421
vlm_early,xcmzfsbd9t:c24-56,xcmzfsbd9t,cg_06ec34425b30c2e6,-3.2603812127470206
vlm_early,xcmzfsbd9t:c24-9t,xcmzfsbd9t,cg_0d1994d0164384d4,0.7580597946111709
vlm_early,yfxyg8jm46:c16-12,yfxyg8jm46,cg_5a80e5179694ff19,-8.57227820170346
