method,scope,episode_count,validation_area_mpa,validation_early_area_mpa,validation_objective_mpa,domain_equal_endpoint_mae_mpa,endpoint_pooled_mae_mpa,endpoint_pooled_rmse_mpa,endpoint_r2_repeat_mean,physical_n,selected_update,actual_updates
CENTER_FIRST,VALID_PILOT,50,48.475340629691196,51.8206447075084,60.16912938267595,46.775155011938985,48.02656921386719,65.22312805595055,0.576833872644771,50,0,0
GEOMETRY_SPREAD,VALID_PILOT,50,47.310644799814476,51.87979245630103,58.78234177833809,45.88678791409447,46.9099169921875,62.27821704539136,0.6141842154698014,50,0,0
LEARNED_STATIC_TRUE,VALID_PILOT,50,47.97672118557994,52.94560607583583,59.47949522359202,46.01109615204826,46.99311798095703,62.16796138115515,0.6155490818137663,50,250,750
NO_VLM_SPATIAL_FEEDBACK,VALID_PILOT,50,43.59708783510903,48.77083689123591,54.004399576115475,41.62924696402575,42.38468078613281,56.53360712086606,0.6820776623867433,50,1000,1250
RANDOM,VALID_PILOT,250,49.59439193122932,54.11668976836194,61.06974151013719,45.901398315631525,46.88638348388672,61.94055032586338,0.6183565884487423,50,0,0
SERPENTINE,VALID_PILOT,50,48.91141600813801,52.170183925142915,60.65450508357973,46.97235630176686,48.012801818847656,63.04097796057084,0.604675678972965,50,0,0
VLM_MEAN_FEEDBACK,VALID_PILOT,50,45.26256559134052,50.38975180978599,55.93852267062744,42.70382831714772,43.6108740234375,59.01225299382046,0.6535887071421653,50,250,1250
VLM_SPATIAL_FEEDBACK,VALID_PILOT,50,45.110376551662455,49.6424370892526,55.971306897339026,43.44372138270626,44.285798950195314,58.51744562330441,0.6593735482242711,50,250,1250
VLM_SPATIAL_OPEN_LOOP,VALID_PILOT,50,46.50098123538941,51.04797462878782,57.46210736359117,43.84450451280705,44.821927795410154,59.66268112749545,0.6459103913902872,50,750,1250
