protocol,outer_dataset_id,query_dataset_id,random_fold_position,method,seed,teacher_dimension,target_count,target_path,target_sha256,teacher_state_sha256,training_state_sha256
outer_lodo,74t7kcdgkr,,,D0_equal_capacity,20260811,16,231,arrays/teacher_targets/outer_lodo__74t7kcdgkr__D0_equal_capacity__seed-20260811__2a1a6ac75e2b7bc49ef1897cb7ab3faeaa819d30ae87688932648b3df7ddc42a.npy,2a1a6ac75e2b7bc49ef1897cb7ab3faeaa819d30ae87688932648b3df7ddc42a,16b61b5f484d80d1ff81addef8ca9a01311483a9963cb26f1f3eed5d250b70eb,80f0f7a8354429d72a3e002280f96637312b89331c9851cdf15e7930e6044599
outer_lodo,74t7kcdgkr,,,MSPD,20260811,16,231,arrays/teacher_targets/outer_lodo__74t7kcdgkr__MSPD__seed-20260811__2a1a6ac75e2b7bc49ef1897cb7ab3faeaa819d30ae87688932648b3df7ddc42a.npy,2a1a6ac75e2b7bc49ef1897cb7ab3faeaa819d30ae87688932648b3df7ddc42a,16b61b5f484d80d1ff81addef8ca9a01311483a9963cb26f1f3eed5d250b70eb,079cdfddfc25d7f10ea4b837c42dcd87ba3d37a9071f0a9ce9a12807df3a4fb0
outer_lodo,74t7kcdgkr,,,scalar_teacher,20260811,16,231,arrays/teacher_targets/outer_lodo__74t7kcdgkr__scalar_teacher__seed-20260811__21b1245d24229f6d36949f8781516b51cb409740668122b81cb91accd20d5672.npy,21b1245d24229f6d36949f8781516b51cb409740668122b81cb91accd20d5672,2c5037efca19a91524a5a211263b52902e7302cccfac7f3393b6eb4cdc6807ab,9ab4e6f0a88fbd963c42e5bf7d7c8dffe180698f14f35ee95b7e33b269deee22
outer_lodo,74t7kcdgkr,,,global_shuffled_teacher,20260811,16,231,arrays/teacher_targets/outer_lodo__74t7kcdgkr__global_shuffled_teacher__seed-20260811__63e1389c9e24cdae241622496495f1bbf7cc03c9f9ee53548b62e82990906d23.npy,63e1389c9e24cdae241622496495f1bbf7cc03c9f9ee53548b62e82990906d23,3ee623fe8c3a234690d2f336795728802296705fa762212ef94281d28ca8d300,f22aa218fc12ae6e3c1ef28a26513faed2a216f3a7ac9c38c420ead04d1b17c7
outer_lodo,74t7kcdgkr,,,stratified_shuffled_teacher,20260811,16,231,arrays/teacher_targets/outer_lodo__74t7kcdgkr__stratified_shuffled_teacher__seed-20260811__0e04a13c25f9824ee5ceead986a2d5670d7d9293431a54717698fa9b2bf4d9d2.npy,0e04a13c25f9824ee5ceead986a2d5670d7d9293431a54717698fa9b2bf4d9d2,71192ef2157ca1a2e66c7695278381fba3f569f722acacefdb105d465a5bd6e2,5584e9974bd4e3db340e8a5135c4cc3de5e96aaf6733503362e9c9ba2437ae49
outer_lodo,74t7kcdgkr,,,random_teacher,20260811,16,231,arrays/teacher_targets/outer_lodo__74t7kcdgkr__random_teacher__seed-20260811__4161f083f8a3a7ee85b874ddb4aaf25b37370df13f1c1363ff3649bbfb49a79c.npy,4161f083f8a3a7ee85b874ddb4aaf25b37370df13f1c1363ff3649bbfb49a79c,4a7b013e4b2099321cb1d7a61a911769f920ce46bfdda0eaade77408d22b4c04,259f0e7d9113040f455bea19b2368d8ede326226dc39f96a9ed68cc6a71513ae
outer_lodo,74t7kcdgkr,,,full_latent_imitation,20260811,16,231,arrays/teacher_targets/outer_lodo__74t7kcdgkr__full_latent_imitation__seed-20260811__66c8fad82550618d8fea209f8f14128b411d443d48fd81f576ff06d11f19113e.npy,66c8fad82550618d8fea209f8f14128b411d443d48fd81f576ff06d11f19113e,cb314b9d73e330e8279b8a821f03eb66dcc1cfaa84ca40806695dc43a2903d5f,2a8db53b4fd08b1c5e2ed93770655e040232bc6051b428add76f6fbfcb7df3b2
outer_lodo,74t7kcdgkr,,,D0_equal_capacity,20260812,16,231,arrays/teacher_targets/outer_lodo__74t7kcdgkr__D0_equal_capacity__seed-20260812__2a1a6ac75e2b7bc49ef1897cb7ab3faeaa819d30ae87688932648b3df7ddc42a.npy,2a1a6ac75e2b7bc49ef1897cb7ab3faeaa819d30ae87688932648b3df7ddc42a,16b61b5f484d80d1ff81addef8ca9a01311483a9963cb26f1f3eed5d250b70eb,6db3e7f5e52121b0ea1495bdb988a94311d9bfbe60c1d0680c78b6629cc42aec
outer_lodo,74t7kcdgkr,,,MSPD,20260812,16,231,arrays/teacher_targets/outer_lodo__74t7kcdgkr__MSPD__seed-20260812__2a1a6ac75e2b7bc49ef1897cb7ab3faeaa819d30ae87688932648b3df7ddc42a.npy,2a1a6ac75e2b7bc49ef1897cb7ab3faeaa819d30ae87688932648b3df7ddc42a,16b61b5f484d80d1ff81addef8ca9a01311483a9963cb26f1f3eed5d250b70eb,e26c10361a6608d02f3bae55f8eebc26a82c6cf119ce4625891826de62ef71fc
outer_lodo,74t7kcdgkr,,,scalar_teacher,20260812,16,231,arrays/teacher_targets/outer_lodo__74t7kcdgkr__scalar_teacher__seed-20260812__21b1245d24229f6d36949f8781516b51cb409740668122b81cb91accd20d5672.npy,21b1245d24229f6d36949f8781516b51cb409740668122b81cb91accd20d5672,2c5037efca19a91524a5a211263b52902e7302cccfac7f3393b6eb4cdc6807ab,315f1544cedad5c4061569cbf6db7da356abab3c1a0d8b771fa44ebcc553c17f
