method,dataset_id,specimen_count,mae,target_sha256,prediction_sha256
D0_equal_capacity,74t7kcdgkr,45,0.14797845462602477,29ba621c86e9d773de302420cb36723285a820f666e636d2313edd599992b2f1,d72ac07904e18b73077450fca948808448bfbcd2404dfa71b4048b942f39c09f
D0_equal_capacity,cgtnjyggtm,49,0.17367654937816115,0001f5aaa0d259ffd5bab1e002d2d357dd8df9aab9859aa272dfb594f9ee3d21,d1f128312a93c4543ca01825ff33f8cf999b909575ae9b6414459979c81cf85a
D0_equal_capacity,w68dtmpfyf,43,0.0974037033808655,dce7aee4f1948bbf208ecd2cc89ba48f471b90ef9a3831fb6b52a464a42c8207,81366b351e561774617e3e7e0bfdca65dd3be7cb56f438f7c31d359b259ca15c
D0_equal_capacity,xcmzfsbd9t,59,0.13620362954108067,2f116158b09b9e1f6317c370873b217a00f6fbf16a45d62577ded66e53461da4,d66b34ea40202b45e7dff417968a10eee30f81ed7de7c90dd2c6eee651d97c35
D0_equal_capacity,yfxyg8jm46,42,0.16941220318005484,e4ea8b2fc2cb1e84e6a098cfa41212a7082f36dd8cb8ebb07e69d820e82d7d1f,8bfc84799a695eb2ca999441c3751a19e52a1070ac770d32ce6cfb85026f1428
D0_equal_capacity,ykhs7s2dck,38,0.16549937522567651,b79870d577ba542d5fee9a11114020d0b6c99737ed6bc7551b81ccbf8fc16011,6e49f7648abcf156e6b4525989acdab5231a6c0b32f05cb5c63f7f24bd5b896c
MSPD,74t7kcdgkr,45,0.15717955823333765,29ba621c86e9d773de302420cb36723285a820f666e636d2313edd599992b2f1,980371470846710ca9a40d17a483bf7f75ebb39300281189e8f7e33f4e33911e
MSPD,cgtnjyggtm,49,0.13883020197459106,0001f5aaa0d259ffd5bab1e002d2d357dd8df9aab9859aa272dfb594f9ee3d21,66d1a9233990fc873463f87f08cc84e6347c038c12558a5910e8ba7c02a5ecbc
MSPD,w68dtmpfyf,43,0.11424985330967555,dce7aee4f1948bbf208ecd2cc89ba48f471b90ef9a3831fb6b52a464a42c8207,10da328b8f036867762faaad7a6b374dbc289af94a54e4e5304d853dce17ad0e
MSPD,xcmzfsbd9t,59,0.13619358039160245,2f116158b09b9e1f6317c370873b217a00f6fbf16a45d62577ded66e53461da4,7942ec597890e4a2303fd03a3ec4d818b76eb39aef5b4b1d80127ca573cef1e0
MSPD,yfxyg8jm46,42,0.15752099423618829,e4ea8b2fc2cb1e84e6a098cfa41212a7082f36dd8cb8ebb07e69d820e82d7d1f,d682204187c1201e6bd26a4e5a91e546928efcd76687d8b1513ba898b3a7ad8d
MSPD,ykhs7s2dck,38,0.14758586203555568,b79870d577ba542d5fee9a11114020d0b6c99737ed6bc7551b81ccbf8fc16011,7285169d8012e571b0e9e343036dabe80e7c72874a8ef824d0a520b3938c235d
