diagnostic,seed,fold_position,specimen_id,dataset_id,target,prediction,state_sha256
metadata_profile_only,0,,c8-27,74t7kcdgkr,0.93773904110459305,0.70911169983961364,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-28,74t7kcdgkr,1.01951685834675,0.7942096808028376,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-29,74t7kcdgkr,0.98786394364782204,0.8417690952821667,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-30,74t7kcdgkr,0.99022011515980002,0.78103233875139721,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-32,74t7kcdgkr,0.69651015498278801,0.40542050971081711,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-33,74t7kcdgkr,0.69792090828929898,0.42351362665994607,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-34,74t7kcdgkr,0.76649008800143204,0.41071121414934492,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-35,74t7kcdgkr,0.65877060764420603,0.54480675090207553,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-36,74t7kcdgkr,0.63375878864541602,0.5387116375674772,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-37,74t7kcdgkr,0.76678250265757597,0.55865921836143051,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-38,74t7kcdgkr,0.79509357776609801,0.74536406362654162,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-39,74t7kcdgkr,0.60746599593625605,0.62304360534940051,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-40,74t7kcdgkr,0.75926064950092298,0.8892699428990869,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-41,74t7kcdgkr,0.95698246969273404,0.7826484157569602,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-42,74t7kcdgkr,0.71217952093024794,0.75199219297967934,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,c8-43,74t7kcdgkr,0.72035173669457897,0.51312680690335311,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-1,cgtnjyggtm,0.74296059269633596,0.66617506118598191,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-2,cgtnjyggtm,0.75919109574231702,0.65389639951171386,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-3,cgtnjyggtm,0.71926939114604305,0.6541632099731961,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-4,cgtnjyggtm,0.83907650657586796,0.81124561475498769,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-5,cgtnjyggtm,0.81418691632277895,0.81255848583205625,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-6,cgtnjyggtm,0.80303516481048398,0.79569956979076617,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-7,cgtnjyggtm,0.62307185196437098,0.51425730237352529,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-8,cgtnjyggtm,0.60609619175657303,0.54467521707366606,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-9,cgtnjyggtm,0.60457555358916404,0.55508538377794947,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-10,cgtnjyggtm,0.77567531963688396,0.66695755394582201,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-11,cgtnjyggtm,0.69252516777908202,0.67382533774226772,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-12,cgtnjyggtm,0.70681268288869703,0.67387018569548585,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-13,cgtnjyggtm,1.04519580615111,0.91287902654435049,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-14,cgtnjyggtm,1.06010297651874,0.95386344474865004,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-15,cgtnjyggtm,1.0559370879857799,0.95766892550130533,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-16,cgtnjyggtm,1.05070482755828,1.0437188472849415,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-18,cgtnjyggtm,1.0300093891097599,1.0337833657885747,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-19,cgtnjyggtm,0.790485145266142,0.74686305859354574,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-20,cgtnjyggtm,0.77860914431038297,0.71159393552595196,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-21,cgtnjyggtm,0.88598019755287005,0.75928194362619328,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-22,cgtnjyggtm,0.95886397157279801,0.89946697961414168,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-23,cgtnjyggtm,0.87415218717322896,0.90794263478426929,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-24,cgtnjyggtm,0.98826757897799899,0.90503137290470093,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-25,cgtnjyggtm,0.76336265250415003,0.64486497547588528,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-26,cgtnjyggtm,0.73213107943234002,0.65201578974589669,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-27,cgtnjyggtm,0.73853082046572605,0.72836907388585093,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-28,cgtnjyggtm,0.86606403331369897,0.90659824280371692,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-29,cgtnjyggtm,0.85947888662156802,0.93453205738003953,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-30,cgtnjyggtm,0.653285282947075,0.63234128859282757,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-31,cgtnjyggtm,0.64837124571865001,0.63388771005526667,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-32,cgtnjyggtm,0.63522695043533906,0.59013837834527738,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-33,cgtnjyggtm,0.71139944870601302,0.69266709254143533,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-34,cgtnjyggtm,0.72937809037274903,0.69750333934456954,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-35,cgtnjyggtm,0.74059210687097099,0.69656995395941079,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-36,cgtnjyggtm,0.82666369087913405,0.72679957893494929,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-37,cgtnjyggtm,0.87275445408783303,0.82746179807956588,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-38,cgtnjyggtm,0.78128672570658597,0.83346468086820225,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-39,cgtnjyggtm,0.99552699924547206,0.97994346603102045,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-40,cgtnjyggtm,0.26754570434032598,0.58545169973857403,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-41,cgtnjyggtm,0.33468559585039898,0.70791076334400049,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-42,cgtnjyggtm,0.26149971529023802,0.58630487934641551,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-43,cgtnjyggtm,0.26154708553789002,0.54050625804083396,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-44,cgtnjyggtm,0.25304997335729701,0.55716176844758392,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-45,cgtnjyggtm,0.25448275032538797,0.60045604383916973,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-46,cgtnjyggtm,0.272987434945067,0.59974569189541083,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-47,cgtnjyggtm,0.27637654697095299,0.61740982382729637,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-48,cgtnjyggtm,0.31514114889320699,0.75639599546232972,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-49,cgtnjyggtm,0.338763911078658,0.73981299872696615,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q24-50,cgtnjyggtm,0.33383018792485802,0.72634408995241717,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-1,w68dtmpfyf,0.75532913467894802,0.59947117085883073,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-2,w68dtmpfyf,0.77511319188995298,0.61039751819575727,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-3,w68dtmpfyf,0.895309148942938,0.60339079932870754,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-4,w68dtmpfyf,0.97352212324314502,0.71468433901982475,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-5,w68dtmpfyf,0.90250738796568097,0.74168723904401057,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-6,w68dtmpfyf,1.06297151834098,0.74303327056222068,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-7,w68dtmpfyf,0.56655792713565001,0.44339505485980973,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-8,w68dtmpfyf,0.66373924847809695,0.51925641971091951,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-9,w68dtmpfyf,0.58044523390845804,0.48164301724712716,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-10,w68dtmpfyf,0.68768744346063904,0.6398556743247612,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-11,w68dtmpfyf,0.75119662892566896,0.6650994409131441,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-12,w68dtmpfyf,0.71026607945271603,0.61437985331449596,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-13,w68dtmpfyf,1.0733553519180301,0.94384887099593651,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-14,w68dtmpfyf,1.0273367344475199,0.93413389629745991,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-15,w68dtmpfyf,1.01383873214723,0.96532809097185401,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-16,w68dtmpfyf,1.0446969528259,1.0246667305736867,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-17,w68dtmpfyf,0.98605470988135302,1.0274955913870225,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-18,w68dtmpfyf,1.02701678064021,1.0053135507068081,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
metadata_profile_only,0,,q16-19,w68dtmpfyf,1.08402585286135,0.71949390183943562,9934971e6d9de6fe18bc0afaffcc426b89a57d3a1f18e5d1fd78f1de91ab5d50
