panel,series,nominal_checkpoint,metric,value
a,reconstruction_oracle,,domain_balanced_cai_auebc,0.092366984955365
b,reconstruction_oracle,,domain_balanced_reconstruction_auebc,0.000660345871522
a,mechanical_oracle,,domain_balanced_cai_auebc,0.04381339476241
b,mechanical_oracle,,domain_balanced_reconstruction_auebc,0.001210313332511
a,global_reconstruction_mask,,domain_balanced_cai_auebc,0.092472578804986
b,global_reconstruction_mask,,domain_balanced_reconstruction_auebc,0.000800596215471
a,global_mechanical_mask,,domain_balanced_cai_auebc,0.096902557661931
b,global_mechanical_mask,,domain_balanced_reconstruction_auebc,0.001104959046336
c,learned,0.03125,exact_action_jaccard,0
c,learned,0.0625,exact_action_jaccard,0.095956322610387
c,learned,0.09375,exact_action_jaccard,0.175567887803705
c,learned,0.125,exact_action_jaccard,0.307657020843946
c,learned,0.1875,exact_action_jaccard,0.56884621987679
c,learned,0.25,exact_action_jaccard,0.972826086956522
c,oracle,0.03125,exact_action_jaccard,
c,oracle,0.0625,exact_action_jaccard,0.12163157032509
c,oracle,0.09375,exact_action_jaccard,0.119193102020415
c,oracle,0.125,exact_action_jaccard,0.13807008560066
c,oracle,0.1875,exact_action_jaccard,0.164494074243489
c,oracle,0.25,exact_action_jaccard,0.187327272602556
