dataset_id,specimen_id,comparison,first_method,second_method,nominal_checkpoint,first_action_count,second_action_count,exact_action_jaccard,normalized_symmetric_cell_distance,first_mean_radial_position,second_mean_radial_position,first_minus_second_level2_fraction
74t7kcdgkr,c8-11,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,27,0.23255813953488372,0.07539817751331977,0.701420149422866,0.49268673711405325,0
74t7kcdgkr,c8-11,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-11,learned,global_reconstruction_mask,global_mechanical_mask,0.25,64,64,1,0,0.6148687895716815,0.6148687895716815,0
74t7kcdgkr,c8-11,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-11,oracle,reconstruction_oracle,mechanical_oracle,0.0625,8,6,0.07692307692307693,0.19951699002367262,0.5810727916510986,0.46388765649999397,-0.16666666666666666
74t7kcdgkr,c8-11,oracle,reconstruction_oracle,mechanical_oracle,0.09375,15,15,0.2,0.09822569209249174,0.6067801848543216,0.5205327784434807,0
74t7kcdgkr,c8-11,oracle,reconstruction_oracle,mechanical_oracle,0.125,19,22,0.20588235294117646,0.09212744671943554,0.6333248701174665,0.5340927066333913,0.06698564593301434
74t7kcdgkr,c8-11,oracle,reconstruction_oracle,mechanical_oracle,0.1875,27,30,0.1875,0.09008689939142484,0.6407336790530376,0.5847672992030208,0.059259259259259234
74t7kcdgkr,c8-11,oracle,reconstruction_oracle,mechanical_oracle,0.25,35,38,0.1774193548387097,0.07547199971431554,0.6736347762193927,0.6036448208112458,0.05112781954887219
74t7kcdgkr,c8-12,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-12,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,9,0.13333333333333333,0.17120043214887937,0.6458129475106507,0.32439461640604794,0
74t7kcdgkr,c8-12,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,18,0.16666666666666666,0.11163531863546391,0.7099709625428269,0.43487218121315224,0
