specimen_key,state_id,c0_reason,c0_size,a_C0,a_free,a_N,blocked_mass,score_gap_free_minus_c0,a_C0_unrestricted_rank,argmax_changed,conditional_softmax_max_error,intervention_execution,C_NATIVE_reproduction,N_NATIVE_reproduction,classification
cgtnjyggtm:q24-48,s00_32496b63c4f0,HIGHEST_RELIABLE_CONFIDENCE_C0,3,28,28,31,0.5602987259007695,0.0,1,False,1.1102230246251565e-16,EXACT_NATIVE_REUSE,PASS,PASS,C0_ONLY_CHANGED_DISTRIBUTION
74t7kcdgkr:c8-16,s00_d760add2b16a,HIGHEST_RELIABLE_CONFIDENCE_C0,2,36,36,62,0.38502734725621157,0.0,1,False,1.1102230246251565e-16,EXACT_NATIVE_REUSE,PASS,PASS,C0_ONLY_CHANGED_DISTRIBUTION
w68dtmpfyf:q16-29,s00_190dcec63040,HIGHEST_RELIABLE_CONFIDENCE_C0,4,27,49,14,0.9220038036798253,0.24232697486877441,5,True,2.7755575615628914e-17,FULL_MASK_ONLY_REPLAY,PASS,PASS,C0_CHANGED_THIS_DECISION
xcmzfsbd9t:c24-9t,s00_3a313614afe2,VLM_UNAVAILABLE,64,36,36,27,0.0,0.0,1,False,0.0,EXACT_NATIVE_REUSE,PASS,PASS,C0_NOT_ACTIVE_ON_CASE
yfxyg8jm46:c16-24,s00_31ec27e6a2bb,HIGHEST_RELIABLE_CONFIDENCE_C0,2,5,62,63,0.9709128766485259,1.8660106658935547,19,True,0.0,FULL_MASK_ONLY_REPLAY,PASS,PASS,C0_CHANGED_THIS_DECISION
ykhs7s2dck:q8-22,s00_d810eeab3792,HIGHEST_RELIABLE_CONFIDENCE_C0,4,37,8,63,0.9489458196578989,1.2998591661453247,19,True,5.551115123125783e-17,FULL_MASK_ONLY_REPLAY,PASS,PASS,C0_CHANGED_THIS_DECISION
