specimen_key,state_id,normal_action,zero_prior_action,top1_changed,tvd,top5_overlap,classification
cgtnjyggtm:q24-48,s00_32496b63c4f0,28,28,False,0.014820237046123876,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
cgtnjyggtm:q24-48,s01_6a763ec6cc37,31,31,False,0.017159847378899314,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
cgtnjyggtm:q24-48,s02_e26c8b15350c,23,23,False,0.02226026610901293,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
cgtnjyggtm:q24-48,s03_ba4b52edd4bf,52,39,True,0.02621496136292295,4,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
cgtnjyggtm:q24-48,s04_b01e19df2977,40,40,False,0.016062626540588883,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
cgtnjyggtm:q24-48,s05_ce63745479ac,28,28,False,0.016585031923723226,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
cgtnjyggtm:q24-48,s06_961e7869f1e5,23,23,False,0.022262752547898026,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
cgtnjyggtm:q24-48,s07_e5f96aaadaf7,0,0,False,0.022285614063820285,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
cgtnjyggtm:q24-48,s08_62115a61a187,0,0,False,0.02454561227120426,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
74t7kcdgkr:c8-16,s00_d760add2b16a,36,36,False,0.005577473909596361,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
74t7kcdgkr:c8-16,s01_082968232023,27,27,False,0.008926054358226881,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
74t7kcdgkr:c8-16,s02_beef2c444dfb,35,35,False,0.009537579931666217,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
74t7kcdgkr:c8-16,s03_998c30e5fca0,0,0,False,0.00365551749332125,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
74t7kcdgkr:c8-16,s04_b3d2c6f62b08,59,59,False,0.00434055145484696,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
74t7kcdgkr:c8-16,s05_b5b59c8db5e3,36,36,False,0.00753992310976,5,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
74t7kcdgkr:c8-16,s06_b37ff81a7144,36,36,False,0.007983354567058575,4,PRIOR_CHANNEL_SENSITIVE_AT_FIXED_STATE
