specimen_key,state_id,model,group,cell,target_action,baseline_target_log_probability,perturbed_target_log_probability,delta_target_log_probability,perturbed_env_argmax,toward_train_mean_fraction,prediction_held_fixed
cgtnjyggtm:q24-48,s00_32496b63c4f0,C,TOP_MAGNITUDE,28,28,-0.8497451611671952,-0.8685929321316567,-0.01884777096446144,28,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,C,TOP_MAGNITUDE,31,28,-0.8497451611671952,-0.8207738520889912,0.028971309078204,28,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,C,TOP_MAGNITUDE,23,28,-0.8497451611671952,-0.8194873969234175,0.030257764243777685,28,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,C,BOTTOM_MAGNITUDE,14,28,-0.8497451611671952,-0.8497472091359084,-2.047968713170256e-06,28,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,C,BOTTOM_MAGNITUDE,57,28,-0.8497451611671952,-0.849778492176464,-3.3331009268722234e-05,28,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,C,BOTTOM_MAGNITUDE,10,28,-0.8497451611671952,-0.8497318488091247,1.3312358070560748e-05,28,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,N,TOP_MAGNITUDE,31,31,-1.3443382903558958,-1.4279464313290573,-0.0836081409731615,31,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,N,TOP_MAGNITUDE,28,31,-1.3443382903558958,-1.3453011497675256,-0.0009628594116297684,31,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,N,TOP_MAGNITUDE,62,31,-1.3443382903558958,-1.3452521826649295,-0.0009138923090337148,31,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,N,BOTTOM_MAGNITUDE,18,31,-1.3443382903558958,-1.3445828650578022,-0.0002445747019064193,31,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,N,BOTTOM_MAGNITUDE,25,31,-1.3443382903558958,-1.3445956250257594,-0.00025733466986355147,31,0.1,True
cgtnjyggtm:q24-48,s00_32496b63c4f0,N,BOTTOM_MAGNITUDE,43,31,-1.3443382903558958,-1.3446582222480898,-0.0003199318921940364,31,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,C,TOP_MAGNITUDE,36,36,-0.7805925916339475,-0.8224568218136933,-0.04186423017974583,36,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,C,TOP_MAGNITUDE,27,36,-0.7805925916339475,-0.785651772342396,-0.005059180708448574,36,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,C,TOP_MAGNITUDE,35,36,-0.7805925916339475,-0.7756491268751462,0.004943464758801253,36,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,C,BOTTOM_MAGNITUDE,7,36,-0.7805925916339475,-0.7805795989914102,1.29926425372906e-05,36,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,C,BOTTOM_MAGNITUDE,22,36,-0.7805925916339475,-0.7805546048274004,3.798680654709674e-05,36,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,C,BOTTOM_MAGNITUDE,25,36,-0.7805925916339475,-0.7805989869436257,-6.395309678275396e-06,36,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,N,TOP_MAGNITUDE,62,62,-2.2842282426176213,-2.516368835232715,-0.23214059261509368,61,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,N,TOP_MAGNITUDE,61,62,-2.2842282426176213,-2.2631773664989683,0.021050876118652972,62,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,N,TOP_MAGNITUDE,60,62,-2.2842282426176213,-2.267967550901488,0.016260691716133202,62,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,N,BOTTOM_MAGNITUDE,36,62,-2.2842282426176213,-2.2843714924089564,-0.000143249791335176,62,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,N,BOTTOM_MAGNITUDE,35,62,-2.2842282426176213,-2.284424917567136,-0.0001966749495148079,62,0.1,True
74t7kcdgkr:c8-16,s00_d760add2b16a,N,BOTTOM_MAGNITUDE,24,62,-2.2842282426176213,-2.2842122980979633,1.5944519657917766e-05,62,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,C,TOP_MAGNITUDE,27,27,-3.23487908104532,-2.8606440153322823,0.3742350657130378,27,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,C,TOP_MAGNITUDE,49,27,-3.23487908104532,-3.228970025690854,0.005909055354466286,0,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,C,TOP_MAGNITUDE,0,27,-3.23487908104532,-3.231339642884788,0.00353943816053226,49,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,C,BOTTOM_MAGNITUDE,2,27,-3.23487908104532,-3.2350255851187115,-0.00014650407339145133,49,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,C,BOTTOM_MAGNITUDE,10,27,-3.23487908104532,-3.2349890432521233,-0.00010996220680326019,49,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,C,BOTTOM_MAGNITUDE,11,27,-3.23487908104532,-3.2350192455294846,-0.00014016448416453997,49,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,N,TOP_MAGNITUDE,14,14,-2.944986242287487,-2.999858104029239,-0.05487186174175207,14,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,N,TOP_MAGNITUDE,55,14,-2.944986242287487,-2.9436000359116887,0.0013862063757983378,14,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,N,TOP_MAGNITUDE,54,14,-2.944986242287487,-2.943335827110415,0.0016504151770719844,14,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,N,BOTTOM_MAGNITUDE,16,14,-2.944986242287487,-2.945436955817263,-0.00045071352977599233,14,0.1,True
w68dtmpfyf:q16-29,s00_190dcec63040,N,BOTTOM_MAGNITUDE,45,14,-2.944986242287487,-2.9454528455983513,-0.0004666033108642331,14,0.1,True
