method,auebc,b_2p5,b_5,b_7p5,saving_vs_uniform_b5
uniform,0.01736345802834,0.1875,0.1875,0.0625,0.0
global_appearance_mask,0.01750230248418247,0.1875,0.1875,0.09375,0.0
global_reconstruction_mask,0.0173224847978161,0.1875,0.1875,0.09375,0.0
global_mechanical_mask,0.017638891296876607,0.1875,0.1875,0.0625,0.0
mechanical_oracle,0.010624525770798778,0.0625,0.03125,0.03125,0.8333333333333334
random_median,0.017618681081798558,,0.1875,0.0625,0.0
