outer_domain,method,cell_index,ranking_position,cell_score,mean_raw_value,mean_value_per_measurement,source_domains,source_specimen_count,source_label_state_sha256
74t7kcdgkr,global_appearance_mask,18,47,0.47369580485302387,0.20647711704740992,0.0001438048923480921,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,ee9dd1767bf6b75be3ed1d44a3ee4176e505bba376e7112cceb50ad947f23052
74t7kcdgkr,global_appearance_mask,19,53,0.4578782559540384,0.20638036064387122,0.00014424230687093447,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,ee9dd1767bf6b75be3ed1d44a3ee4176e505bba376e7112cceb50ad947f23052
74t7kcdgkr,global_appearance_mask,20,33,0.4919541488127912,0.20768686183722615,0.000142023219675843,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,ee9dd1767bf6b75be3ed1d44a3ee4176e505bba376e7112cceb50ad947f23052
74t7kcdgkr,global_appearance_mask,21,43,0.47874976958017357,0.20730979257612275,0.00014425705731251027,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,ee9dd1767bf6b75be3ed1d44a3ee4176e505bba376e7112cceb50ad947f23052
74t7kcdgkr,global_appearance_mask,22,11,0.5402073898396212,0.2095574629416069,0.00013999106720816325,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,ee9dd1767bf6b75be3ed1d44a3ee4176e505bba376e7112cceb50ad947f23052
74t7kcdgkr,global_appearance_mask,23,17,0.5237608665255433,0.21389821841001547,0.00014518803951271266,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,ee9dd1767bf6b75be3ed1d44a3ee4176e505bba376e7112cceb50ad947f23052
74t7kcdgkr,global_appearance_mask,24,42,0.48056844090980333,0.209292401124665,0.00014599558642599834,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,ee9dd1767bf6b75be3ed1d44a3ee4176e505bba376e7112cceb50ad947f23052
74t7kcdgkr,global_appearance_mask,25,31,0.49667498710478925,0.2078542469843903,0.00014459352260779533,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,ee9dd1767bf6b75be3ed1d44a3ee4176e505bba376e7112cceb50ad947f23052
74t7kcdgkr,global_appearance_mask,26,23,0.5044521831501387,0.20979491153032317,0.0001473517879128883,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,ee9dd1767bf6b75be3ed1d44a3ee4176e505bba376e7112cceb50ad947f23052
74t7kcdgkr,global_appearance_mask,27,2,0.6121563265144386,0.2220725924428971,0.00015952222269883766,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,231,ee9dd1767bf6b75be3ed1d44a3ee4176e505bba376e7112cceb50ad947f23052
