method,stage,lower,upper,contribution_mpa,initial_error_mpa,total_contribution_mpa,area_mpa
CENTER_FIRST,1,0,0.0625,8.893129656338763,57.048717998322985,8.573377368631792,48.475340629691196
CENTER_FIRST,2,0.0625,0.125,-0.3760318291749763,57.048717998322985,8.573377368631792,48.475340629691196
CENTER_FIRST,3,0.125,0.1875,-0.08595062585588245,57.048717998322985,8.573377368631792,48.475340629691196
CENTER_FIRST,4,0.1875,0.25,0.14223016732388738,57.048717998322985,8.573377368631792,48.475340629691196
GEOMETRY_SPREAD,1,0,0.0625,7.143319133563746,57.048717998322985,9.738073198508513,47.310644799814476
GEOMETRY_SPREAD,2,0.0625,0.125,2.6716127969997174,57.048717998322985,9.738073198508513,47.310644799814476
GEOMETRY_SPREAD,3,0.125,0.1875,-0.12439282864770786,57.048717998322985,9.738073198508513,47.310644799814476
GEOMETRY_SPREAD,4,0.1875,0.25,0.04753409659275649,57.048717998322985,9.738073198508513,47.310644799814476
SERPENTINE,1,0,0.0625,7.507915780249428,57.048717998322985,8.137301990184968,48.91141600813802
SERPENTINE,2,0.0625,0.125,0.5360763610743802,57.048717998322985,8.137301990184968,48.91141600813802
SERPENTINE,3,0.125,0.1875,0.10700387520227528,57.048717998322985,8.137301990184968,48.91141600813802
SERPENTINE,4,0.1875,0.25,-0.013694026341116312,57.048717998322985,8.137301990184968,48.91141600813802
RANDOM,1,0,0.0625,4.452914656137121,57.048717998322985,7.4543260670936675,49.59439193122932
RANDOM,2,0.0625,0.125,2.5101742285987325,57.048717998322985,7.4543260670936675,49.59439193122932
RANDOM,3,0.125,0.1875,0.36141192947919115,57.048717998322985,7.4543260670936675,49.59439193122932
RANDOM,4,0.1875,0.25,0.1298252528786221,57.048717998322985,7.4543260670936675,49.59439193122932
LEARNED_STATIC_TRUE,1,0,0.0625,9.728806379468612,57.048717998322985,9.071996812743047,47.97672118557994
LEARNED_STATIC_TRUE,2,0.0625,0.125,-1.0577518352419748,57.048717998322985,9.071996812743047,47.97672118557994
LEARNED_STATIC_TRUE,3,0.125,0.1875,0.4402834259135956,57.048717998322985,9.071996812743047,47.97672118557994
LEARNED_STATIC_TRUE,4,0.1875,0.25,-0.03934115739718532,57.048717998322985,9.071996812743047,47.97672118557994
NO_VLM_SPATIAL_FEEDBACK,1,0,0.0625,13.069448444441882,57.048717998322985,13.451630163213952,43.597087835109036
NO_VLM_SPATIAL_FEEDBACK,2,0.0625,0.125,0.19645784961283513,57.048717998322985,13.451630163213952,43.597087835109036
NO_VLM_SPATIAL_FEEDBACK,3,0.125,0.1875,0.0749167416032037,57.048717998322985,13.451630163213952,43.597087835109036
NO_VLM_SPATIAL_FEEDBACK,4,0.1875,0.25,0.11080712755603077,57.048717998322985,13.451630163213952,43.597087835109036
VLM_MEAN_FEEDBACK,1,0,0.0625,10.2170214130652,57.048717998322985,11.78615240698247,45.26256559134052
VLM_MEAN_FEEDBACK,2,0.0625,0.125,1.3425122631859774,57.048717998322985,11.78615240698247,45.26256559134052
VLM_MEAN_FEEDBACK,3,0.125,0.1875,0.22867810459909838,57.048717998322985,11.78615240698247,45.26256559134052
VLM_MEAN_FEEDBACK,4,0.1875,0.25,-0.0020593738678054228,57.048717998322985,11.78615240698247,45.26256559134052
VLM_SPATIAL_FEEDBACK,1,0,0.0625,11.031293781454949,57.048717998322985,11.93834144666053,45.110376551662455
VLM_SPATIAL_FEEDBACK,2,0.0625,0.125,0.9602038300417648,57.048717998322985,11.93834144666053,45.110376551662455
VLM_SPATIAL_FEEDBACK,3,0.125,0.1875,-0.09107068499609527,57.048717998322985,11.93834144666053,45.110376551662455
VLM_SPATIAL_FEEDBACK,4,0.1875,0.25,0.03791452015991165,57.048717998322985,11.93834144666053,45.110376551662455
VLM_SPATIAL_OPEN_LOOP,1,0,0.0625,10.616315971123162,57.048717998322985,10.547736762933575,46.50098123538941
VLM_SPATIAL_OPEN_LOOP,2,0.0625,0.125,-0.3357427199552607,57.048717998322985,10.547736762933575,46.50098123538941
VLM_SPATIAL_OPEN_LOOP,3,0.125,0.1875,0.1323937581684963,57.048717998322985,10.547736762933575,46.50098123538941
VLM_SPATIAL_OPEN_LOOP,4,0.1875,0.25,0.13476975359717658,57.048717998322985,10.547736762933575,46.50098123538941
