nominal_checkpoint,mae_mean,mae_median,mae_q05,mae_q95,effective_mean,effective_min,effective_max,method,protocol
0.03125,0.09923442692220653,0.0990771155866929,0.09810797483683201,0.10106258754975887,0.030773512508186333,0.03041433124519178,0.03132613992342499,random,P-B
0.0625,0.09504749040817456,0.09488502159684802,0.0936513796239161,0.09719389417258842,0.061112095234898314,0.058875739644970414,0.06249564914723286,random,P-B
0.09375,0.09556369726632209,0.09552054828183369,0.09357202824891153,0.09802215255586424,0.09180485095441204,0.09019317786286112,0.09375,random,P-B
0.125,0.09447648401281938,0.09436754296661382,0.0925585366647234,0.09637084364255127,0.12292620819187522,0.12145510495658864,0.125,random,P-B
0.1875,0.09282907627708932,0.09250571369805213,0.09005931296094054,0.09628337650997848,0.1859784126767028,0.18395428069018574,0.1874975272007913,random,P-B
0.25,0.09465522902764692,0.09427199369127115,0.09170603848444855,0.09839304932018438,0.2484401950485774,0.2465150016485328,0.24999159494351803,random,P-B
0.03125,0.105003951095372,0.10539178139935598,0.10217060192400762,0.10730430735723166,0.030773512508186406,0.03041433124519178,0.03132613992342499,random,P-A
0.0625,0.10266695424188836,0.1027221903373468,0.0981621930439242,0.10631745864109966,0.06111209523489834,0.058875739644970414,0.06249564914723286,random,P-A
0.09375,0.10098912912578095,0.10094930953930789,0.09643929692678031,0.10513847229090623,0.09180485095441202,0.09019317786286112,0.09375,random,P-A
0.125,0.09963618721306722,0.0996298358007448,0.09488143473584174,0.10468612940027384,0.12292620819187516,0.12145510495658864,0.125,random,P-A
0.1875,0.09690215280244305,0.09658909170078925,0.09337083645967825,0.10158538538015394,0.18597841267670295,0.18395428069018574,0.1874975272007913,random,P-A
0.25,0.09521879547472929,0.09478370284357214,0.09211442863711623,0.09951327482938231,0.24844019504857717,0.2465150016485328,0.24999159494351803,random,P-A
