specimen_id,dataset_id,uniform_auebc,mechanical_auebc,auebc_reduction,uniform_mae_0p125,mechanical_mae_0p125
c24-18,xcmzfsbd9t,0.042277928564031425,0.01228188086475027,0.029996047699281155,0.2339248760634115,0.06407897691233755
c24-14,xcmzfsbd9t,0.041958580153268615,0.012909606654086098,0.029048973499182517,0.23512682214515668,0.0805177553540335
q24-22,cgtnjyggtm,0.03128312823410355,0.0046709501319453055,0.026612178102158244,0.12657644566763082,0.016194700556106056
c24-25,xcmzfsbd9t,0.0325023613748253,0.006989395031625054,0.02551296634320025,0.13577305577500143,0.03711657364740362
q16-26,w68dtmpfyf,0.037253912754086724,0.012375046297975464,0.02487886645611126,0.20974408849162196,0.0751540058515936
q16-2,w68dtmpfyf,0.03207235597854549,0.00741069962446185,0.02466165635408364,0.1725101780578876,0.05052422718296412
c24-21,xcmzfsbd9t,0.05052901742053474,0.026264717781315953,0.02426429963921879,0.29304215066694583,0.16934758435288289
c16-23,yfxyg8jm46,0.037305194058390403,0.013187893698074651,0.02411730036031575,0.21193511523601716,0.08819848373337913
q24-7,cgtnjyggtm,0.02769583719336467,0.004049404085889465,0.023646433107475204,0.15207503075349732,0.03479929342305832
c8-4,74t7kcdgkr,0.032028334983658965,0.009086523716609321,0.022941811267049646,0.16965098926257105,0.03627074874366765
c24-10t,xcmzfsbd9t,0.03405505506993095,0.011739746559800878,0.022315308510130073,0.19138162849975798,0.07420221591789644
c16-28,yfxyg8jm46,0.04225974428276449,0.02094740021918067,0.021312344063583816,0.2180123341848752,0.12194813249159475
c24-16,xcmzfsbd9t,0.02777480881071585,0.006557798273109322,0.02121701053760653,0.14909259997668745,0.033728633979492995
c16-32,yfxyg8jm46,0.024917989146693596,0.004524168141897035,0.020393821004796562,0.1343293102992611,0.0036556487821102213
q16-6,w68dtmpfyf,0.03132369440661653,0.011278522362640951,0.02004517204397558,0.20409704818998153,0.08073867968133053
q24-47,cgtnjyggtm,0.07034650309588325,0.0507106909134465,0.01963581218243675,0.4315058156990413,0.2579816291431903
c16-29,yfxyg8jm46,0.0334486487363459,0.013861984450210384,0.019586664286135515,0.18053885563925742,0.07754483809991142
q16-3,w68dtmpfyf,0.036677980663917684,0.017273944255470634,0.01940403640844705,0.198345450977243,0.10441013480209393
c8-6,74t7kcdgkr,0.021598810783792947,0.00222349759439237,0.019375313189400577,0.12326607704357795,0.0027926694977562505
q24-40,cgtnjyggtm,0.050272662034097165,0.03126867623830091,0.019003985795796256,0.2550752626535847,0.10843918055968998
q16-22,w68dtmpfyf,0.0230627640729529,0.004254328430313797,0.018808435642639103,0.14101840551116473,0.03056803741474745
c16-26,yfxyg8jm46,0.03921302928644552,0.020768123374285748,0.01844490591215977,0.22433230736853038,0.08646563181430134
q16-25,w68dtmpfyf,0.03579025160397116,0.017516298356488894,0.018273953247482266,0.19490234704471032,0.10921213514437733
q8-20,ykhs7s2dck,0.022614322401988705,0.004757719182751072,0.017856603219237634,0.10507235193483311,0.03134742226224163
q24-41,cgtnjyggtm,0.08787988682583624,0.07009715669044034,0.0177827301353959,0.46354537833347603,0.32685225885595987
q16-19,w68dtmpfyf,0.06221647181217099,0.04445072549639756,0.017765746315773434,0.3221321369716855,0.23758138120234062
