dataset_id,method,auebc,mae_0p125,b_2p5,b_5,b_7p5
74t7kcdgkr,center_first,0.010290340085054587,0.05522189121898893,0.03125,0.03125,0.03125
74t7kcdgkr,observed_gradient,0.010235003556981955,0.05303752154286266,0.03125,0.03125,0.03125
74t7kcdgkr,observed_uncertainty,0.010295619200552567,0.05247633997134709,0.03125,0.03125,0.03125
74t7kcdgkr,imitation_policy,0.010244114779447725,0.0534898492324043,0.03125,0.03125,0.03125
74t7kcdgkr,uniform,0.010159913994099087,0.05213141500072992,0.03125,0.03125,0.03125
74t7kcdgkr,random_median,0.011051791112659264,0.05762323778266884,0.03125,0.03125,0.03125
74t7kcdgkr,global_mechanical_mask,0.010115252366111679,0.05455759010650369,0.03125,0.03125,0.03125
74t7kcdgkr,mechanical_oracle,0.006185735118673276,0.038279808248108727,0.03125,0.03125,0.03125
cgtnjyggtm,center_first,0.025243470071417525,0.13810327146336598,,,
cgtnjyggtm,observed_gradient,0.02474372615810748,0.13428615335826824,,,
cgtnjyggtm,observed_uncertainty,0.02566007391389176,0.14209308016606817,,,
cgtnjyggtm,imitation_policy,0.028293076653987077,0.15912703966638927,,,
cgtnjyggtm,uniform,0.024221554997891796,0.1329365545193173,,,
cgtnjyggtm,random_median,0.02590442262811264,0.14592571438398175,,,
cgtnjyggtm,global_mechanical_mask,0.02622556147536186,0.1482017857950149,,,
cgtnjyggtm,mechanical_oracle,0.017831261756011955,0.08981222070529196,0.125,0.09375,0.09375
w68dtmpfyf,center_first,0.01836340668844786,0.10499951786383042,0.1875,0.1875,0.1875
w68dtmpfyf,observed_gradient,0.016619131378124728,0.0945066001788349,0.1875,0.1875,0.125
w68dtmpfyf,observed_uncertainty,0.01611458508084483,0.08849018555371883,0.09375,0.09375,0.09375
w68dtmpfyf,imitation_policy,0.013206201634311902,0.07357017828913182,0.0625,0.0625,0.0625
w68dtmpfyf,uniform,0.018316679622120146,0.10423544487573264,0.1875,0.1875,0.1875
w68dtmpfyf,random_median,0.015044141744455454,0.08409726850114191,0.09375,0.09375,0.0625
w68dtmpfyf,global_mechanical_mask,0.01698180227308572,0.09697907472530062,0.09375,0.09375,0.0625
w68dtmpfyf,mechanical_oracle,0.00874309522671577,0.057327020805138976,0.0625,0.0625,0.0625
xcmzfsbd9t,center_first,0.013731419486480111,0.07702841149511495,0.0625,0.0625,0.0625
xcmzfsbd9t,observed_gradient,0.013949723268819646,0.07737258115466161,0.0625,0.0625,0.0625
xcmzfsbd9t,observed_uncertainty,0.012622284936053356,0.07000192714151399,0.0625,0.0625,0.0625
xcmzfsbd9t,imitation_policy,0.014039294487160722,0.07031031459416573,0.0625,0.0625,0.03125
xcmzfsbd9t,uniform,0.0144335925833716,0.07826474065944278,0.0625,0.0625,0.03125
xcmzfsbd9t,random_median,0.013857683603885541,0.07422830004657069,0.0625,0.0625,0.0625
xcmzfsbd9t,global_mechanical_mask,0.014302773122553777,0.07901425611227075,0.0625,0.0625,0.0625
xcmzfsbd9t,mechanical_oracle,0.008503898567353528,0.057833208429826546,0.0625,0.0625,0.0625
yfxyg8jm46,center_first,0.02354591470417902,0.11655840711720708,,,
yfxyg8jm46,observed_gradient,0.024684502888056535,0.11952695377633336,,,
yfxyg8jm46,observed_uncertainty,0.024605749632181595,0.11896256761321852,,,
yfxyg8jm46,imitation_policy,0.024659210991435136,0.12035569974758596,,,
yfxyg8jm46,uniform,0.024944920072866385,0.13302197071271804,,,
yfxyg8jm46,random_median,0.02724354249047299,0.1362557019959611,,,
yfxyg8jm46,global_mechanical_mask,0.026277872303142276,0.14070986848791306,,,
yfxyg8jm46,mechanical_oracle,0.013943836934880863,0.07132232792547158,0.03125,0.03125,0.03125
ykhs7s2dck,center_first,0.012561068894129522,0.06884901003285541,0.03125,0.03125,0.03125
ykhs7s2dck,observed_gradient,0.012925752649631025,0.07112851103654702,0.03125,0.03125,0.03125
ykhs7s2dck,observed_uncertainty,0.013284821772336485,0.07096191468324206,0.03125,0.03125,0.03125
ykhs7s2dck,imitation_policy,0.012111480711364506,0.06517809603385945,0.03125,0.03125,0.03125
ykhs7s2dck,uniform,0.012104086899690975,0.06710753342756914,0.03125,0.03125,0.03125
ykhs7s2dck,random_median,0.012575747479278119,0.06745374799484011,0.03125,0.03125,0.03125
ykhs7s2dck,global_mechanical_mask,0.011930086241004317,0.07146698614672269,0.03125,0.03125,0.03125
ykhs7s2dck,mechanical_oracle,0.008539327021157275,0.05197849612724955,0.03125,0.03125,0.03125
