schema_version,item_id,dataset_id,specimen_id,specimen_key,native_height,native_width,source_image_path,source_image_sha256,display_image_sha256,status,packet_id,packet_number,packet_path
1,reference-011-03cd385a,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/w68dtmpfyf/internal_cscan/q16-21.png,5c956b6a9137aa39d82d11791718c22ecabff5d76b0ac3ab3792cb9d31380de6,099df7ca147395f7d7cf1a3fb758bb689a6c38d050db466444c02301b92d9701,PREPARED,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,2,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_002.json
1,reference-012-b1328a43,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/w68dtmpfyf/internal_cscan/q16-36.png,0b4ae9236eed4c06f3e43132150dc0c1b4811df851d6933554d3e9f29d0d9e6d,2057d7364fdcb018a69c7956f587600af1cee1ea13ebfddc4454065c1c24aa07,PREPARED,224ced1740a3eedec8c147bb8af81074dcbef1c68bb9f6ee475220ea04078986,2,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_002.json
1,reference-013-8575e4df,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,338,340,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/xcmzfsbd9t/internal_cscan/c24-20.png,9c021666e58c65b242b6b3da2d78a8cf4561e66f9c5485f2ea0e50505acda0e2,4bec3df5a97db473f84689aa6667c6f837a6e0803b22fa15d0e8ff94c82aecf8,PREPARED,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,3,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_003.json
1,reference-014-a6618ce6,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/xcmzfsbd9t/internal_cscan/c24-39.png,5bdfc9567c043ba84e34d7c8099106c7ba8424399f539b96ea3dea2690c37499,80fd32703052cb8c111b5bfc9a144524f53f7ffa88569efe00753858c3ff28f8,PREPARED,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,3,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_003.json
1,reference-015-6f946ed9,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/xcmzfsbd9t/internal_cscan/c24-54.png,173a65d0345263fa4e7cf8643f4af73f5e9efe3b699fd1c7b4acbd517a9918b8,6aacc192431b74f9ae2da0816a768f0cf45df3f0ff7141b144eb79bb2d862ee6,PREPARED,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,3,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_003.json
1,reference-016-b2a28d6b,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/xcmzfsbd9t/internal_cscan/c24-49.png,b2f0842f2c51b23410f0128ebf40dd66688846d5fd37b4284fb1c16a8f2c2234,1e2942dfb9d2575a77df802245ae2a06606c55d6599369a0c8afe134395f8907,PREPARED,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,3,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_003.json
1,reference-017-6f463737,yfxyg8jm46,c16-4,yfxyg8jm46:c16-4,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/yfxyg8jm46/internal_cscan/c16-4.png,b549de38a94eaf9c48cecbacfea09a1ff6972566103af3bd81800f8a144ede67,5b41f4afeda98e8364107b88e340f84beec50ff42d7b2dac7fd31464f15a1237,PREPARED,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,3,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_003.json
1,reference-018-c9c342c3,yfxyg8jm46,c16-38,yfxyg8jm46:c16-38,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/yfxyg8jm46/internal_cscan/c16-38.png,2d8b5fc2f185c91555dd8dda33c9fed0b89b12463ec07f9101343470466ef45d,c8560f51ef6358414527fb07c1549829904d1c3932d1776f1501416c4ae131bc,PREPARED,fa1cbb696e8260359a07b31be16f38b91b38bd116470e690cd69ee70d5a50f2d,3,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_003.json
1,reference-019-4ed8f7c4,yfxyg8jm46,c16-15,yfxyg8jm46:c16-15,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/yfxyg8jm46/internal_cscan/c16-15.png,855be2590cdf34a7895b9cab2ca545ea4fff7c0f90e32b93d91913bac56570f2,ae4a16a39d877ea3f256a408d9763483a93b78f1d73718349cd92d8fa47fb766,PREPARED,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,4,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_004.json
1,reference-020-44babbae,yfxyg8jm46,c16-19,yfxyg8jm46:c16-19,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/yfxyg8jm46/internal_cscan/c16-19.png,02926e1a2086065bbde477e8a9648b6dae76784b5307b94a914f67b461546da2,be1a1cea4321df618734f06a000377e5205f7eef88de808d15893c8cfa459ad9,PREPARED,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,4,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_004.json
1,reference-021-23f39928,ykhs7s2dck,q8-31,ykhs7s2dck:q8-31,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/ykhs7s2dck/internal_cscan/q8-31.png,5563eeef311e4ef686cd45729bb1bb4caa1634ba78b8b19917ecb364c780f8d5,abab02212874b13faaf92278065769044ec088400d34733d36b3c5175b6bda22,PREPARED,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,4,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_004.json
1,reference-022-af9ae6c6,ykhs7s2dck,q8-33,ykhs7s2dck:q8-33,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/ykhs7s2dck/internal_cscan/q8-33.png,23696a0f60143096bf7081b102a348e2c5fe91c37d331ac13ce15147844768b8,e2a0a6c5c4cbe99834d085876101f6840d0a055f35500da239617f356b4c6069,PREPARED,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,4,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_004.json
1,reference-023-4c81fe9c,ykhs7s2dck,q8-4,ykhs7s2dck:q8-4,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/ykhs7s2dck/internal_cscan/q8-4.png,f671d2558f1bd96d6977bb556e59d5b0dbdf28daca5821518e840bbc73a4e21d,7a41e62db515504fa2426576c537e5f9ff05e1425444192a5d8700bc2052db4b,PREPARED,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,4,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_004.json
1,reference-024-66982e2b,ykhs7s2dck,q8-19,ykhs7s2dck:q8-19,674,675,/home/ww/paper3/cmc_damage_inference/data/public/hasebe/processed/ykhs7s2dck/internal_cscan/q8-19.png,b07fcffaa9e5f3fca0243c458b0725939eadb3c75afd66509107cc58320e110c,dab0da7714796948180731622821404488d9b725651943876197c6d118203b93,PREPARED,a86e7c1eb9b96a92ed8974842cab3ae84906f93a409c789a9afe8fe6b2f163ab,4,/home/ww/diff/.worktrees/cscan-human-review-html/.local/cscan_human_review_html/reference_packets/reference_packet_004.json
