schema_version,scope,method,task,evaluation_mode,evidence_kind,failure_type,affected_specimen_count,denominator,rate,status
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,AREA_ERROR_ABOVE_0_10,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,MASK_IOU_BELOW_0_70,59,60,0.9833333333333333,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B0,LOCATE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B0,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,BBOX_IOU_BELOW_0_50,21,60,0.35,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B0,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,INSUFFICIENT_MEASURED_SUPPORT,39,60,0.65,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B1,CHARACTERIZE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B1,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,AREA_ERROR_ABOVE_0_10,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B1,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,MASK_IOU_BELOW_0_70,59,60,0.9833333333333333,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B1,LOCATE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B1,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,BBOX_IOU_BELOW_0_50,19,60,0.31666666666666665,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B1,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,FULL_FRAME_PREDICTION,5,60,0.08333333333333333,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B1,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,INSUFFICIENT_MEASURED_SUPPORT,25,60,0.4166666666666667,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B1,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,11,60,0.18333333333333332,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B2,CHARACTERIZE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B2,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,AREA_ERROR_ABOVE_0_10,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B2,CHARACTERIZE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,MASK_IOU_BELOW_0_70,59,60,0.9833333333333333,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B2,LOCATE,ANYTIME_REPORT,PROXY_DIAGNOSTIC,NO_FAILURE,60,60,1.0,DIAGNOSTIC_ONLY_REFERENCE_PENDING
1,ALL,B2,LOCATE,AUTONOMOUS_REPORT,PROXY_DIAGNOSTIC,BBOX_IOU_BELOW_0_50,18,60,0.3,DIAGNOSTIC_ONLY_REFERENCE_PENDING
