schema_version,hypothesis,task,evaluation_mode,metric,treatment,comparator,formal_estimate,formal_ci_lower,formal_ci_upper,proxy_diagnostic_estimate,proxy_diagnostic_ci_lower,proxy_diagnostic_ci_upper,physical_specimen_n,domain_n,formal_specimen_n,formal_domain_n,multiple_comparison,conclusion,evidence_status
1,H1,LOCATE,ANYTIME_REPORT,FINAL_SUCCESS_RATE,B3,B0,,,,0.0,0.0,0.0,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H1,LOCATE,ANYTIME_REPORT,AUSC,B3,B0,,,,0.0059662692444703395,-0.002629453043295998,0.020848918033274655,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H1,LOCATE,ANYTIME_REPORT,FINAL_SUCCESS_RATE,B3,B1,,,,0.0,0.0,0.0,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H1,LOCATE,ANYTIME_REPORT,AUSC,B3,B1,,,,0.03769044712155797,-0.0024556281832291637,0.07545580050482643,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H1,LOCATE,ANYTIME_REPORT,FINAL_SUCCESS_RATE,B3,B2,,,,0.0,0.0,0.0,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H1,LOCATE,ANYTIME_REPORT,AUSC,B3,B2,,,,0.014356899639856249,-0.022240775722318907,0.04756101495112678,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H2,LOCATE,ANYTIME_REPORT,FINAL_SUCCESS_RATE,B5,B3,,,,0.0,0.0,0.0,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H2,LOCATE,ANYTIME_REPORT,AUSC,B5,B3,,,,-0.12795094439242813,-0.18566533550914516,-0.07252090604188617,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H2_CONTROL,LOCATE,ANYTIME_REPORT,FINAL_SUCCESS_RATE,B4,B0,,,,0.0,0.0,0.0,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H2_CONTROL,LOCATE,ANYTIME_REPORT,AUSC,B4,B0,,,,-0.12426761988779024,-0.18160226670246343,-0.07042666811341651,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H3,LOCATE,ANYTIME_REPORT,FINAL_SUCCESS_RATE,B6,B5,,,,0.0,0.0,0.0,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,H3,LOCATE,ANYTIME_REPORT,AUSC,B6,B5,,,,0.0007259394442635604,-0.005511109272829557,0.0075736739100393585,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,SYSTEM,LOCATE,ANYTIME_REPORT,FINAL_SUCCESS_RATE,B5,B4,,,,0.0,0.0,0.0,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,SYSTEM,LOCATE,ANYTIME_REPORT,AUSC,B5,B4,,,,0.002282944739832434,-0.0027401836463289623,0.00995076178552536,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,SYSTEM,LOCATE,ANYTIME_REPORT,FINAL_SUCCESS_RATE,B5,B7,,,,0.0,0.0,0.0,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,SYSTEM,LOCATE,ANYTIME_REPORT,AUSC,B5,B7,,,,0.002837804248203318,-0.0022180578266155888,0.010481629631650106,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,SYSTEM,LOCATE,ANYTIME_REPORT,FINAL_SUCCESS_RATE,B6,B4,,,,0.0,0.0,0.0,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
1,SYSTEM,LOCATE,ANYTIME_REPORT,AUSC,B6,B4,,,,0.003008884184095995,-0.004781103107355872,0.012368734269540192,60,6,0,0,NOT_APPLICABLE_REFERENCE_PENDING,INCONCLUSIVE,PROXY_ONLY_NOT_FORMAL_TASK_EVIDENCE
