schema_version,scope,method,task,evaluation_mode,metric,checkpoint,evidence_kind,value,numerator,denominator,status
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.01,FORMAL,,0,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.01,PROXY_DIAGNOSTIC,0.0,0,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.025,FORMAL,,0,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.025,PROXY_DIAGNOSTIC,0.0,0,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.05,FORMAL,,0,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.05,PROXY_DIAGNOSTIC,0.0,0,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.1,FORMAL,,0,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.1,PROXY_DIAGNOSTIC,0.0,0,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.2,FORMAL,,0,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.2,PROXY_DIAGNOSTIC,0.0,0,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.4,FORMAL,,0,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.4,PROXY_DIAGNOSTIC,0.0,0,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.6,FORMAL,,0,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.6,PROXY_DIAGNOSTIC,0.016666666666666666,1,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.8,FORMAL,,0,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,0.8,PROXY_DIAGNOSTIC,0.3333333333333333,20,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,1.0,FORMAL,,0,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,SUCCESS_RATE,1.0,PROXY_DIAGNOSTIC,1.0,60,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,AUSC,,FORMAL,,,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,AUSC,,PROXY_DIAGNOSTIC,0.16715367528836075,,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,C_AT_SR_0.80,,PROXY_DIAGNOSTIC,0.9422090339597758,,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,C_AT_SR_0.90,,PROXY_DIAGNOSTIC,0.9537487636003956,,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,ANYTIME_REPORT,FINAL_NORMALIZED_ROUTE_COST,,PROXY_DIAGNOSTIC,1.7279662983535622,,60,ESTIMATED
1,ALL,B0,CHARACTERIZE,AUTONOMOUS_REPORT,SUCCESS_RATE,0.01,FORMAL,,0,0,REFERENCE_PENDING
1,ALL,B0,CHARACTERIZE,AUTONOMOUS_REPORT,SUCCESS_RATE,0.01,PROXY_DIAGNOSTIC,0.0,0,60,ESTIMATED
