schema_version,dataset_id,specimen_id,specimen_key,registered_cscan_sha256,reference_type,review_state,reviewer_alias,formal_eligible,pilot_selected,annotation_path,formal_success_available
1,74t7kcdgkr,c8-10t,74t7kcdgkr:c8-10t,090d622f8e50cac912a20202dd01b4b0ae8ce5450432faefe0bc71e2179b8835,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-11,74t7kcdgkr:c8-11,d20944f5270d9747d0ea859720e260fb71565c5a02e3b16a82ee60b252252294,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-12,74t7kcdgkr:c8-12,89f4ee717122fd03ef0261c42911fa721f4b5ce4467b63904c966d9302fd43d9,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-12t,74t7kcdgkr:c8-12t,42b00aa0a8b4a96a2014db60374d103c25da1bba9ca0e0bf36e94ae33e4cce48,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-13,74t7kcdgkr:c8-13,4dc6ce2a1003d7addfb010a949db3e2ae3e680f6fdc41ad18d4a88166a3c86f7,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-14,74t7kcdgkr:c8-14,6829c1a1db8c1f9f71c91466c587cae3c4e5f1280dedc93c95b5bd344e4b93d4,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-15,74t7kcdgkr:c8-15,a0dd12f97eaf396b8c4c08b60d3a58c524c7e511fedacdd19b5a09f78c586ead,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,True,annotation_queue/74t7kcdgkr__c8-15.json,False
1,74t7kcdgkr,c8-16,74t7kcdgkr:c8-16,234a50307f16631456e3cfcac69b111a854d67d954381ada8e29ccd2199e9100,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-17,74t7kcdgkr:c8-17,2b257727cd7cae92f4c6b84353ecd471ecfcdefd45d1fcd83a59d7801b0810a4,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-18,74t7kcdgkr:c8-18,78b9da1a0593837752e6f1717eb40240d125ddcc6f34ce8196f3e3f96d39ac3e,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-19,74t7kcdgkr:c8-19,3e021ed85ba7b5f6664a410d373c67625fb30fe65f93387bfa98f0a151100008,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-2,74t7kcdgkr:c8-2,2a4636f95444c53278b22acdee76cf7123442ffbf310fb2b4700ca7b64f57954,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,True,annotation_queue/74t7kcdgkr__c8-2.json,False
1,74t7kcdgkr,c8-20,74t7kcdgkr:c8-20,89c9cccb85fc7dc6990631b0bc5dc1ccbca65acadfc261c9a53d4b4803804619,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,True,annotation_queue/74t7kcdgkr__c8-20.json,False
1,74t7kcdgkr,c8-21,74t7kcdgkr:c8-21,0242d92627e506c763859f498a6e0f4734f3cec576f154060e6b55f3e9594bf0,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,True,annotation_queue/74t7kcdgkr__c8-21.json,False
1,74t7kcdgkr,c8-22,74t7kcdgkr:c8-22,72449713a844dc00d887b80beb89128d128360b0a348d56f5ed86f960a1decbf,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-23,74t7kcdgkr:c8-23,c40a82ffa3d70161a862fe223e51ce9e64f22b5215c68c330f5c70cfdfc52204,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,39f519201158d464808bea9e455af79bc2c2d747a694dc0bc3f3b48bea77a355,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,True,annotation_queue/74t7kcdgkr__c8-24.json,False
1,74t7kcdgkr,c8-25,74t7kcdgkr:c8-25,d47d110fd874cb7e4d43fee4ef0c2f552f449bc3c349da382148b25fa3a3529a,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-26,74t7kcdgkr:c8-26,059b1f52a71da61747b4a5d5dd286e2524edc34c7f6a37145c0c6e36ab668ba2,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-27,74t7kcdgkr:c8-27,3b880ac4fd2077eb152973bcc8bdcf58fb41027119fb805a04fa653e2d943fa7,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-28,74t7kcdgkr:c8-28,b681873337e1d403ccfc399b975c6b86218ae5f3173e6a915ed0b6e6c703ca58,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,True,annotation_queue/74t7kcdgkr__c8-28.json,False
1,74t7kcdgkr,c8-29,74t7kcdgkr:c8-29,1064f6f9e13dd456bb48cc6ae4936d4a6005fedcb0c4c76435b55c1f7da19c13,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-3,74t7kcdgkr:c8-3,e6e77cc9b13aa9321d2bf77103474c08b9c88d9a3ab037008ef010c1cb5896a7,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-30,74t7kcdgkr:c8-30,7d6b21883ce821d3c8cc4cf4263545e744b39970a5998edf971e8a675dba1586,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-32,74t7kcdgkr:c8-32,aa675f7abf8ffd3a3dac0b18269610f240a4fb21a7be6fe0b9423ac8f2ea599a,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,True,annotation_queue/74t7kcdgkr__c8-32.json,False
1,74t7kcdgkr,c8-33,74t7kcdgkr:c8-33,3f6b7a660634ef09530460b0cafa7fbe82426f635667b554cfd1c0d70ce7e037,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
1,74t7kcdgkr,c8-34,74t7kcdgkr:c8-34,64b4e82a60948c242f6b3a14780755bebec469e9df4acf900426644c634736da,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,False,,False
