schema_version,dataset_id,specimen_id,specimen_key,surface_path,surface_sha256,registered_cscan_path,registered_cscan_sha256,native_height,native_width,registration_transform_sha256,surface_frame_transform,pilot_selected,smoke_selected,clean_render_sha256,gridded_render_sha256,surface_render_height_px,surface_render_width_px,model_surface_height_px,model_surface_width_px,model_surface_image_grid_thw,model_surface_visual_tokens,model_evidence_height_px,model_evidence_width_px,model_evidence_image_grid_thw,model_evidence_visual_tokens
1,74t7kcdgkr,c8-10t,74t7kcdgkr:c8-10t,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-10t.png,3180ac8f58ece64ab33ba77aff88e3d4a5dca55a350cd9738feab53d772e1b79,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-10t.png,090d622f8e50cac912a20202dd01b4b0ae8ce5450432faefe0bc71e2179b8835,674,675,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278,ROT90_CLOCKWISE,False,False,,,,,,,[],,672,672,"[1,48,48]",576
1,74t7kcdgkr,c8-11,74t7kcdgkr:c8-11,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-11.png,46773728bd6f2cadee11d8e7d384719930d6f2b92c7fa1bae46dbce3a95ed811,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-11.png,d20944f5270d9747d0ea859720e260fb71565c5a02e3b16a82ee60b252252294,338,352,d884ab0e299bca712735d00feef8fc254477deaf7967177e25e49b95065b5c14,ROT90_CLOCKWISE,False,False,,,,,,,[],,448,476,"[1,32,34]",272
1,74t7kcdgkr,c8-12,74t7kcdgkr:c8-12,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-12.png,34505c44d206fb8bea8f8ef69c936745f99d0ea5522729fcc09385075a4c72ec,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-12.png,89f4ee717122fd03ef0261c42911fa721f4b5ce4467b63904c966d9302fd43d9,338,352,e8c6469ffe3398cae132723c3490ab963831c662fde21361a217acf2216efe6b,ROT90_CLOCKWISE,False,False,,,,,,,[],,448,476,"[1,32,34]",272
1,74t7kcdgkr,c8-12t,74t7kcdgkr:c8-12t,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-12t.png,870ebb51c5ebc4165e5c35563664017e287b7318ff5032aa1e23b25e76b19e8d,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-12t.png,42b00aa0a8b4a96a2014db60374d103c25da1bba9ca0e0bf36e94ae33e4cce48,674,675,a7927d33f62b280a7a2bb2e6838161b7d683c1bdf7d672a1fabe834e0401962f,ROT90_CLOCKWISE,False,False,,,,,,,[],,672,672,"[1,48,48]",576
1,74t7kcdgkr,c8-13,74t7kcdgkr:c8-13,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-13.png,b3825d1dfcd6a49cca2e45224b9763bba870223cd93a9af68b4540bed21d162a,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-13.png,4dc6ce2a1003d7addfb010a949db3e2ae3e680f6fdc41ad18d4a88166a3c86f7,338,340,243a84eea651818a4541aceff239933893962ae5c5ffd9b2d9149ef7a689b6b0,ROT90_CLOCKWISE,False,False,,,,,,,[],,448,476,"[1,32,34]",272
1,74t7kcdgkr,c8-14,74t7kcdgkr:c8-14,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-14.png,efe859284f43600acf564be72ea5ac98068fc77d3731dfb37ec95a0fb38873af,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-14.png,6829c1a1db8c1f9f71c91466c587cae3c4e5f1280dedc93c95b5bd344e4b93d4,338,340,30dfa12e4603e56264fc106e8248eef642b6f2a727c337367d7a41c661c54d45,ROT90_CLOCKWISE,False,False,,,,,,,[],,448,476,"[1,32,34]",272
1,74t7kcdgkr,c8-15,74t7kcdgkr:c8-15,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-15.png,559b8c4abab9391aaf95c7c1c12fa0100fab1c94d162a4d736fc24052b97cb5b,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-15.png,a0dd12f97eaf396b8c4c08b60d3a58c524c7e511fedacdd19b5a09f78c586ead,338,352,66c7da22bf7b41188ae117e515cdf466488979040282ba8d94e90c331ec48b24,ROT90_CLOCKWISE,True,False,080f6ec03a5b68d43313bf913d4335aecb0bc4de8fe9471fd4fdf71b5a1dfcc2,e8bd9391dcfb0c52d8a2a7b2235a41a5d32d0d64e64f60aa180960d38a006e65,1024,1024,980,980,"[1,70,70]",1225,448,476,"[1,32,34]",272
1,74t7kcdgkr,c8-16,74t7kcdgkr:c8-16,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-16.png,bf5971dfb981f6c3302d850db26b26785c575f3d51249a5e6625919bd101845a,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-16.png,234a50307f16631456e3cfcac69b111a854d67d954381ada8e29ccd2199e9100,338,352,735ce7621fdae4731b5a3cbf0d5c63f60576421b2b5e2a6ef0d3c082eeeffef6,ROT90_CLOCKWISE,False,False,,,,,,,[],,448,476,"[1,32,34]",272
1,74t7kcdgkr,c8-17,74t7kcdgkr:c8-17,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-17.png,803e4d6b272d2f25ddb3b6e6a1245ac16a376af36cb72ccc5332f5d9940b951e,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-17.png,2b257727cd7cae92f4c6b84353ecd471ecfcdefd45d1fcd83a59d7801b0810a4,338,340,882249b92608123e7179709644e71ce8adc7adf090289c5e152c14e0cb4923df,ROT90_CLOCKWISE,False,False,,,,,,,[],,448,476,"[1,32,34]",272
1,74t7kcdgkr,c8-18,74t7kcdgkr:c8-18,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-18.png,b5d2533252e978dfd07525f8ad1a7478eec213c848f075b62016a14ed44189e6,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-18.png,78b9da1a0593837752e6f1717eb40240d125ddcc6f34ce8196f3e3f96d39ac3e,338,352,2dba8fa0a431b43d656f7aea091161b46e2b98e46f04b1a1a1807a147a92da34,ROT90_CLOCKWISE,False,False,,,,,,,[],,448,476,"[1,32,34]",272
