model,scope,domain,budget,physical_n,mae_mpa,rmse_mpa
MEAN_SC,VALID_FIXED_PREFIX,POOLED,0.0,50,58.550993041992186,75.7775072550192
MEAN_SC,VALID_FIXED_PREFIX,74t7kcdgkr,0.0,9,48.9434560139974,65.2909642923543
MEAN_SC,VALID_FIXED_PREFIX,cgtnjyggtm,0.0,9,98.52284240722656,114.46320846429474
MEAN_SC,VALID_FIXED_PREFIX,w68dtmpfyf,0.0,8,54.8693904876709,66.70878018538865
MEAN_SC,VALID_FIXED_PREFIX,xcmzfsbd9t,0.0,9,65.11016845703125,76.12731054450173
MEAN_SC,VALID_FIXED_PREFIX,yfxyg8jm46,0.0,8,51.48123359680176,68.77336773718679
MEAN_SC,VALID_FIXED_PREFIX,ykhs7s2dck,0.0,7,23.365208217075892,27.33887575069615
MEAN_SC,VALID_FIXED_PREFIX,POOLED,0.0625,50,49.95413192749024,66.24735439326444
MEAN_SC,VALID_FIXED_PREFIX,74t7kcdgkr,0.0625,9,36.15825059678819,47.31750775543172
MEAN_SC,VALID_FIXED_PREFIX,cgtnjyggtm,0.0625,9,83.26773071289062,99.5535794418323
MEAN_SC,VALID_FIXED_PREFIX,w68dtmpfyf,0.0625,8,44.99497127532959,54.947242756997575
MEAN_SC,VALID_FIXED_PREFIX,xcmzfsbd9t,0.0625,9,51.57890531751845,63.95174746747358
MEAN_SC,VALID_FIXED_PREFIX,yfxyg8jm46,0.0625,8,55.72825908660889,74.28809954847709
MEAN_SC,VALID_FIXED_PREFIX,ykhs7s2dck,0.0625,7,21.8395391191755,26.659329431822773
MEAN_SC,VALID_FIXED_PREFIX,POOLED,0.125,50,48.581717300415036,64.68819626951246
MEAN_SC,VALID_FIXED_PREFIX,74t7kcdgkr,0.125,9,38.20328267415365,49.18741595942238
MEAN_SC,VALID_FIXED_PREFIX,cgtnjyggtm,0.125,9,78.74729241265192,96.44157394387655
MEAN_SC,VALID_FIXED_PREFIX,w68dtmpfyf,0.125,8,43.78830814361572,53.44347407441686
MEAN_SC,VALID_FIXED_PREFIX,xcmzfsbd9t,0.125,9,51.03105587429471,62.4327552584645
MEAN_SC,VALID_FIXED_PREFIX,yfxyg8jm46,0.125,8,53.848313331604004,72.01671365905507
MEAN_SC,VALID_FIXED_PREFIX,ykhs7s2dck,0.125,7,19.451173509870255,24.85152788259475
MEAN_SC,VALID_FIXED_PREFIX,POOLED,0.1875,50,48.24305778503418,64.57018738536064
MEAN_SC,VALID_FIXED_PREFIX,74t7kcdgkr,0.1875,9,38.1395395067003,50.16295533092659
MEAN_SC,VALID_FIXED_PREFIX,cgtnjyggtm,0.1875,9,78.08818859524197,95.17762612353305
MEAN_SC,VALID_FIXED_PREFIX,w68dtmpfyf,0.1875,8,42.90283012390137,52.899695743965914
MEAN_SC,VALID_FIXED_PREFIX,xcmzfsbd9t,0.1875,9,50.687262217203774,62.56390082686193
MEAN_SC,VALID_FIXED_PREFIX,yfxyg8jm46,0.1875,8,54.571377754211426,72.89100947626739
MEAN_SC,VALID_FIXED_PREFIX,ykhs7s2dck,0.1875,7,18.589187622070312,24.405911966420412
MEAN_SC,VALID_FIXED_PREFIX,POOLED,0.25,50,47.848648147583006,63.96672648313252
MEAN_SC,VALID_FIXED_PREFIX,74t7kcdgkr,0.25,9,39.10699250962999,51.9207826978696
MEAN_SC,VALID_FIXED_PREFIX,cgtnjyggtm,0.25,9,78.00379477606879,93.97214309749056
MEAN_SC,VALID_FIXED_PREFIX,w68dtmpfyf,0.25,8,42.38888740539551,53.1372137673834
MEAN_SC,VALID_FIXED_PREFIX,xcmzfsbd9t,0.25,9,50.007589975992836,61.57565037312205
MEAN_SC,VALID_FIXED_PREFIX,yfxyg8jm46,0.25,8,53.2019419670105,70.94716689594995
MEAN_SC,VALID_FIXED_PREFIX,ykhs7s2dck,0.25,7,17.662911006382533,23.506121906877528
SPATIAL_SC,VALID_FIXED_PREFIX,POOLED,0.0,50,59.65753692626953,76.91410407254669
SPATIAL_SC,VALID_FIXED_PREFIX,74t7kcdgkr,0.0,9,77.84118143717448,97.11289844888442
SPATIAL_SC,VALID_FIXED_PREFIX,cgtnjyggtm,0.0,9,104.32899644639757,111.76876123763559
SPATIAL_SC,VALID_FIXED_PREFIX,w68dtmpfyf,0.0,8,56.05644607543945,69.56575718602288
SPATIAL_SC,VALID_FIXED_PREFIX,xcmzfsbd9t,0.0,9,38.83175828721788,48.60296530921323
SPATIAL_SC,VALID_FIXED_PREFIX,yfxyg8jm46,0.0,8,33.70680809020996,51.69128334597074
SPATIAL_SC,VALID_FIXED_PREFIX,ykhs7s2dck,0.0,7,39.393341064453125,49.467348616890135
SPATIAL_SC,VALID_FIXED_PREFIX,POOLED,0.0625,50,57.32099006652832,73.57389348543187
SPATIAL_SC,VALID_FIXED_PREFIX,74t7kcdgkr,0.0625,9,71.85333802964952,90.15640301238221
SPATIAL_SC,VALID_FIXED_PREFIX,cgtnjyggtm,0.0625,9,98.5274658203125,107.97271988887553
SPATIAL_SC,VALID_FIXED_PREFIX,w68dtmpfyf,0.0625,8,50.592021465301514,62.85594147932839
SPATIAL_SC,VALID_FIXED_PREFIX,xcmzfsbd9t,0.0625,9,40.863911946614586,48.29467613282915
SPATIAL_SC,VALID_FIXED_PREFIX,yfxyg8jm46,0.0625,8,36.60373783111572,55.72749350524821
SPATIAL_SC,VALID_FIXED_PREFIX,ykhs7s2dck,0.0625,7,38.18299811226981,46.50124107909712
SPATIAL_SC,VALID_FIXED_PREFIX,POOLED,0.125,50,55.75786979675293,71.83002604160559
SPATIAL_SC,VALID_FIXED_PREFIX,74t7kcdgkr,0.125,9,69.09740236070421,87.59728240079752
SPATIAL_SC,VALID_FIXED_PREFIX,cgtnjyggtm,0.125,9,95.79899512396918,105.83047048975897
SPATIAL_SC,VALID_FIXED_PREFIX,w68dtmpfyf,0.125,8,46.94613265991211,59.173418390839615
SPATIAL_SC,VALID_FIXED_PREFIX,xcmzfsbd9t,0.125,9,39.859598795572914,46.35263944182647
SPATIAL_SC,VALID_FIXED_PREFIX,yfxyg8jm46,0.125,8,37.251267433166504,56.98486006345392
SPATIAL_SC,VALID_FIXED_PREFIX,ykhs7s2dck,0.125,7,38.78718893868582,45.96587916363549
SPATIAL_SC,VALID_FIXED_PREFIX,POOLED,0.1875,50,54.87436157226563,71.07355119286721
SPATIAL_SC,VALID_FIXED_PREFIX,74t7kcdgkr,0.1875,9,65.7175555759006,85.4028735008628
SPATIAL_SC,VALID_FIXED_PREFIX,cgtnjyggtm,0.1875,9,95.70867665608723,106.08294228855648
SPATIAL_SC,VALID_FIXED_PREFIX,w68dtmpfyf,0.1875,8,46.24481773376465,58.57301567843818
SPATIAL_SC,VALID_FIXED_PREFIX,xcmzfsbd9t,0.1875,9,39.37907791137695,45.53094927375286
SPATIAL_SC,VALID_FIXED_PREFIX,yfxyg8jm46,0.1875,8,38.30109167098999,57.66390640758797
SPATIAL_SC,VALID_FIXED_PREFIX,ykhs7s2dck,0.1875,7,37.15757315499442,42.99885499858124
SPATIAL_SC,VALID_FIXED_PREFIX,POOLED,0.25,50,54.8215308380127,71.14468515019776
SPATIAL_SC,VALID_FIXED_PREFIX,74t7kcdgkr,0.25,9,66.64622921413846,86.91428040591259
SPATIAL_SC,VALID_FIXED_PREFIX,cgtnjyggtm,0.25,9,95.0682250128852,105.39881472268972
SPATIAL_SC,VALID_FIXED_PREFIX,w68dtmpfyf,0.25,8,45.576475620269775,57.63294681017795
SPATIAL_SC,VALID_FIXED_PREFIX,xcmzfsbd9t,0.25,9,40.84941143459744,47.07442026260492
SPATIAL_SC,VALID_FIXED_PREFIX,yfxyg8jm46,0.25,8,39.049293518066406,58.6415100974801
SPATIAL_SC,VALID_FIXED_PREFIX,ykhs7s2dck,0.25,7,34.42794254847935,39.79270428710109
SPATIAL_C,VALID_FIXED_PREFIX,POOLED,0.0,50,74.29827972412109,103.34610619223702
SPATIAL_C,VALID_FIXED_PREFIX,74t7kcdgkr,0.0,9,46.219329833984375,60.488058901855084
SPATIAL_C,VALID_FIXED_PREFIX,cgtnjyggtm,0.0,9,97.86445617675781,115.30233294825044
SPATIAL_C,VALID_FIXED_PREFIX,w68dtmpfyf,0.0,8,75.6156234741211,88.53876838464933
SPATIAL_C,VALID_FIXED_PREFIX,xcmzfsbd9t,0.0,9,52.68409729003906,83.33141759760717
SPATIAL_C,VALID_FIXED_PREFIX,yfxyg8jm46,0.0,8,133.3814926147461,173.91892661740692
SPATIAL_C,VALID_FIXED_PREFIX,ykhs7s2dck,0.0,7,38.86087254115513,45.11509916018232
SPATIAL_C,VALID_FIXED_PREFIX,POOLED,0.0625,50,67.78711235046387,95.53248745956716
SPATIAL_C,VALID_FIXED_PREFIX,74t7kcdgkr,0.0625,9,41.888144175211586,53.868176346304715
SPATIAL_C,VALID_FIXED_PREFIX,cgtnjyggtm,0.0625,9,83.66190507676866,99.44473501136287
