fold,scope,physical_n,mae_mpa,rmse_mpa
0,TRAIN_OOF_QUERY_FULL_64,57,50.839675769471285,77.4036778769748
1,TRAIN_OOF_QUERY_FULL_64,53,52.026560369527566,69.34713272141224
2,TRAIN_OOF_QUERY_FULL_64,51,31.469682282092524,45.553454975022014
