model,update,train_loss,valid_area_mpa,zero_mae_mpa,full_mae_mpa,full_mse_mpa2,full_rmse_mpa,full_r2,center_endpoint_mae_mpa,geometry_endpoint_mae_mpa,train_median_full_mae_mpa,train_mean_full_mse_mpa2
MEAN_SC,250,0.13810479640960693,69.31802376460773,73.59941864013672,63.43698699951172,6973.0368641007835,83.50471162815175,0.3063672163543918,61.57710205078125,66.13125885009765,74.48850311279297,10052.94650467202
MEAN_SC,500,0.13236720860004425,54.728771929328694,63.895146484375,48.59052947998047,3999.852105841213,63.244383986573965,0.6021204814463335,53.61166717529297,52.75936553955078,74.48850311279297,10052.94650467202
MEAN_SC,750,0.08477765321731567,51.592547369202435,60.819871520996095,41.87754333496094,3262.678889513025,57.11986422876918,0.6754497237888155,49.894105224609376,49.06674499511719,74.48850311279297,10052.94650467202
MEAN_SC,1000,0.10436280071735382,48.91894929801055,56.88211029052734,42.39017608642578,3097.4357706720803,55.65461140527423,0.6918870446769372,49.86109893798828,45.77103729248047,74.48850311279297,10052.94650467202
MEAN_SC,1250,0.05674528330564499,48.58581456668865,57.63858459472656,42.71013732910156,3466.0917213225644,58.87352309249519,0.655215525761887,47.9763150024414,45.46239654541016,74.48850311279297,10052.94650467202
MEAN_SC,1500,0.03760620579123497,49.654526804305625,57.214291381835935,41.956767578125,3170.1340928850136,56.30394384841095,0.6846554839401039,48.53112854003906,46.68004272460937,74.48850311279297,10052.94650467202
MEAN_SC,1750,0.07237178832292557,48.51707710207723,58.550993041992186,41.69001007080078,2909.959431077675,53.94403981050803,0.7105359831287097,48.026566162109376,46.90991729736328,74.48850311279297,10052.94650467202
MEAN_SC,2000,0.037857260555028915,49.769532623297295,59.05365356445313,39.97519622802734,2862.9561649193474,53.50659926513128,0.7152115652289115,48.61456085205078,47.789130859375,74.48850311279297,10052.94650467202
SPATIAL_SC,250,0.0303651113063097,56.07245927291115,60.00225830078125,49.539172973632816,3871.3293212579565,62.22000740322968,0.6149051000522276,51.976383666992184,55.52075714111328,74.48850311279297,10052.94650467202
SPATIAL_SC,500,0.024353619664907455,56.474564277234585,59.95833251953125,52.57583465576172,4886.6106002010265,69.90429600676218,0.5139114593442389,53.47150451660156,57.24534912109375,74.48850311279297,10052.94650467202
SPATIAL_SC,750,0.005196338519454002,55.07733693775105,59.65753692626953,47.43396942138672,3831.3296549924603,61.89773545932404,0.6188840091555871,52.74237396240235,53.76025604248047,74.48850311279297,10052.94650467202
SPATIAL_SC,1000,0.008126521483063698,56.451356504581405,60.819454956054685,49.83743438720703,4087.506538726096,63.93361039958635,0.5934011831741797,54.968867492675784,56.84333374023438,74.48850311279297,10052.94650467202
SPATIAL_SC,1250,0.003893767250701785,55.77876379188981,60.730223693847655,49.064894104003905,4047.1458228529573,63.61718182105332,0.5974160071664554,53.6560562133789,55.94760192871094,74.48850311279297,10052.94650467202
SPATIAL_SC,1500,0.01528884656727314,56.763651301599026,60.360581665039064,49.651380920410155,4147.833999348521,64.40368001402187,0.5874001960494402,54.37099395751953,56.69000030517578,74.48850311279297,10052.94650467202
SPATIAL_SC,1750,0.002209281548857689,57.30762848701559,61.18139068603516,49.64526306152344,4029.041277309973,63.474729438651195,0.5992169307190427,54.96804168701172,57.101513366699216,74.48850311279297,10052.94650467202
SPATIAL_C,250,0.166908398270607,69.6789993309989,74.29827972412109,49.53969696044922,4668.773945679315,68.32842706867557,0.5355804463294993,53.38670562744141,61.60252563476563,74.48850311279297,10052.94650467202
SPATIAL_C,500,0.2076297551393509,66.43471056106229,74.29827972412109,59.08801635742188,6168.870330161052,78.54215638853476,0.3863605223302935,60.54334808349609,62.09043762207031,74.48850311279297,10052.94650467202
SPATIAL_C,750,0.2692088186740875,68.64646772364871,74.34092864990234,54.29135589599609,6016.017380352565,77.56298975898599,0.4015653490263841,61.40045349121094,63.36547454833985,74.48850311279297,10052.94650467202
SPATIAL_C,1000,0.07754607498645782,66.50298138239535,74.9714144897461,51.15564361572265,5870.941079372246,76.62206653029038,0.41599660479789125,55.38574920654297,55.31362609863281,74.48850311279297,10052.94650467202
SPATIAL_C,1250,0.07693885266780853,69.28780921985843,74.29827972412109,61.36703033447266,7499.7730294029925,86.60122995317671,0.2539708961131535,65.1395346069336,66.19642852783203,74.48850311279297,10052.94650467202
SPATIAL_C,1500,0.04045620560646057,71.24024044929831,74.30383880615234,59.008258972167965,7170.903699750766,84.68118858253446,0.2866846982954909,61.35296051025391,66.51273345947266,74.48850311279297,10052.94650467202
