fold,model,update,train_loss,valid_area_mpa,zero_mae_mpa,full_mae_mpa,full_mse_mpa2,full_rmse_mpa,full_r2,center_endpoint_mae_mpa,geometry_endpoint_mae_mpa,train_median_full_mae_mpa,train_mean_full_mse_mpa2
0,MEAN_SC,250,0.3231508433818817,70.02815668634925,70.4952099609375,60.24946044921875,6874.381372355316,82.91188920990352,0.3161808290879822,64.62617645263671,66.92611236572266,75.40127166748047,10101.058608159654
0,MEAN_SC,500,0.08897115290164948,59.550230977129864,66.5542562866211,49.52048095703125,3818.286493522944,61.79228506474691,0.6201814588283713,56.48848419189453,57.39377319335937,75.40127166748047,10101.058608159654
0,MEAN_SC,750,0.07728523761034012,55.5554261223461,65.3235238647461,49.57404998779297,3713.194404334179,60.935986119321804,0.6306353428080218,52.232374572753905,54.60376159667969,75.40127166748047,10101.058608159654
0,MEAN_SC,1000,0.10918014496564865,55.49862055893826,65.03238311767578,48.59593719482422,3842.8578014247723,61.990788036810535,0.6177372634182619,52.6077685546875,53.51160339355469,75.40127166748047,10101.058608159654
0,MEAN_SC,1250,0.05084461346268654,54.11397949010927,64.45936004638672,45.323202209472655,3342.9652695413724,57.81838176169731,0.6674633519463552,51.56039276123047,52.91582580566406,75.40127166748047,10101.058608159654
0,MEAN_SC,1500,0.06723757088184357,55.19900003053885,63.14308319091797,46.43931365966797,3649.890598515761,60.414324448062494,0.636932397577838,52.743755187988285,53.3090786743164,75.40127166748047,10101.058608159654
0,MEAN_SC,1750,0.05118243396282196,54.99638461254286,63.723526306152344,45.698385620117186,3784.21834697254,61.51600073942177,0.6235703385641234,53.27558837890625,53.013857421875,75.40127166748047,10101.058608159654
0,MEAN_SC,2000,0.04989073425531387,56.82626814169004,64.93903228759766,46.893342895507814,4159.70688817,64.49578969335906,0.5862191575602338,55.82964294433594,55.239332885742186,75.40127166748047,10101.058608159654
1,MEAN_SC,250,0.288370281457901,74.51486934619173,74.497861328125,74.53752319335938,9729.793932204033,98.63971782301505,0.032142783549855114,65.08947814941406,72.97347229003907,74.35401763916016,10063.046858368054
1,MEAN_SC,500,0.1036796048283577,56.92186196525871,61.71299285888672,48.78066436767578,5018.459749306361,70.84108800199472,0.5007959554256989,55.63515258789062,56.00535980224609,74.35401763916016,10063.046858368054
1,MEAN_SC,750,0.05849989876151085,53.792080811458355,56.02183349609375,50.43389129638672,4422.23365474327,66.49987710321929,0.5601046861428822,53.67419647216797,52.27610046386719,74.35401763916016,10063.046858368054
1,MEAN_SC,1000,0.055342547595500946,54.74572890787761,58.893479919433595,47.739525146484375,4428.784326836961,66.54911214161284,0.5594530674855238,55.611341857910155,53.19396270751953,74.35401763916016,10063.046858368054
1,MEAN_SC,1250,0.021709471940994263,54.88871718932234,57.18046020507813,51.570171203613285,4661.757025527847,68.27706075636127,0.5362784443398554,54.531489868164066,53.06092651367187,74.35401763916016,10063.046858368054
1,MEAN_SC,1500,0.018597884103655815,54.30445057923581,59.21495056152344,50.01265106201172,4535.084961621431,67.34303944448476,0.5488789651760339,54.29702819824219,54.79173736572265,74.35401763916016,10063.046858368054
1,MEAN_SC,1750,0.03578619658946991,54.239580986322174,59.63150390625,50.26276916503906,4951.55093649284,70.36725755983986,0.5074516130662312,54.3382601928711,55.41216979980469,74.35401763916016,10063.046858368054
2,MEAN_SC,250,0.1447225660085678,69.60534606086192,72.31428375244141,63.37199310302734,6920.845452221888,83.19161888208384,0.3115588817663917,62.17339569091797,65.20226776123047,74.37175140380859,10068.021896561775
2,MEAN_SC,500,0.21833668649196625,63.56547830347998,71.37585388183594,50.86302917480469,4024.0480627628694,63.43538494218246,0.5997136235335434,54.885869140625,56.513321533203126,74.37175140380859,10068.021896561775
2,MEAN_SC,750,0.09818896651268005,50.33384570080321,60.387650146484376,37.62331878662109,2262.9140547529096,47.570096223918966,0.7748998885937419,48.63595153808594,47.46035278320313,74.37175140380859,10068.021896561775
2,MEAN_SC,1000,0.06685273349285126,48.34509742851091,60.50581085205078,35.58623046875,2433.991298819855,49.33549735048644,0.7578822265143264,47.36126129150391,44.833426818847656,74.37175140380859,10068.021896561775
2,MEAN_SC,1250,0.08553745597600937,49.05471681695991,60.032652587890624,40.51060943603515,3071.100820219,55.417513659663584,0.6945066758858272,47.836722717285156,46.66118896484375,74.37175140380859,10068.021896561775
2,MEAN_SC,1500,0.03021756187081337,49.940780554619,61.23091491699219,38.38136291503906,2683.9529491412454,51.80688129140033,0.7330176519113016,48.276040649414064,47.04612182617188,74.37175140380859,10068.021896561775
2,MEAN_SC,1750,0.025726744905114174,51.739940903686914,60.98847351074219,48.9152798461914,4311.438915427872,65.66154822594326,0.5711258330179662,50.79969177246094,50.84951080322266,74.37175140380859,10068.021896561775
2,MEAN_SC,2000,0.018373290076851845,51.04903706089629,61.55369659423828,44.03857818603515,3294.6899113030872,57.3993894680343,0.6722654735712534,49.777052612304686,49.79762268066406,74.37175140380859,10068.021896561775
