fold,model,fit_physical_n,query_physical_n,fit_capture_group_n,query_capture_group_n,selected_update,updates_completed,readiness_status,center_endpoint_mae_mpa,full_mae_mpa,full_mse_mpa2,full_r2,full_rmse_mpa,geometry_endpoint_mae_mpa,train_mean_full_mse_mpa2,train_median_full_mae_mpa,valid_area_mpa,zero_mae_mpa
0,MEAN_SC,104,57,97,55,1250,2000,PREDICTOR_READY,51.56039276123047,45.323202209472655,3342.9652695413724,0.6674633519463552,57.81838176169731,52.91582580566406,10101.058608159654,75.40127166748047,54.11397949010927,64.45936004638672
1,MEAN_SC,108,53,102,50,750,1750,PREDICTOR_READY,53.67419647216797,50.43389129638672,4422.23365474327,0.5601046861428822,66.49987710321929,52.27610046386719,10063.046858368054,74.35401763916016,53.792080811458355,56.02183349609375
2,MEAN_SC,110,51,105,47,1000,2000,PREDICTOR_READY,47.36126129150391,35.58623046875,2433.991298819855,0.7578822265143264,49.33549735048644,44.833426818847656,10068.021896561775,74.37175140380859,48.34509742851091,60.50581085205078
