stage,model,fold,fit_n,query_n,query_scope,valid_n,selected_update,actual_updates,uses_surface,scale_lower_bound,archive_complete,ready,full_mae_below_median,full_mse_below_mean,full_at_least_2pct_better_than_zero,center_below_zero,geometry_below_zero,center_endpoint_mae_mpa,full_mae_mpa,full_mse_mpa2,full_r2,full_rmse_mpa,geometry_endpoint_mae_mpa,train_mean_full_mse_mpa2,train_median_full_mae_mpa,valid_area_mpa,zero_mae_mpa
A,MEAN_SC,,161,50,VALID,50,1750,2000,True,1.0,True,True,True,True,True,True,True,48.026566162109376,41.69001007080078,2909.959431077675,0.7105359831287097,53.94403981050803,46.90991729736328,10052.94650467202,74.48850311279297,48.51707710207723,58.550993041992186
A,SPATIAL_SC,,161,50,VALID,50,750,1750,True,1.0,True,True,True,True,True,True,True,52.74237396240235,47.43396942138672,3831.3296549924603,0.6188840091555871,61.89773545932404,53.76025604248047,10052.94650467202,74.48850311279297,55.07733693775105,59.65753692626953
A,SPATIAL_C,,161,50,VALID,50,500,1500,False,1.0,True,True,True,True,True,True,True,60.54334808349609,59.08801635742188,6168.870330161052,0.3863605223302935,78.54215638853476,62.09043762207031,10052.94650467202,74.48850311279297,66.43471056106229,74.29827972412109
