scorer,nominal_checkpoint,domain_count,specimen_count,mean_exact_acquired_cost,mean_effective_budget,equal_domain_one_step_utility,worst_domain_utility
candidate_only_static,0.03125,6,276,8411.28038363093,0.02064305209479642,-0.00034502496283654984,-0.0015449608346776113
candidate_only_static,0.0625,6,276,25356.205735173062,0.060989813976226985,-0.0008019712234020314,-0.0016265554077356335
candidate_only_static,0.09375,6,276,38101.13557304082,0.09168744638171607,-0.0008323553451583606,-0.0014766987740327097
candidate_only_static,0.125,6,276,51228.53650775351,0.12324202278755354,-0.0006556933624545753,-0.0012545272104155542
candidate_only_static,0.1875,6,276,77249.55744808727,0.18579114008102315,-0.0004051867615642479,-0.0010575120918266017
dynamic_positions_only,0.03125,6,276,8411.28038363093,0.02064305209479642,-0.0004890021563940251,-0.0012776768133906655
dynamic_positions_only,0.0625,6,276,25356.205735173062,0.060989813976226985,-0.0003487652248099311,-0.0010753819358944022
dynamic_positions_only,0.09375,6,276,38101.13557304082,0.09168744638171607,-0.00037214124657889824,-0.000771579810727278
dynamic_positions_only,0.125,6,276,51228.53650775351,0.12324202278755354,-0.000264661612725796,-0.000723150935152678
dynamic_positions_only,0.1875,6,276,77249.55744808727,0.18579114008102315,-0.00012716634234724507,-0.0006076812720851571
dynamic_real,0.03125,6,276,8411.28038363093,0.02064305209479642,-0.0000858064556286325,-0.000673312081655692
dynamic_real,0.0625,6,276,25356.205735173062,0.060989813976226985,-0.000040928694665663776,-0.000530850735371145
dynamic_real,0.09375,6,276,38101.13557304082,0.09168744638171607,-0.00004652578346205427,-0.00048039156163796215
dynamic_real,0.125,6,276,51228.53650775351,0.12324202278755354,0.00006442999289919968,-0.0005699706965330125
dynamic_real,0.1875,6,276,77249.55744808727,0.18579114008102315,-0.00003014156643417,-0.0005700578077690992
dynamic_shuffled,0.03125,6,276,8411.28038363093,0.02064305209479642,0.000012666455707475184,-0.001140315745966105
dynamic_shuffled,0.0625,6,276,25356.205735173062,0.060989813976226985,0.00022002793750064938,-0.00021995851295197522
dynamic_shuffled,0.09375,6,276,38101.13557304082,0.09168744638171607,0.00012462837871490262,-0.00023668329941751691
dynamic_shuffled,0.125,6,276,51228.53650775351,0.12324202278755354,0.000227725048934778,-0.00037694214403404517
dynamic_shuffled,0.1875,6,276,77249.55744808727,0.18579114008102315,0.0002026354294550358,-0.0004964685970221978
static_m1_o2,0.03125,6,276,8411.28038363093,0.02064305209479642,-0.0001075113926503284,-0.004137497466622385
static_m1_o2,0.0625,6,276,25356.205735173062,0.060989813976226985,-0.001672444518784043,-0.0054991601013151
static_m1_o2,0.09375,6,276,38101.13557304082,0.09168744638171607,-0.0015449981629736022,-0.004630238292860961
static_m1_o2,0.125,6,276,51228.53650775351,0.12324202278755354,-0.0013645145371798733,-0.004141111619294772
static_m1_o2,0.1875,6,276,77249.55744808727,0.18579114008102315,-0.0012902421124928159,-0.004024977104358008
