method,nominal_checkpoint,domain_count,mean_exact_acquired_cost,mean_effective_budget,domain_balanced_cai_mae,worst_domain_cai_mae,domain_balanced_reconstruction_mse
global_mechanical,0.03125,6,12769.691211550533,0.030742169611695656,0.1253148539208406,0.1522789002026762,0.0015314605273212452
global_mechanical,0.0625,6,25272.355053358446,0.06078914843325978,0.12529297277796098,0.15210235166795444,0.0014214445490655207
global_mechanical,0.09375,6,38005.953421217826,0.09142948600393325,0.1252532279248582,0.15194444044758001,0.0013179794833599542
global_mechanical,0.125,6,51424.263151286876,0.12362657699842013,0.12513659860385948,0.15161352848733886,0.0011865790872264757
global_mechanical,0.1875,6,77252.62962962962,0.18585157637388713,0.12488966554667236,0.15085629440190104,0.0009134429875716707
global_mechanical,0.25,6,102689.69591964845,0.2472083018994451,0.12466912861215407,0.1502411624339786,0.0006300022435201655
mavis_full,0.03125,6,12855.561940633126,0.03093281153410922,0.1253341755217026,0.15248599825841802,0.0015276064149789565
mavis_full,0.0625,6,25608.30767556502,0.061556028419502085,0.12531668400342322,0.1523198028914918,0.0014416033126782458
mavis_full,0.09375,6,38525.68328939594,0.09265685419133647,0.1252652280330899,0.152089882511467,0.001374157025433681
mavis_full,0.125,6,51361.64706499906,0.12354432234461084,0.12518091868959705,0.15182281894150176,0.0013220543839735901
mavis_full,0.1875,6,77123.83662920808,0.18549626339389533,0.12492521253680673,0.15111589049810759,0.0012262831867579959
mavis_full,0.25,6,103092.65910140691,0.24792061635859716,0.12464043639623663,0.15036627460286667,0.0011304974027612459
mavis_no_feedback,0.03125,6,12879.23654380773,0.030984849347439485,0.12533070907294455,0.15248599825841802,0.001527523871492321
mavis_no_feedback,0.0625,6,25768.7351745317,0.06196833400604856,0.12529860312283347,0.15223583595973383,0.0014589278706779087
mavis_no_feedback,0.09375,6,38600.94056226353,0.09282570428577609,0.1252381854756401,0.15201558912151922,0.0013955221517718405
mavis_no_feedback,0.125,6,51423.29266828266,0.12366388381910143,0.1251484605594863,0.1517576481021063,0.0013460220022021574
mavis_no_feedback,0.1875,6,77214.7451951669,0.1857355228943648,0.1249168320001801,0.15109580875947679,0.0012478348795039518
mavis_no_feedback,0.25,6,102872.50304988498,0.24747107243934793,0.12464089945901184,0.1503712275656305,0.0011495577455808816
mavis_positions_only,0.03125,6,12784.457911555985,0.030783850952567193,0.12532271708976223,0.15248599825841802,0.001495538528223133
