method,domain_count,domain_balanced_cai_auebc,worst_domain_cai_auebc,domain_balanced_reconstruction_auebc,statistical_unit
global_mechanical,6,0.12505045816175336,0.15136656070495058,0.001104959046336009,equal_domain
mavis_full,6,0.1250722401900199,0.15156765000698727,0.0013059936847021102,equal_domain
mavis_no_feedback,6,0.1250572774283045,0.15152852650517862,0.001326068773999011,equal_domain
mavis_positions_only,6,0.1250278412463649,0.15153266628356662,0.0012745975802017362,equal_domain
mavis_raw_value,6,0.1250160995182419,0.15129384057159498,0.0012030980478007663,equal_domain
mavis_shuffled_content,6,0.12505442124625477,0.1515576434827511,0.0012853161233311655,equal_domain
mavis_value_per_cost,6,0.12503923480399373,0.15129713295152705,0.0011263773815022619,equal_domain
mva_a5,6,0.12499912726812568,0.1512440677527642,0.00126171260661304,equal_domain
mvd_m1_o2,6,0.12499204011570479,0.15113358891638629,0.0009408535124404022,equal_domain
one_shot_mechanical_oracle,6,0.12504614978532033,0.15134293289818107,0.001065728916503365,equal_domain
random,6,0.12503125358941103,0.15129454451111177,0.0011626187496616156,equal_domain
reconstruction_driven,6,0.12506126639750095,0.1514701830883986,0.0007177450310017962,equal_domain
sequential_mechanical_oracle,6,0.12502245344774152,0.15129072090677229,0.001233534846285779,equal_domain
uniform,6,0.12505606494525084,0.1513937460872824,0.0010511283822136443,equal_domain
