outer_domain,method,specimen_count,cai_auebc,reconstruction_auebc,statistical_unit
74t7kcdgkr,global_mechanical,45,0.10006969811018457,0.0010755400787242258,held_out_domain
74t7kcdgkr,mavis_full,45,0.10006618656055394,0.0011360360813254806,held_out_domain
74t7kcdgkr,mavis_no_feedback,45,0.10007117117173567,0.0012094699864991165,held_out_domain
74t7kcdgkr,mavis_positions_only,45,0.10004557278596052,0.0011593099200347173,held_out_domain
74t7kcdgkr,mavis_raw_value,45,0.1000594980818889,0.0010625494727320723,held_out_domain
74t7kcdgkr,mavis_shuffled_content,45,0.10001784157127407,0.0011318897656261348,held_out_domain
74t7kcdgkr,mavis_value_per_cost,45,0.1000663125477099,0.001026106865127614,held_out_domain
74t7kcdgkr,mva_a5,45,0.10005300809616635,0.0011496779210501476,held_out_domain
74t7kcdgkr,mvd_m1_o2,45,0.10003430824704108,0.000962770292867422,held_out_domain
74t7kcdgkr,one_shot_mechanical_oracle,45,0.10007062646977063,0.0010627407947861056,held_out_domain
74t7kcdgkr,random,45,0.10005882446998533,0.001072452354574996,held_out_domain
74t7kcdgkr,reconstruction_driven,45,0.10005918172305112,0.000672410619827778,held_out_domain
74t7kcdgkr,sequential_mechanical_oracle,45,0.10004221670831738,0.0011282821685171028,held_out_domain
74t7kcdgkr,uniform,45,0.1000543430847989,0.0010584072739760798,held_out_domain
cgtnjyggtm,global_mechanical,49,0.14028452726884047,0.001166703464371346,held_out_domain
cgtnjyggtm,mavis_full,49,0.1403077027719284,0.0013571340500408043,held_out_domain
cgtnjyggtm,mavis_no_feedback,49,0.14029841156536277,0.0013859724827332306,held_out_domain
cgtnjyggtm,mavis_positions_only,49,0.1403220015113244,0.0012092675254397462,held_out_domain
cgtnjyggtm,mavis_raw_value,49,0.14025232301749352,0.0013694533742938883,held_out_domain
cgtnjyggtm,mavis_shuffled_content,49,0.14031707419634237,0.0013496919179287552,held_out_domain
cgtnjyggtm,mavis_value_per_cost,49,0.1402540152238107,0.00134518386979284,held_out_domain
cgtnjyggtm,mva_a5,49,0.14025746862422092,0.0013692263599787366,held_out_domain
cgtnjyggtm,mvd_m1_o2,49,0.1403025882577035,0.0010815476395099183,held_out_domain
cgtnjyggtm,one_shot_mechanical_oracle,49,0.1402919740837731,0.001026342146381471,held_out_domain
cgtnjyggtm,random,49,0.14024159312639795,0.0011652197860947985,held_out_domain
cgtnjyggtm,reconstruction_driven,49,0.14027273033129461,0.0007189436997510634,held_out_domain
cgtnjyggtm,sequential_mechanical_oracle,49,0.14024356526977455,0.001232692600623276,held_out_domain
cgtnjyggtm,uniform,49,0.14025478130484423,0.001010922629801303,held_out_domain
w68dtmpfyf,global_mechanical,43,0.09064290673344051,0.0008877356992053857,held_out_domain
w68dtmpfyf,mavis_full,43,0.09063320338195893,0.0010864366530938868,held_out_domain
w68dtmpfyf,mavis_no_feedback,43,0.09063618671502438,0.001069903855394359,held_out_domain
w68dtmpfyf,mavis_positions_only,43,0.09061904096461418,0.001048939494502279,held_out_domain
w68dtmpfyf,mavis_raw_value,43,0.09071451380324083,0.0009657000094673867,held_out_domain
w68dtmpfyf,mavis_shuffled_content,43,0.09064230087803622,0.0010530770569919373,held_out_domain
w68dtmpfyf,mavis_value_per_cost,43,0.09070880471824909,0.0008839632565140278,held_out_domain
w68dtmpfyf,mva_a5,43,0.09074309842400759,0.001169080289128203,held_out_domain
w68dtmpfyf,mvd_m1_o2,43,0.09071973115885118,0.0007612675700491023,held_out_domain
w68dtmpfyf,one_shot_mechanical_oracle,43,0.09065646912699277,0.00088582388252906,held_out_domain
w68dtmpfyf,random,43,0.09061595604042809,0.0009628183530298525,held_out_domain
w68dtmpfyf,reconstruction_driven,43,0.09059792337573382,0.0006292102408786389,held_out_domain
w68dtmpfyf,sequential_mechanical_oracle,43,0.09058823044390783,0.0010469623161376254,held_out_domain
w68dtmpfyf,uniform,43,0.09055941904697556,0.0008406601776033245,held_out_domain
xcmzfsbd9t,global_mechanical,59,0.11824886865128843,0.0017211148641066397,held_out_domain
xcmzfsbd9t,mavis_full,59,0.1183103616150648,0.0020330828546009164,held_out_domain
xcmzfsbd9t,mavis_no_feedback,59,0.11830135741180123,0.002068576683439242,held_out_domain
xcmzfsbd9t,mavis_positions_only,59,0.11812324382245855,0.0020047498868479073,held_out_domain
xcmzfsbd9t,mavis_raw_value,59,0.11816050878302901,0.0016179870828691187,held_out_domain
