endpoint,view_name,specimen_count,equal_domain_mae,pooled_rmse,pooled_r2,equal_domain_standardized_mae
extension_peak_mm,F0,276,0.25165073108790009,0.31281392448111667,0.2021402886947995,0.7265817175870436
extension_peak_mm,F1,276,0.21877049439568927,0.29103254844902604,0.30938261557404223,0.63289728007273738
extension_peak_mm,F2,276,0.2025732174465229,0.27405430584971152,0.38761063249736283,0.58597833850041758
extension_peak_mm,F3,276,0.18938663004381404,0.24917458003082091,0.49375371208380647,0.55098721954159058
extension_peak_mm,F4,276,0.21270364757610419,0.27162918950534515,0.39840078986970973,0.61677769572775998
extension_peak_mm,F5,276,0.21474304298978839,0.27186327518070241,0.39736344599409101,0.6224372846007612
slope_u20_u60_mpa_per_mm,F0,276,35.346647237323104,53.859639084000548,0.74455606773125094,0.39100347275268871
slope_u20_u60_mpa_per_mm,F1,276,48.285880069886964,65.525956199633697,0.6219097764901963,0.52412382542462399
slope_u20_u60_mpa_per_mm,F2,276,35.940429247103104,54.314204336769585,0.74022607458673217,0.39571994387799819
slope_u20_u60_mpa_per_mm,F3,276,32.745625191712492,52.041943257021387,0.76150695254512213,0.36502446014432266
slope_u20_u60_mpa_per_mm,F4,276,45.168856540692865,63.769316433441887,0.64190996409910717,0.48147939645536675
slope_u20_u60_mpa_per_mm,F5,276,49.570012333922676,67.360822281666458,0.60043864858008045,0.52207598584476833
normalized_prepeak_auc,F0,276,0.034273698113643565,0.053712523943665304,-0.13512928432333915,0.79728416937475266
normalized_prepeak_auc,F1,276,0.036571016255757899,0.054614124070463899,-0.17355690333167373,0.83973798753665063
normalized_prepeak_auc,F2,276,0.033335534237596311,0.052840819521024408,-0.098584067881400506,0.77393686892491242
normalized_prepeak_auc,F3,276,0.031504773437589756,0.05126955289207108,-0.034220798814433406,0.74372452114599696
normalized_prepeak_auc,F4,276,0.035684720073733987,0.054495612410769639,-0.16846923496775856,0.82213909019256437
normalized_prepeak_auc,F5,276,0.036349257777404921,0.054875038023077478,-0.18479680840643331,0.83500314160516698
