name,endpoint,reference_view,candidate_view,primary_family,reference_equal_domain_mae,candidate_equal_domain_mae,observed_improvement,relative_improvement,improved_domain_count,improvement_74t7kcdgkr,improvement_cgtnjyggtm,improvement_w68dtmpfyf,improvement_xcmzfsbd9t,improvement_yfxyg8jm46,improvement_ykhs7s2dck,bootstrap_mean,ordinary_lower,ordinary_upper,familywise_lower,familywise_upper,probability_positive,bootstrap_seed,bootstrap_replicates,bootstrap_column,replicate_sha256,synchronized_replicate_sha256
extension_peak_mm__F3_vs_F2,extension_peak_mm,F2,F3,true,0.20257321744652293,0.18938663004381404,0.013186587402708894,0.065095413741898062,5,-0.12571606228558607,0.0055533523171737015,0.026877831891206069,0.054206629240561993,0.052130614544691971,0.066067158708205911,0.013181355589752452,-0.0017954002793398921,0.02915284796594354,-0.0066943245447845506,0.035128376601972489,0.95672000000000001,20260830,100000,0,fafeff432ccd429b8a6ecb6fcba1591bb4d45a03d9298223e1406dace2914e67,0da00c47f1c2f265024e8994e8175e15d4307958112d732987152fecb92cc6f9
extension_peak_mm__F4_vs_F2,extension_peak_mm,F2,F4,true,0.20257321744652293,0.21270364757610419,-0.010130430129581258,-0.05000873391496375,3,-0.088813128912169373,0.033280982927728762,0.007216974106654373,-0.036507159768180607,0.072843492808701518,-0.048803741940222252,-0.01012918287115485,-0.026016237563202801,0.0066395746876827533,-0.031222496803089254,0.012822351105466062,0.11215,20260830,100000,1,11926202a8e4310a6e699e82e09aa7a9525786d52d9a9297d64a4b63b1fb56e4,0da00c47f1c2f265024e8994e8175e15d4307958112d732987152fecb92cc6f9
slope_u20_u60_mpa_per_mm__F3_vs_F2,slope_u20_u60_mpa_per_mm,F2,F3,true,35.940429247103104,32.745625191712492,3.1948040553906125,0.088891649941774759,4,4.4655699407132188,1.6716301423477236,-0.47306418956111956,14.216935257773427,2.2468403536788761,-2.959087172608454,3.1943073854276469,1.641182164425244,4.7680204083464481,1.1184686316057244,5.3024313736289468,0.99997000000000003,20260830,100000,2,e7bb5a734df6f4c64ebbd29f272e664352ff78fea677612310f10823ebc07fb9,0da00c47f1c2f265024e8994e8175e15d4307958112d732987152fecb92cc6f9
slope_u20_u60_mpa_per_mm__F4_vs_F2,slope_u20_u60_mpa_per_mm,F2,F4,true,35.940429247103104,45.168856540692865,-9.2284272935897604,-0.2567700911455752,2,-13.520463638836425,2.7950477003041443,-3.2155190124288899,-11.978303766244634,0.47949925026486945,-29.930824294597635,-9.2256447139370579,-12.037819742914818,-6.4898503202338693,-13.019689683974992,-5.5584686191078134,0,20260830,100000,3,b8b620e5bbe224e15e9117569efed884f29bb0ba4478d295a4f7894ca8df1d09,0da00c47f1c2f265024e8994e8175e15d4307958112d732987152fecb92cc6f9
normalized_prepeak_auc__F3_vs_F2,normalized_prepeak_auc,F2,F3,true,0.033335534237596325,0.031504773437589756,0.0018307608000065687,0.054919197843297456,3,0.00068419796750967112,-0.00065345336666091703,-0.00019550151623289337,0.013036517428878232,0.0035047098023500184,-0.0053919055158047407,0.0018339791786835544,0.00027926332378122663,0.0034359590744352476,-0.00025596902736786247,0.0040453357420633749,0.98989000000000005,20260830,100000,4,bbbb3d64d0b785f924ccf48546374dafa6e6b4d51568d1403aec321ac92b6a3c,0da00c47f1c2f265024e8994e8175e15d4307958112d732987152fecb92cc6f9
normalized_prepeak_auc__F4_vs_F2,normalized_prepeak_auc,F2,F4,true,0.033335534237596325,0.035684720073733987,-0.0023491858361376627,-0.07047092209154443,2,0.00019394839946033823,-0.00043651234794307687,-0.0040859213087167676,0.010448005051576651,-0.0017956640058710085,-0.018418970805332134,-0.002347735846444805,-0.0046444576218591764,-6.6558080451303695e-05,-0.0054025784788464398,0.00069526806214420295,0.021829999999999999,20260830,100000,5,ee72336c891a55a1903a7b523300996606aa1c7ae15e559e846fb68ee5deba20,0da00c47f1c2f265024e8994e8175e15d4307958112d732987152fecb92cc6f9
extension_peak_mm__F4_vs_F3,extension_peak_mm,F3,F4,false,0.18938663004381404,0.21270364757610419,-0.023317017532290152,-0.12311860413217041,3,0.036902933373416692,0.027727630610555064,-0.019660857784551695,-0.090713789008742607,0.020712878264009551,-0.1148709006484282,-0.023310538460907301,-0.035516975714559341,-0.01132375302309032,,,3.0000000000000001e-05,20260830,100000,6,8c25205a0e2b0756390a8a57884bdbc91f8e47d3ea7f3f8fc1fee2edbdf444a7,0da00c47f1c2f265024e8994e8175e15d4307958112d732987152fecb92cc6f9
slope_u20_u60_mpa_per_mm__F4_vs_F3,slope_u20_u60_mpa_per_mm,F3,F4,false,32.745625191712492,45.168856540692865,-12.423231348980373,-0.37938598747916219,1,-17.986033579549641,1.1234175579564207,-2.7424548228677703,-26.195239024018058,-1.767341103414007,-26.971737121989182,-12.419952099364707,-14.917042811460831,-9.9843032324327279,,,0,20260830,100000,7,893d2e265679f092ff96b58e0e98d876b0347ee9d7537c9ca02617a2b101d75d,0da00c47f1c2f265024e8994e8175e15d4307958112d732987152fecb92cc6f9
normalized_prepeak_auc__F4_vs_F3,normalized_prepeak_auc,F3,F4,false,0.031504773437589756,0.035684720073733987,-0.0041799466361442314,-0.13267661309879314,1,-0.00049024956804933294,0.00021694101871784017,-0.0038904197924838745,-0.0025885123773015774,-0.0053003738082210271,-0.013027065289527399,-0.0041817150251283602,-0.0057561269746081965,-0.002641793958583819,,,0,20260830,100000,8,cb479abb29546849ccb18d3c8d73e0aaa88ee2ce9e53ce56a2a7631d4f667cef,0da00c47f1c2f265024e8994e8175e15d4307958112d732987152fecb92cc6f9
