specimen_id,domain_id,laminate_type,ply_count,width_mm,thickness_mm,minimum_delta,maximum_delta,quantile_01,quantile_05,quantile_25,median_delta,quantile_75,quantile_95,quantile_99,mean_delta,standard_deviation,negative_volume_mean,positive_volume_mean,negative_fraction,positive_fraction,gradient_mean,gradient_standard_deviation,gradient_quantile_95,dent_centroid_y,dent_centroid_x,dent_radial_extent,projected_damage_area,damage_height,damage_width,full_embedding_row_sha256,privileged_total_impact_energy_j,privileged_impactor
c8-2,74t7kcdgkr,cross_ply,8,50.171999999999997,1.5289999999999999,-1.1660000085830688,0.33199998736381531,-0.012000000104308128,-0.0079999994486570358,0.0020000000949949026,0.0099999997764825821,0.018999999389052391,0.037000000476837158,0.061999998986721039,0.011900841258466244,0.018411092460155487,0.0045598027709739322,0.0064606441745040455,0.48422053042884072,0.49300454170283314,0.0014538944053069849,0.0070752409981389448,0.0030413813043448836,0.49325000769264965,0.48456201141212324,0.50406289503159407,162.01487991600001,19.970414201200001,30.661764705900001,f67b7e83246b894cf807b97962a8beba29441c32679e0ca38168317605cbf945,5.1221500000000004,hemia
c8-3,74t7kcdgkr,cross_ply,8,50.132666669999999,1.524,-0.37799999117851257,0.26800000667572021,-0.012000000104308128,-0.0079999994486570358,0.0020000000949949026,0.0099999997764825821,0.018999999389052391,0.037999998778104782,0.059000000357627869,0.012017046101391315,0.01579650305211544,0.0044302885958574494,0.0064473354636082449,0.49154557116494607,0.48160482497325696,0.0013229971249409931,0.0013948815564196594,0.0030000004917383194,0.4886919975928688,0.47690538198357213,0.49972128319428727,126.706226466,12.8698224852,20.4545454545,bdcc7c7439c22f3dbebec208939cde96db5c67831f5c76b590a33bc84daaa712,5.1054000000000004,hemia
c8-4,74t7kcdgkr,cross_ply,8,50.14233333,1.536,-0.083000004291534424,0.20399999618530273,-0.00699999975040555,-0.0040000001899898052,0,0.0040000001899898052,0.008999999612569809,0.018999999389052391,0.031999997794628143,0.0055719153024256229,0.0088443737477064133,0.0020839367109302112,0.0036558518414454223,0.49882124556590868,0.48845680126036872,0.0013157990803966781,0.0010344466591959522,0.0030000004917383194,0.45017876215419167,0.44968182142124752,0.4927929117284755,113.420984064,17.307692307699998,13.6363636364,c6c88304af84de69862a561cd0677e15dce8916bccc94030430ed49216859643,3.3792,hemia
c8-5,74t7kcdgkr,cross_ply,8,50.146333329999997,1.512,-0.17200000584125519,0.35699999332427979,-0.0069999992847442627,-0.0039999997243285179,0.0010000020265579224,0.0050000026822090149,0.010000001639127731,0.01900000125169754,0.028999999165534973,0.0063929818570613861,0.0085379593074321747,0.0020966009710513623,0.0034895803152095446,0.49264228514279301,0.49422058725339918,0.0015033686645318585,0.0012764948298151486,0.0034999996423721313,0.53597343818867504,0.51374062469129322,0.50205981022876522,100.831012879,13.979289940799999,14.5588235294,91771be516dfa41dce31c7620c76953181771847afe357da12b77a83847b9bc7,3.3264,hemia
c8-6,74t7kcdgkr,cross_ply,8,50.136333329999999,1.5269999999999999,-0.062000002712011337,0.25,-0.0060000009834766388,-0.0030000004917383194,0.0010000001639127731,0.0049999989569187164,0.0080000003799796104,0.016999999061226845,0.028000000864267349,0.0054435757920145988,0.0077371350489556789,0.0022242618688044558,0.0026678389443091635,0.49914017340014005,0.49036291004246213,0.0016115598470824468,0.0012603832544851941,0.0036400546458028099,0.45695999743542465,0.48148094134079894,0.48030857860900289,96.353466245299998,17.751479289900001,12.3579545455,5bb97ec49655c2f0eaf8f00bf19c05941bd2283f60f060d888caea09ffb26b0e,3.3593999999999999,hemia
c8-6t,74t7kcdgkr,cross_ply,8,50.14833333,1.5680000000000001,-0.037999998778104782,0.19200000166893005,-0.010999999940395355,-0.0069999992847442627,0.0030000000260770321,0.010999999940395355,0.019999999552965164,0.039000000804662704,0.057000003755092621,0.012991724535822868,0.0156545490026474,0.0044251052117290019,0.0064168302281521353,0.49664664074519727,0.46838494660622426,0.0012116935664096729,0.00081483973568718059,0.0025495101746936069,0.50081296056614288,0.50145150042738518,0.50531819254242227,221.14243323400001,50.5192878338,34.444444444399998,91cbb386cd59a8bbd536aa62263f2af3f14258e472ca3a85f1fd563294aada41,5.1744000000000003,hemia
c8-7,74t7kcdgkr,cross_ply,8,50.135333330000002,1.54,-0.077000007033348083,1.2760000228881836,-0.012000000104308128,-0.0080000003799796104,0.0010000000474974513,0.010999999009072781,0.019999999552965164,0.028999999165534973,0.036000002175569534,0.011031928472220898,0.020621888339519501,0.0052810647840844539,0.0053129944034621011,0.4964466893301947,0.4989842610179267,0.0014620392746577135,0.002451354719167481,0.0032015623525970703,0.51390340575617721,0.50229073219490517,0.47294159515584971,314.72981204299998,10.428994082799999,61.985294117599999,7bf9ffbc3dc95ba3b43fa82e96bdc3231284c3dd7e5f7889bc7e54726ebcf73e,5.1589999999999998,coni60
c8-8,74t7kcdgkr,cross_ply,8,50.137666670000002,1.536,-0.078000001609325409,1.4290000200271606,-0.014000000432133675,-0.010000000707805157,-0.00099999993108212948,0.0090000005438923836,0.018000001087784767,0.026999998837709427,0.034000001847743988,0.0093203084543347359,0.020835926756262779,0.0051307610149789887,0.0054510691967897809,0.49889298657093623,0.49078270146792041,0.0011034198037886587,0.0024903215471711732,0.0025000000372529187,0.51507168283038696,0.4972288117494309,0.4693550729595295,285.70418552000001,14.4230769231,61.323529411800003,6917774face9625e6fb71f51a680a3747f62dafc9134bd3a563bbc68a30f6680,5.1456,coni60
c8-8t,74t7kcdgkr,cross_ply,8,50.143999999999998,1.5640000000000001,-0.035000000149011612,0.1210000067949295,-0.0070000002160668373,-0.0040000001899898052,0,0.0030000004917383194,0.0070000002160668373,0.016000000759959221,0.026000000536441803,0.0044976836070418358,0.0075401235371828079,0.0016339616749616382,0.0031316448353560992,0.49400074724294346,0.48763391062349326,0.0013986347645444197,0.00088239901904267485,0.0030413810746821529,0.48348799560431338,0.53507204928246055,0.49567472943505653,50.222551928800002,30.823442136499999,14.777777777800001,3103c13c2bc59c312769978f4163d11fe1ba7ed5a2d625366e7b4e861e1f7f02,3.4407999999999999,hemia
c8-9,74t7kcdgkr,cross_ply,8,50.140333329999997,1.528,-0.085000000894069672,1.9120000600814819,-0.014000000432133675,-0.010000000707805157,0,0.010999999940395355,0.020999997854232788,0.030000001192092896,0.037999998778104782,0.011199510656297207,0.031038291752338409,0.0058119369805193066,0.0060114476989617449,0.49993465175779667,0.48276759750028769,0.0015435665941813408,0.0032682169916675519,0.0034999987110495567,0.49015913226877539,0.50378876068013545,0.46916499523310162,311.61221590899999,12.426035503,58.59375,77aff30e7d68b009e62e942b69d82250951d29049cf0fd96e5ccc7a62c4906e9,5.1188000000000002,coni60
