endpoint,view_name,domain_id,specimen_count,mae,rmse,standardized_mae
extension_peak_mm,F0,74t7kcdgkr,45,0.17447349033508452,0.20585732503564233,0.51895613448345501
extension_peak_mm,F0,cgtnjyggtm,49,0.28671086264881646,0.36959128563785842,0.86408738169154786
extension_peak_mm,F0,w68dtmpfyf,43,0.27685577240470693,0.32011989379246053,0.7599895675285151
extension_peak_mm,F0,xcmzfsbd9t,59,0.28010388249224105,0.36080482978909423,0.83663913669909895
extension_peak_mm,F0,yfxyg8jm46,42,0.27447376953669689,0.31889485645397864,0.77186944016886672
extension_peak_mm,F0,ykhs7s2dck,38,0.21728660910985484,0.23219590910426366,0.60794864495077794
extension_peak_mm,F1,74t7kcdgkr,45,0.13902807191854274,0.18026064074125417,0.41352683808278418
extension_peak_mm,F1,cgtnjyggtm,49,0.23745015400894962,0.32129074738289393,0.71562577003287142
extension_peak_mm,F1,w68dtmpfyf,43,0.19250596986468052,0.23110175935898586,0.5284431222559135
extension_peak_mm,F1,xcmzfsbd9t,59,0.29613997360115696,0.39183921850714443,0.88453715689795542
extension_peak_mm,F1,yfxyg8jm46,42,0.22349855087824747,0.26239358180178818,0.62851798784321078
extension_peak_mm,F1,ykhs7s2dck,38,0.22400024610255842,0.26206657636345948,0.62673280532368891
extension_peak_mm,F2,74t7kcdgkr,45,0.16497184293664252,0.18662757263173857,0.49069431547788478
extension_peak_mm,F2,cgtnjyggtm,49,0.27174063036595492,0.38624665515811241,0.81897019046584785
extension_peak_mm,F2,w68dtmpfyf,43,0.23504208405091179,0.31454080255192585,0.64520790105735337
extension_peak_mm,F2,xcmzfsbd9t,59,0.19532906917463524,0.26840718540079789,0.58342620013855817
extension_peak_mm,F2,yfxyg8jm46,42,0.20347311923109809,0.23600708793415903,0.57220288443381717
extension_peak_mm,F2,ykhs7s2dck,38,0.14488255891989504,0.16283590293906783,0.40536853942904388
extension_peak_mm,F3,74t7kcdgkr,45,0.29068790522222865,0.31249561591083436,0.86462574540979231
extension_peak_mm,F3,cgtnjyggtm,49,0.26618727804878123,0.35781354493133832,0.80223353242985651
extension_peak_mm,F3,w68dtmpfyf,43,0.20816425215970571,0.24210300182812125,0.57142626501748095
extension_peak_mm,F3,xcmzfsbd9t,59,0.14112243993407325,0.18643708828460226,0.42151702884226894
extension_peak_mm,F3,yfxyg8jm46,42,0.15134250468640612,0.18930032787402937,0.42560225176793121
extension_peak_mm,F3,ykhs7s2dck,38,0.078815400211689132,0.10158709208554831,0.220518493782213
extension_peak_mm,F4,74t7kcdgkr,45,0.25378497184881188,0.2687797303653206,0.75486119826977471
extension_peak_mm,F4,cgtnjyggtm,49,0.2384596474382262,0.33907393870670249,0.71866817493542601
extension_peak_mm,F4,w68dtmpfyf,43,0.22782510994425742,0.25270230812466687,0.6253967734708098
extension_peak_mm,F4,xcmzfsbd9t,59,0.23183622894281586,0.30632018471874473,0.69246902510772912
extension_peak_mm,F4,yfxyg8jm46,42,0.13062962642239656,0.17464446938156852,0.36735392524509597
extension_peak_mm,F4,ykhs7s2dck,38,0.19368630086011732,0.22457052262835478,0.54191707733772398
extension_peak_mm,F5,74t7kcdgkr,45,0.25101534057512026,0.26659782808161231,0.74662317232681308
extension_peak_mm,F5,cgtnjyggtm,49,0.23548041523691823,0.33660895539952757,0.70968938379896118
extension_peak_mm,F5,w68dtmpfyf,43,0.2335942271582403,0.25680924471679117,0.64123342682426376
extension_peak_mm,F5,xcmzfsbd9t,59,0.23687896253400362,0.31128753440135837,0.70753110936302965
extension_peak_mm,F5,yfxyg8jm46,42,0.1450056808568452,0.17903414149783231,0.40778196726486876
extension_peak_mm,F5,ykhs7s2dck,38,0.18648363157760262,0.21456903562226159,0.52176464802663125
