model,selected_as_p_all,gate_status,gate_reasons,parameter_count,updates_completed,selected_update,valid_area_mpa,zero_mae_mpa,full_mae_mpa,full_mse_mpa2,full_rmse_mpa,full_r2,center_endpoint_mae_mpa,geometry_endpoint_mae_mpa,train_median_full_mae_mpa,train_mean_full_mse_mpa2,checkpoint_path,checkpoint_sha256
MEAN_SC,False,CHECKPOINT_SELECTION_UNVERIFIED_EXACT_COST,checkpoint update was selected with a validation library whose exact-cost masks later changed,86657,2000,1750,48.3125710093265,58.25840545654297,41.14089569091797,2827.6855511994336,53.175986602971776,0.7187200586518252,47.74592926025391,46.680419006347655,74.48850311279297,10052.94650467202,results/cai_agent_v3/new_protocol/models/predictor_mean_sc.pt,1f5ee806875c98bcfcbaa3b87f393774f8adef4950fc7a73a4a6d0155b99a493
SPATIAL_SC,False,CHECKPOINT_SELECTION_UNVERIFIED_EXACT_COST,checkpoint update was selected with a validation library whose exact-cost masks later changed,355313,1500,500,55.73975906801906,59.29933319091797,49.5180908203125,4319.58358433187,65.72353904296291,0.5703156538271983,52.115255737304686,56.33442047119141,74.48850311279297,10052.94650467202,results/cai_agent_v3/new_protocol/models/predictor_spatial_sc.pt,3e0318c844a770189c1d1844eca52d5684e67192028c9e88ff7fff58fcdf29c6
SPATIAL_C,False,CHECKPOINT_SELECTION_UNVERIFIED_EXACT_COST,checkpoint update was selected with a validation library whose exact-cost masks later changed,324545,1500,500,66.92088231586527,74.32992889404296,59.31563354492187,6287.702712445502,79.2950358625652,0.37453984251493866,61.576109619140624,62.00086730957031,74.48850311279297,10052.94650467202,results/cai_agent_v3/new_protocol/models/predictor_spatial_c.pt,0cfe827c6140c9e567a107d2cb7dd05a9f1b9639c246261e65cc9e760805b872
