fold,model,update,train_loss,valid_area_mpa,zero_mae_mpa,full_mae_mpa,full_mse_mpa2,full_rmse_mpa,full_r2,center_endpoint_mae_mpa,geometry_endpoint_mae_mpa,train_median_full_mae_mpa,train_mean_full_mse_mpa2
0,MEAN_SC,250,0.32315075397491455,70.02820593373443,70.49521057128906,60.249475708007814,6874.380534608504,82.9118841578727,0.3161809124216379,64.62617736816406,66.85184722900391,75.40127166748047,10101.058608159654
0,MEAN_SC,500,0.08846354484558105,59.574967227142515,66.56286163330078,49.57503234863281,3818.313016184876,61.79249967580917,0.6201788205248338,56.50661926269531,57.388262329101565,75.40127166748047,10101.058608159654
0,MEAN_SC,750,0.07465416193008423,55.27794140541331,65.20267456054688,49.44523498535156,3671.668644667957,60.59429547959079,0.6347660578510713,51.53656951904297,54.1318017578125,75.40127166748047,10101.058608159654
0,MEAN_SC,1000,0.110117107629776,55.458345075181796,65.29795928955077,48.64856506347656,3861.255867216289,62.13900439511635,0.6159071423623466,52.25525848388672,53.598407897949215,75.40127166748047,10101.058608159654
0,MEAN_SC,1250,0.06595215201377869,54.63243257799414,64.11509033203124,45.944393920898435,3373.017603489645,58.077685934355586,0.6644739393765027,52.90054382324219,52.90268981933594,75.40127166748047,10101.058608159654
0,MEAN_SC,1500,0.06344559788703918,55.10984320693951,63.49352661132812,45.95720123291016,3568.1341024927187,59.73386060261566,0.6450650070882693,52.35618865966797,53.37080932617187,75.40127166748047,10101.058608159654
0,MEAN_SC,1750,0.0407564602792263,55.43739256550973,64.49223724365234,45.05442443847656,3697.162202329477,60.804294275400295,0.6322301229764361,53.330430297851564,53.80337127685547,75.40127166748047,10101.058608159654
0,MEAN_SC,2000,0.041708581149578094,57.369477894839186,65.74532806396485,47.73033721923828,4324.14613632822,65.75824006410315,0.5698618005487152,56.03007171630859,55.25651245117187,75.40127166748047,10101.058608159654
1,MEAN_SC,250,0.2883702516555786,74.51485531803372,74.49786102294922,74.5375244140625,9729.793647372779,98.63971637921907,0.03214281188303325,65.0894790649414,72.81867919921875,74.35401763916016,10063.046858368054
1,MEAN_SC,500,0.10550639033317566,56.28442029993381,60.39198303222656,52.81382415771484,5503.043262439272,74.18249970470983,0.45259270945497865,54.96435699462891,56.30286590576172,74.35401763916016,10063.046858368054
1,MEAN_SC,750,0.057317204773426056,54.43926950203089,56.15195098876953,51.52156066894531,4301.196635029884,65.5835088648807,0.5721446690863528,54.304655151367186,52.787988891601564,74.35401763916016,10063.046858368054
1,MEAN_SC,1000,0.06280826032161713,53.42633042899353,57.42135192871094,50.13103149414062,4963.814416972771,70.45434278291701,0.5062317210352179,54.717661743164065,52.3168310546875,74.35401763916016,10063.046858368054
1,MEAN_SC,1250,0.021150188520550728,55.7870731477641,57.697118530273436,54.856595764160154,5200.005180940111,72.11106143262704,0.4827369854881435,56.71220825195312,55.54309020996094,74.35401763916016,10063.046858368054
1,MEAN_SC,1500,0.01975296065211296,54.11594549293596,58.41122924804687,51.161570434570315,4759.187125147916,68.98686197492908,0.5265867257203452,54.27983184814453,54.24495819091797,74.35401763916016,10063.046858368054
1,MEAN_SC,1750,0.02559681236743927,54.707947975130246,60.17859558105469,49.4361376953125,4792.055975997904,69.22467750735936,0.5233171441944413,55.1066552734375,55.34880615234375,74.35401763916016,10063.046858368054
1,MEAN_SC,2000,0.029057592153549194,54.532459182308905,59.629345092773434,48.978992004394534,4716.562713203295,68.67723577142061,0.5308267276140132,54.04667572021484,54.728929138183595,74.35401763916016,10063.046858368054
2,MEAN_SC,250,0.1447225660085678,69.60536059627647,72.31428466796875,63.37199645996094,6920.845529796341,83.19161934832343,0.3115588740497849,62.173394470214845,65.10215240478516,74.37175140380859,10068.021896561775
2,MEAN_SC,500,0.21841908991336823,63.57743106424335,71.38676971435547,50.87486877441406,4026.0700717553405,63.45132048866549,0.5995124871057088,54.89383758544922,56.36934417724609,74.37175140380859,10068.021896561775
2,MEAN_SC,750,0.07817468047142029,48.661891181964556,60.270458679199216,37.736834106445315,2429.1522503779643,49.286430692209436,0.7583635838778913,47.482457885742186,45.74469177246094,74.37175140380859,10068.021896561775
2,MEAN_SC,1000,0.067578986287117,49.827612560989245,61.418034362792966,36.21840728759766,2534.03798607267,50.3392290969247,0.7479302266144032,48.72739471435547,46.98580627441406,74.37175140380859,10068.021896561775
2,MEAN_SC,1250,0.0865376815199852,49.05256105338097,60.07380279541016,38.98082061767578,2900.078444487271,53.852376405199344,0.7115188800167431,47.737714233398435,46.58797973632812,74.37175140380859,10068.021896561775
2,MEAN_SC,1500,0.030610818415880203,49.703099847020574,60.888924255371094,37.75329986572265,2657.9540082495705,51.555348978060174,0.7356038590537552,48.85036163330078,47.04965850830078,74.37175140380859,10068.021896561775
2,MEAN_SC,1750,0.018281353637576103,50.55172402246001,60.15876220703125,44.55131011962891,3446.727932060403,58.7088403229054,0.6571417107670157,49.628636779785154,49.66390930175781,74.37175140380859,10068.021896561775
