method,seed_panel,training_seed,update,validation_area_mpa,total_loss,entropy_weight,actor_loss,value_loss,entropy,mean_scaled_objective,min_action_count,max_action_count
VLM_SPATIAL_FEEDBACK,1,2026091301,250,45.33373259311179,-1.2319116347863992,0.008006405124099279,-1.3002124868912706,0.19333169147342216,3.542787790298462,0.6373246543800473,15.0,16.0
VLM_SPATIAL_FEEDBACK,1,2026091301,500,44.6276373035391,11.593351746546254,0.0060048038430744605,11.573447390155772,0.0849752126937012,3.760863780975342,0.4609259962589459,15.0,16.0
VLM_SPATIAL_FEEDBACK,1,2026091301,750,46.8551022162905,5.69816856439351,0.0040032025620496394,5.689905298940996,0.044674388541240305,3.51566743850708,0.29611386304906223,15.0,16.0
VLM_SPATIAL_FEEDBACK,1,2026091301,1000,47.19810022108735,10.492251241873532,0.0020016012810248197,10.454552584715278,0.09038972556489405,3.7451043128967285,0.4706530088436873,15.0,16.0
VLM_SPATIAL_FEEDBACK,1,2026091301,1250,45.984262724148124,0.658459459145589,0.0,0.6476403499187217,0.021638218453734627,3.545403480529785,0.4318802415566053,15.0,16.0
NO_VLM_SPATIAL_FEEDBACK,1,2026091302,250,46.81746896444471,-0.5300920322172731,0.008006405124099279,-0.5355646008445883,0.06980595331612736,3.6758580207824707,0.4928506196601964,15.0,16.0
NO_VLM_SPATIAL_FEEDBACK,1,2026091302,500,49.95014108661591,1.3861206227301999,0.0060048038430744605,1.3018235000295872,0.21444328927715797,3.817697048187256,0.7692488294484432,15.0,16.0
NO_VLM_SPATIAL_FEEDBACK,1,2026091302,750,47.427159407686304,1.9285387260442945,0.0040032025620496394,1.9234816380190243,0.04022182136845265,3.7604448795318604,0.42183706300245494,15.0,16.0
NO_VLM_SPATIAL_FEEDBACK,1,2026091302,1000,48.591768362300634,2.9536316230978614,0.0020016012810248197,2.9186739427001003,0.0811301507299787,2.801454544067383,0.38904024111352414,15.0,16.0
NO_VLM_SPATIAL_FEEDBACK,1,2026091302,1250,46.75112610808443,-1.527309126723042,0.0,-1.5404529892544998,0.02628772506291523,1.7859466075897217,0.5512613464837572,15.0,16.0
VLM_SPATIAL_OPEN_LOOP,1,2026091303,250,46.1281031886856,-5.425015548147543,0.008006405124099279,-5.472318046639705,0.1525465604117724,3.61845064163208,0.5679899841487781,15.0,16.0
VLM_SPATIAL_OPEN_LOOP,1,2026091303,500,46.038901482517055,7.673409907720561,0.0060048038430744605,7.668003757713716,0.049995514320521336,3.262655735015869,0.4726960729945398,15.0,16.0
VLM_SPATIAL_OPEN_LOOP,1,2026091303,750,46.37383682187703,8.149319584922086,0.0040032025620496394,8.147331935582343,0.03242212948860147,3.553009271621704,0.3922613531078549,15.0,16.0
VLM_SPATIAL_OPEN_LOOP,1,2026091303,1000,44.85292681512477,-5.679776602245582,0.0020016012810248197,-5.706807881282161,0.06907835762536085,3.7509467601776123,0.6004350907223175,15.0,16.0
VLM_SPATIAL_OPEN_LOOP,1,2026091303,1250,47.75707105023357,-1.2129830109275126,0.0,-1.220359817951386,0.014753614047746475,2.309556484222412,0.5400790512684472,15.0,16.0
LEARNED_STATIC_TRUE,1,2026091304,250,47.10932100388146,-17.96805240899129,0.006675567423230975,-17.94118339322312,0.0,4.0249786376953125,0.44891319329345053,15.0,16.0
LEARNED_STATIC_TRUE,1,2026091304,500,47.8273457269725,-13.884429163417845,0.0033377837116154874,-13.870987698554128,0.0,4.027062892913818,0.3534624517890474,15.0,16.0
LEARNED_STATIC_TRUE,1,2026091304,750,48.362456932693185,-24.056594036173003,0.0,-24.056594036173003,0.0,4.027958869934082,0.6021034252749486,15.0,16.0
VLM_MEAN_FEEDBACK,1,2026091305,250,45.74630710165928,0.08426619956574413,0.008006405124099279,0.03321883307042328,0.16243638919868003,3.768336534500122,0.5502255664100398,15.0,16.0
VLM_MEAN_FEEDBACK,1,2026091305,500,44.497368479850486,1.5247565992639103,0.0060048038430744605,1.5228351736950976,0.04554471931408578,3.4723756313323975,0.45599069572936435,15.0,16.0
VLM_MEAN_FEEDBACK,1,2026091305,750,44.7749501835286,6.495131110975933,0.0040032025620496394,6.469289917513444,0.08075678572570855,3.631392478942871,0.5630889345317641,15.0,16.0
VLM_MEAN_FEEDBACK,1,2026091305,1000,45.446063625364665,-3.405036023829951,0.0020016012810248197,-3.4345445865571724,0.07380824902345472,3.6948227882385254,0.5699812122820558,15.0,16.0
VLM_MEAN_FEEDBACK,1,2026091305,1250,44.29549756297834,3.3413576361201596,0.0,3.319315077381015,0.04408511747828889,3.6401615142822266,0.2969903719298716,15.0,16.0
