model,update,train_loss,valid_area_mpa,zero_mae_mpa,full_mae_mpa,full_mse_mpa2,full_rmse_mpa,full_r2,center_endpoint_mae_mpa,geometry_endpoint_mae_mpa,train_median_full_mae_mpa,train_mean_full_mse_mpa2
MEAN_SC,250,0.13810482621192932,69.31802505834706,73.5994189453125,63.43699493408203,6973.03784303755,83.5047174897176,0.30636711897606894,61.57709838867188,66.04482788085937,74.48850311279297,10052.94650467202
MEAN_SC,500,0.13236182928085327,54.727459652859345,63.89457183837891,48.580702514648436,3998.5873307907395,63.23438408643465,0.6022462931200766,53.609677124023435,52.64514526367188,74.48850311279297,10052.94650467202
MEAN_SC,750,0.08890444785356522,51.509564091607956,60.679373779296874,42.066644287109376,3304.342740374254,57.48341274119217,0.6713052723233353,49.855552673339844,49.07931427001953,74.48850311279297,10052.94650467202
MEAN_SC,1000,0.09481200575828552,48.74062776883566,56.04860046386719,40.78618438720703,2777.1894904056144,52.69904638990742,0.7237430814601338,48.8444287109375,45.729661560058595,74.48850311279297,10052.94650467202
MEAN_SC,1250,0.07428114861249924,50.19227771596196,58.178350830078124,46.53073516845703,4037.3517228504224,63.54015834769711,0.598390261136492,49.330682067871095,47.84398406982422,74.48850311279297,10052.94650467202
MEAN_SC,1500,0.03756946325302124,49.45290737779066,57.62078491210937,40.99519866943359,3007.082357531288,54.836870420651174,0.700874820116844,48.375781555175784,46.52848510742187,74.48850311279297,10052.94650467202
MEAN_SC,1750,0.07746206223964691,48.3125844153495,58.258401489257814,41.14089721679687,2827.6857320889553,53.175988303828966,0.7187200406581009,47.745928649902346,46.75665985107422,74.48850311279297,10052.94650467202
MEAN_SC,2000,0.043948687613010406,48.4114253623668,58.55009521484375,41.696815490722656,3221.609457784188,56.7592235481088,0.6795350462685339,47.08966217041016,46.25375518798828,74.48850311279297,10052.94650467202
SPATIAL_SC,250,0.030365532264113426,56.072548608367526,60.00247497558594,49.53974182128906,3871.3776049927715,62.22039541012875,0.6149002970973548,51.97624816894531,55.525178833007814,74.48850311279297,10052.94650467202
SPATIAL_SC,500,0.022190183401107788,55.74039513382431,59.300188903808596,49.51810668945313,4319.5595632177965,65.72335629909504,0.570318043292871,52.11569274902344,56.345833435058594,74.48850311279297,10052.94650467202
SPATIAL_SC,750,0.0048012700863182545,55.77107321176687,59.93304656982422,47.68759490966797,3867.6024212413236,62.19005082198698,0.6152758280554331,53.49845886230469,54.79059600830078,74.48850311279297,10052.94650467202
SPATIAL_SC,1000,0.006767088081687689,56.38206615187995,61.07870880126953,49.955350952148436,4117.672556598726,64.16909346873094,0.5904004620599375,54.43961578369141,56.62805694580078,74.48850311279297,10052.94650467202
SPATIAL_SC,1250,0.003932637628167868,56.2060667498744,61.543357849121094,48.84623718261719,4005.0054908787088,63.28511271127443,0.6016078559033424,53.62425445556641,56.18160034179687,74.48850311279297,10052.94650467202
SPATIAL_SC,1500,0.014756031334400177,56.93903073759008,60.52273651123047,49.74506378173828,4122.143609549771,64.20392207295261,0.5899557105170012,54.511995239257814,56.90593170166016,74.48850311279297,10052.94650467202
SPATIAL_C,250,0.16690436005592346,69.679221421539,74.29827972412109,49.54058654785156,4668.894842438232,68.32931173689833,0.5355684202987963,53.38741760253906,61.490396423339845,74.48850311279297,10052.94650467202
SPATIAL_C,500,0.20970791578292847,66.92075909057638,74.32996063232422,59.315149841308596,6287.5582694285595,79.29412506250738,0.37455421077569384,61.576126708984376,61.999375610351564,74.48850311279297,10052.94650467202
SPATIAL_C,750,0.2603878080844879,67.5733222380068,74.50932220458985,57.2244839477539,6571.207105222806,81.06298233609967,0.34633865199058045,63.595816955566406,64.99636108398437,74.48850311279297,10052.94650467202
SPATIAL_C,1000,0.09243355691432953,67.74227568845087,74.76737396240235,54.46632720947266,6011.0188468106235,77.53076064898772,0.4020625709402238,54.730364379882815,58.74379455566406,74.48850311279297,10052.94650467202
SPATIAL_C,1250,0.07206029444932938,68.82633708903148,75.47322113037109,57.89540588378906,6939.514907863028,83.30375086310957,0.3097017645966573,64.57578247070313,66.15437927246094,74.48850311279297,10052.94650467202
SPATIAL_C,1500,0.023285821080207825,70.64054542002584,74.34926971435547,57.18863983154297,6855.421069018259,82.79747018489309,0.31806687791272825,63.27397216796875,71.32754699707031,74.48850311279297,10052.94650467202
