model,condition,pca_components,ridge_alpha,train_physical_n,train_states_per_specimen,mae_mpa,rmse_mpa,r2,valid_area_mpa
RIDGE_SURFACE_FULL,FULL_INPUT_DIAGNOSTIC_ONLY,16,10.0,161,1,67.96338936666085,84.4342517335359,0.2908387970136974,
RIDGE_CSCAN_FULL,FULL_INPUT_DIAGNOSTIC_ONLY,16,10.0,161,1,60.81054389684449,75.4701541832159,0.4334240643984951,
RIDGE_SURFACE_CSCAN_FULL,FULL_INPUT_DIAGNOSTIC_ONLY,16,10.0,161,1,52.91663046899502,68.80810186192122,0.529036982592025,
RIDGE_PARTIAL,VISIBLE_CELL_MEAN_PLUS_FULL_SURFACE_DIAGNOSTIC,16,10.0,161,32,65.75724081247792,82.31345697611177,0.325179045889177,65.68493064474316
