dataset_id,shard_path,specimen_count,bytes,sha256
74t7kcdgkr,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,45,9361594,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
cgtnjyggtm,results/cai_agent_v3/new_protocol/feature_bank_cgtnjyggtm.npz,49,10170435,ed3b34419ea8b9f0469230caf39c38b1de7b7b881266adc6e2481d6aa8c5fb3a
w68dtmpfyf,results/cai_agent_v3/new_protocol/feature_bank_w68dtmpfyf.npz,43,8907665,fc10bbc5041bd35da39f7c64e61618367cbdd4f4858ce0598fb99388619e0f04
xcmzfsbd9t,results/cai_agent_v3/new_protocol/feature_bank_xcmzfsbd9t.npz,59,12373119,9614f001a51fe68b2319d1f98fda28b1f2f272bc9e2f38494a1c2fe607edb7e7
yfxyg8jm46,results/cai_agent_v3/new_protocol/feature_bank_yfxyg8jm46.npz,42,8810074,c229d59cb7167b6b5cb60d86c1ce7fc82a644600167d42ed07d6850771d25ba0
ykhs7s2dck,results/cai_agent_v3/new_protocol/feature_bank_ykhs7s2dck.npz,38,7874776,bbe03aa9fd58709b17c42c70d3bc277192a442bc73865523df4e79ea6d300c02
