axis,grouping,group_value,selected_condition_id,selected_coarse_rank,full_condition_id,over_coarse_condition_id,boundary_confirmed,sufficient_condition_ids_json,specimen_count,domain_count
sampling,domain,74t7kcdgkr,sampling:density=0.125,7,sampling:density=1,sampling:density=0.0625,True,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125""]",45,1
sampling,domain,cgtnjyggtm,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.0625""]",49,1
sampling,domain,w68dtmpfyf,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125"",""sampling:density=0.0625""]",43,1
sampling,domain,xcmzfsbd9t,sampling:density=0.125,7,sampling:density=1,sampling:density=0.0625,True,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125""]",59,1
sampling,domain,yfxyg8jm46,sampling:density=0.125,7,sampling:density=1,sampling:density=0.0625,True,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125""]",42,1
sampling,domain,ykhs7s2dck,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125"",""sampling:density=0.0625""]",38,1
sampling,ply_count,8,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125"",""sampling:density=0.0625""]",83,2
sampling,ply_count,16,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125"",""sampling:density=0.0625""]",85,2
sampling,ply_count,24,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.0625""]",108,2
sampling,layup_family,cross_ply,sampling:density=0.125,7,sampling:density=1,sampling:density=0.0625,True,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125""]",146,3
sampling,layup_family,quasi_isotropic,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.0625""]",130,3
sampling,damage_area,low,sampling:density=0.125,7,sampling:density=1,sampling:density=0.0625,True,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.125""]",92,6
sampling,damage_area,middle,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.0625""]",92,6
sampling,damage_area,high,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125"",""sampling:density=0.0625""]",92,6
sampling,damage_height,low,sampling:density=0.125,7,sampling:density=1,sampling:density=0.0625,True,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125""]",92,6
sampling,damage_height,middle,sampling:density=0.1875,6,sampling:density=1,sampling:density=0.125,True,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875""]",92,6
sampling,damage_height,high,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125"",""sampling:density=0.0625""]",92,6
sampling,damage_width,low,sampling:density=0.1875,6,sampling:density=1,sampling:density=0.125,True,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.1875""]",92,6
sampling,damage_width,middle,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125"",""sampling:density=0.0625""]",92,6
sampling,damage_width,high,sampling:density=0.0625,8,sampling:density=1,,False,"[""sampling:density=1"",""sampling:density=0.75"",""sampling:density=0.625"",""sampling:density=0.5"",""sampling:density=0.375"",""sampling:density=0.25"",""sampling:density=0.1875"",""sampling:density=0.125"",""sampling:density=0.0625""]",92,6
gaussian,domain,74t7kcdgkr,gaussian:sigma=1,2,gaussian:sigma=0,gaussian:sigma=1.5,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1""]",45,1
gaussian,domain,cgtnjyggtm,gaussian:sigma=6,7,gaussian:sigma=0,gaussian:sigma=8,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=6""]",49,1
gaussian,domain,w68dtmpfyf,gaussian:sigma=8,8,gaussian:sigma=0,,False,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2"",""gaussian:sigma=3"",""gaussian:sigma=4"",""gaussian:sigma=8""]",43,1
gaussian,domain,xcmzfsbd9t,gaussian:sigma=1.5,3,gaussian:sigma=0,gaussian:sigma=2,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5""]",59,1
gaussian,domain,yfxyg8jm46,gaussian:sigma=6,7,gaussian:sigma=0,gaussian:sigma=8,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=3"",""gaussian:sigma=6""]",42,1
gaussian,domain,ykhs7s2dck,gaussian:sigma=4,6,gaussian:sigma=0,gaussian:sigma=6,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2"",""gaussian:sigma=3"",""gaussian:sigma=4""]",38,1
gaussian,ply_count,8,gaussian:sigma=2,4,gaussian:sigma=0,gaussian:sigma=3,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2""]",83,2
gaussian,ply_count,16,gaussian:sigma=8,8,gaussian:sigma=0,,False,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2"",""gaussian:sigma=3"",""gaussian:sigma=4"",""gaussian:sigma=8""]",85,2
gaussian,ply_count,24,gaussian:sigma=0.5,1,gaussian:sigma=0,gaussian:sigma=1,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5""]",108,2
gaussian,layup_family,cross_ply,gaussian:sigma=1.5,3,gaussian:sigma=0,gaussian:sigma=2,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5""]",146,3
gaussian,layup_family,quasi_isotropic,gaussian:sigma=6,7,gaussian:sigma=0,gaussian:sigma=8,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2"",""gaussian:sigma=6""]",130,3
gaussian,damage_area,low,gaussian:sigma=1,2,gaussian:sigma=0,gaussian:sigma=1.5,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1""]",92,6
gaussian,damage_area,middle,gaussian:sigma=1.5,3,gaussian:sigma=0,gaussian:sigma=2,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5""]",92,6
gaussian,damage_area,high,gaussian:sigma=4,6,gaussian:sigma=0,gaussian:sigma=6,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=4""]",92,6
gaussian,damage_height,low,gaussian:sigma=2,4,gaussian:sigma=0,gaussian:sigma=3,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2""]",92,6
gaussian,damage_height,middle,gaussian:sigma=1,2,gaussian:sigma=0,gaussian:sigma=1.5,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1""]",92,6
gaussian,damage_height,high,gaussian:sigma=1.5,3,gaussian:sigma=0,gaussian:sigma=2,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5""]",92,6
gaussian,damage_width,low,gaussian:sigma=1,2,gaussian:sigma=0,gaussian:sigma=1.5,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1""]",92,6
gaussian,damage_width,middle,gaussian:sigma=4,6,gaussian:sigma=0,gaussian:sigma=6,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=2"",""gaussian:sigma=3"",""gaussian:sigma=4""]",92,6
gaussian,damage_width,high,gaussian:sigma=4,6,gaussian:sigma=0,gaussian:sigma=6,True,"[""gaussian:sigma=0"",""gaussian:sigma=0.5"",""gaussian:sigma=1"",""gaussian:sigma=1.5"",""gaussian:sigma=4""]",92,6
wavelet,domain,74t7kcdgkr,wavelet:db2:low_only:level=1,1,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=2,True,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1""]",45,1
wavelet,domain,cgtnjyggtm,wavelet:db2:low_only:level=3,3,wavelet:db2:low_only:level=0,,False,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=3""]",49,1
wavelet,domain,w68dtmpfyf,wavelet:db2:low_only:level=1,1,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=2,True,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1""]",43,1
wavelet,domain,xcmzfsbd9t,wavelet:db2:low_only:level=3,3,wavelet:db2:low_only:level=0,,False,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=3""]",59,1
wavelet,domain,yfxyg8jm46,wavelet:db2:low_only:level=3,3,wavelet:db2:low_only:level=0,,False,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2"",""wavelet:db2:low_only:level=3""]",42,1
wavelet,domain,ykhs7s2dck,wavelet:db2:low_only:level=2,2,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=3,True,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2""]",38,1
wavelet,ply_count,8,wavelet:db2:low_only:level=2,2,wavelet:db2:low_only:level=0,wavelet:db2:low_only:level=3,True,"[""wavelet:db2:low_only:level=0"",""wavelet:db2:low_only:level=1"",""wavelet:db2:low_only:level=2""]",83,2
