method,equal_domain_mae,information_retention,mean_normalized_rgb_l1,mean_ssim_11x11_gaussian,mean_psnr_db,mean_normalized_std,mean_cai_prediction_std
surface,0.1881207810617217,0.0,,,,,
full,0.12848935652346993,1.0,,,,,
nearest,0.12955673196873876,0.9821004536863924,0.008665167586301488,0.9413177250919889,30.401246712508872,,
bilinear,0.12980216273533932,0.9779846578874322,0.0060214797608844975,0.9716298967180783,32.285659795610435,,
bicubic,0.12964102580152184,0.9806868729538207,0.0060845955217660435,0.9713217666685383,32.25646473874635,,
pchip,0.12932035614272772,0.9860644010151942,0.005580091488812174,0.9750828267701732,32.351051871766224,,
deterministic,0.1430596629093554,0.7556606017932868,0.016360169956053893,0.8855648178246717,27.7602589419009,,
diffusion,0.1422009259227204,0.7700613475960999,0.04714274917615567,0.6428599359536782,23.998674320413617,0.02442712481138793,0.009974029006045914
