method,dataset_id,specimen_count,mae
surface,74t7kcdgkr,45,0.14026076733200757
surface,cgtnjyggtm,49,0.12215155937309541
surface,w68dtmpfyf,43,0.12411388685633379
surface,xcmzfsbd9t,59,0.10065290445265158
surface,yfxyg8jm46,42,0.16338072761187408
surface,ykhs7s2dck,38,0.47816484074436777
full,74t7kcdgkr,45,0.058736787700541755
full,cgtnjyggtm,49,0.12469936856113768
full,w68dtmpfyf,43,0.1059023306876731
full,xcmzfsbd9t,59,0.090589419972691
full,yfxyg8jm46,42,0.12702193559341912
full,ykhs7s2dck,38,0.26398629662535694
nearest,74t7kcdgkr,45,0.05830312922986002
nearest,cgtnjyggtm,49,0.12373514585336079
nearest,w68dtmpfyf,43,0.10103647885057931
nearest,xcmzfsbd9t,59,0.09034613090355154
nearest,yfxyg8jm46,42,0.13236971401499728
nearest,ykhs7s2dck,38,0.27154979296008364
bilinear,74t7kcdgkr,45,0.058847862265963585
bilinear,cgtnjyggtm,49,0.12389701313248698
bilinear,w68dtmpfyf,43,0.09546145725110193
bilinear,xcmzfsbd9t,59,0.09039158233103793
bilinear,yfxyg8jm46,42,0.13435967671202723
bilinear,ykhs7s2dck,38,0.2758553847194183
bicubic,74t7kcdgkr,45,0.05901518678518159
bicubic,cgtnjyggtm,49,0.12448622195274357
bicubic,w68dtmpfyf,43,0.10209658261053234
bicubic,xcmzfsbd9t,59,0.09187779210307657
bicubic,yfxyg8jm46,42,0.13016299757980537
bicubic,ykhs7s2dck,38,0.2702073737777915
pchip,74t7kcdgkr,45,0.05818519292941558
pchip,cgtnjyggtm,49,0.12428004153426664
pchip,w68dtmpfyf,43,0.09919913875465793
pchip,xcmzfsbd9t,59,0.09082803394187748
pchip,yfxyg8jm46,42,0.13124775217965956
pchip,ykhs7s2dck,38,0.2721819775164891
deterministic,74t7kcdgkr,45,0.06778005433518011
deterministic,cgtnjyggtm,49,0.13513660988146917
deterministic,w68dtmpfyf,43,0.06638534654155227
deterministic,xcmzfsbd9t,59,0.09468538393927374
deterministic,yfxyg8jm46,42,0.17750554096018564
deterministic,ykhs7s2dck,38,0.31686504179847147
diffusion,74t7kcdgkr,45,0.059593058914815075
diffusion,cgtnjyggtm,49,0.1346961748249715
diffusion,w68dtmpfyf,43,0.06274996660744524
diffusion,xcmzfsbd9t,59,0.09608478786452998
diffusion,yfxyg8jm46,42,0.18307839295077058
diffusion,ykhs7s2dck,38,0.3170031743737901
