nominal_checkpoint,equal_domain_mae,effective_mean,effective_min,effective_max,reconstruction_mse,ssim,method,protocol
0.03125,0.093774218832699,0.03076248859990985,0.03037476645785251,0.03132613992342499,0.001451191522623771,0.8887634729539329,mechanical_oracle,P-B
0.0625,0.07782275552753558,0.061203148709150564,0.059154194222067524,0.06249564914723286,0.0013560149229379474,0.896033774466378,mechanical_oracle,P-B
0.09375,0.06410688766351584,0.09213468047715943,0.09025408980160111,0.0937079747175901,0.0013021230666902914,0.9014786047851919,mechanical_oracle,P-B
0.125,0.061092180373514555,0.12312684428791174,0.12143092647543687,0.12499395537971206,0.001256699993325689,0.9064348527430899,mechanical_oracle,P-B
0.1875,0.04990708920904868,0.1856426897940804,0.18401362787119463,0.18749313111330915,0.0011916459100660246,0.9134635753056365,mechanical_oracle,P-B
0.25,0.04551411025990809,0.24820969002214524,0.2464930212111221,0.24999890097812946,0.0011315267241505571,0.9196737006059136,mechanical_oracle,P-B
0.03125,0.07076588615227884,0.03076248859990985,0.03037476645785251,0.03132613992342499,0.0014511915226237714,0.888763472953933,mechanical_oracle,P-A
0.0625,0.05191121397180141,0.061203148709150564,0.059154194222067524,0.06249564914723286,0.0013560149229379479,0.8960337744663781,mechanical_oracle,P-A
0.09375,0.04524850594124503,0.09213468047715949,0.09025408980160111,0.0937079747175901,0.0013021230666902914,0.9014786047851919,mechanical_oracle,P-A
0.125,0.041506475664532735,0.12312684428791171,0.12143092647543687,0.12499395537971206,0.0012566999933256893,0.90643485274309,mechanical_oracle,P-A
0.1875,0.03804477950541923,0.1856426897940804,0.18401362787119463,0.18749313111330915,0.0011916459100660244,0.9134635753056365,mechanical_oracle,P-A
0.25,0.03652433529577804,0.24820969002214524,0.2464930212111221,0.24999890097812946,0.0011315267241505571,0.9196737006059132,mechanical_oracle,P-A
