nominal_checkpoint,equal_domain_mae,effective_mean,effective_min,effective_max,reconstruction_mse,ssim,method,protocol
0.03125,0.099254478574155,0.030974238820018155,0.030224583109198493,0.03132613992342499,0.0014731931414500533,0.8869662368553299,appearance_oracle,P-B
0.0625,0.09507516303171921,0.06191708346665621,0.05887742065626681,0.06249159494351802,0.0013427561492997662,0.8932040932748196,appearance_oracle,P-B
0.09375,0.09527007678236217,0.09296514329117729,0.09019317786286112,0.09374656555665457,0.001251675974794969,0.8981909615891446,appearance_oracle,P-B
0.125,0.09421246344371503,0.12404166694481385,0.12152871167294244,0.12498318988703604,0.0011666897896843965,0.9027179842208177,appearance_oracle,P-B
0.1875,0.09311413828057453,0.1863468262270396,0.18398886181691612,0.1875,0.0010570034237017184,0.9097321845956139,appearance_oracle,P-B
0.25,0.09619209487298437,0.24851834560007227,0.24663797740720816,0.24997389488339714,0.0009609804473402898,0.9167838369601685,appearance_oracle,P-B
0.03125,0.1021999183945806,0.030974238820018155,0.030224583109198493,0.03132613992342499,0.0014731931414500535,0.8869662368553299,appearance_oracle,P-A
0.0625,0.09913214500553215,0.06191708346665624,0.05887742065626681,0.06249159494351802,0.0013427561492997662,0.8932040932748198,appearance_oracle,P-A
0.09375,0.09815044346701436,0.0929651432911773,0.09019317786286112,0.09374656555665457,0.0012516759747949688,0.8981909615891447,appearance_oracle,P-A
0.125,0.09697793102739131,0.12404166694481378,0.12152871167294244,0.12498318988703604,0.001166689789684397,0.9027179842208176,appearance_oracle,P-A
0.1875,0.09745564658283383,0.18634682622703966,0.18398886181691612,0.1875,0.0010570034237017182,0.9097321845956141,appearance_oracle,P-A
0.25,0.09716788577945444,0.24851834560007227,0.24663797740720816,0.24997389488339714,0.00096098044734029,0.9167838369601685,appearance_oracle,P-A
